date,DStv Stream,Download,Mr Price,Makro,Microsoft,Apple,Samsung,computer,laptop,monitor stand
2021-04-30,0,54,24,14,7,30,76,23,67,0
2021-05-01,0,46,22,15,5,31,79,19,50,0
2021-05-02,0,49,22,12,5,30,83,25,59,0
2021-05-03,0,51,22,14,7,30,84,25,64,0
2021-05-04,0,51,22,13,10,30,72,22,67,0
2021-05-05,0,52,20,12,8,25,71,24,65,0
2021-05-06,0,51,21,12,7,30,68,27,63,0
2021-05-07,0,55,21,12,6,29,64,27,59,0
2021-05-08,0,53,19,15,5,37,81,25,53,0
2021-05-09,0,47,17,11,4,27,73,17,52,0
2021-05-10,0,54,18,12,8,31,78,32,68,0
2021-05-11,0,53,17,12,9,26,76,25,68,0
2021-05-12,0,52,20,11,9,34,75,28,70,0
2021-05-13,0,53,20,12,7,25,69,27,64,0
2021-05-14,0,57,20,13,7,32,73,22,68,0
2021-05-15,0,51,20,13,5,30,73,16,59,0
2021-05-16,0,51,17,13,5,37,76,19,58,0
2021-05-17,0,55,19,13,9,27,78,22,64,0
2021-05-18,0,57,18,13,8,32,80,28,68,0
2021-05-19,0,53,19,14,8,28,71,34,67,0
2021-05-20,0,52,18,14,9,28,75,25,64,0
2021-05-21,0,57,21,15,7,33,80,30,72,0
2021-05-22,0,51,21,15,6,31,62,19,60,0
2021-05-23,0,51,18,15,5,36,71,20,59,0
2021-05-24,0,54,21,16,10,32,73,24,62,0
2021-05-25,0,53,24,18,10,36,83,31,69,0
2021-05-26,0,51,21,19,8,33,79,29,68,0
2021-05-27,0,50,23,17,7,33,76,25,75,0
2021-05-28,0,53,23,19,8,27,85,25,63,0
2021-05-29,0,54,21,17,5,32,80,23,58,0
2021-05-30,0,46,19,17,6,29,73,15,52,0
2021-05-31,0,53,23,17,9,31,80,30,73,0
2021-06-01,0,52,21,15,9,36,76,26,73,0
2021-06-02,0,51,22,15,8,29,77,26,79,0
2021-06-03,0,54,23,17,9,35,74,29,72,0
2021-06-04,0,56,24,16,8,28,78,25,68,0
2021-06-05,0,48,22,17,6,29,75,18,64,0
2021-06-06,0,48,19,13,6,33,74,17,69,0
2021-06-07,0,49,19,11,8,37,75,36,65,0
2021-06-08,0,52,19,15,8,38,69,23,68,0
2021-06-09,0,48,18,16,8,32,75,23,71,0
2021-06-10,0,52,20,16,9,31,82,26,79,0
2021-06-11,0,53,18,15,7,32,69,22,69,0
2021-06-12,0,53,18,15,5,36,86,22,61,0
2021-06-13,0,52,17,14,6,38,66,16,71,0
2021-06-14,0,51,17,13,8,33,70,30,70,0
2021-06-15,0,54,19,14,8,31,74,32,67,0
2021-06-16,0,52,18,14,6,36,70,16,58,0
2021-06-17,0,52,18,13,8,31,81,29,68,0
2021-06-18,0,52,20,14,8,32,68,24,70,0
2021-06-19,0,47,17,13,4,34,71,18,60,0
2021-06-20,0,47,14,12,4,35,76,18,55,0
2021-06-21,0,53,18,14,8,34,73,22,66,0
2021-06-22,0,52,18,15,8,34,73,26,66,0
2021-06-23,0,52,17,16,9,34,80,23,69,0
2021-06-24,0,49,17,16,7,26,73,26,68,0
2021-06-25,0,100,20,14,7,34,82,24,62,0
2021-06-26,0,62,22,15,4,32,81,18,60,0
2021-06-27,0,54,19,15,6,29,77,22,57,0
2021-06-28,0,55,18,14,8,33,69,26,66,0
2021-06-29,0,55,19,14,8,36,71,24,69,0
2021-06-30,0,60,20,13,9,34,84,24,68,0
2021-07-01,0,60,21,13,7,33,85,27,70,0
2021-07-02,0,58,19,16,8,35,82,23,59,0
2021-07-03,0,57,20,14,4,28,80,20,69,0
2021-07-04,0,57,21,15,5,31,82,15,61,6
