date,DStv Stream,Download,Mr Price,Makro,Microsoft,Apple,Samsung,computer,laptop,monitor stand
2022-07-07,0,82,22,22,11,22,57,17,53,0
2022-07-08,0,77,25,19,9,25,63,14,47,0
2022-07-09,0,79,24,17,6,26,63,9,40,0
2022-07-10,0,84,21,17,6,25,62,10,38,0
2022-07-11,0,84,23,21,12,23,59,14,50,0
2022-07-12,0,85,23,22,10,26,56,18,50,0
2022-07-13,0,88,22,18,12,27,64,24,96,0
2022-07-14,0,79,26,21,10,25,56,16,49,0
2022-07-15,0,89,23,19,10,25,58,12,41,0
2022-07-16,0,90,25,21,6,26,66,9,44,0
2022-07-17,0,83,25,22,7,29,59,11,45,0
2022-07-18,0,91,25,20,10,23,58,15,45,0
2022-07-19,0,88,21,16,11,23,56,15,48,0
2022-07-20,0,81,24,18,13,30,52,17,53,0
2022-07-21,0,80,22,16,12,27,56,15,52,0
2022-07-22,0,81,25,17,11,25,58,15,43,0
2022-07-23,0,76,28,20,6,27,60,13,40,0
2022-07-24,0,79,27,19,9,28,58,11,42,0
2022-07-25,0,77,26,22,11,30,56,17,50,0
2022-07-26,0,75,28,21,11,24,58,17,52,0
2022-07-27,0,80,27,21,12,26,56,17,48,0
2022-07-28,0,84,29,21,11,27,54,15,48,0
2022-07-29,0,82,26,21,11,26,57,13,40,0
2022-07-30,0,84,27,22,7,26,53,9,40,0
2022-07-31,0,78,24,19,7,22,54,15,43,0
2022-08-01,0,77,26,18,13,21,57,16,49,0
2022-08-02,0,79,26,19,12,22,52,17,48,0
2022-08-03,0,79,26,19,11,25,52,19,49,0
2022-08-04,0,81,27,20,10,26,54,17,50,0
2022-08-05,0,78,23,18,11,24,54,15,39,0
2022-08-06,0,73,23,17,6,24,56,13,38,0
2022-08-07,0,77,22,19,8,19,53,12,38,0
2022-08-08,0,81,25,19,10,24,58,16,47,0
2022-08-09,0,73,22,22,8,26,54,13,42,0
2022-08-10,0,76,22,20,12,21,54,19,45,0
2022-08-11,0,81,22,22,13,21,49,18,45,0
2022-08-12,0,81,23,21,12,23,49,14,42,0
2022-08-13,2,79,18,18,6,21,50,12,40,0
2022-08-14,0,73,21,21,9,24,53,10,40,0
2022-08-15,0,72,23,21,13,23,53,20,48,0
2022-08-16,0,75,24,26,12,23,51,17,49,0
2022-08-17,0,79,26,26,12,24,54,16,48,0
2022-08-18,0,79,23,20,11,22,53,27,80,0
2022-08-19,0,86,25,21,8,30,52,13,45,0
2022-08-20,0,85,21,18,6,26,56,14,40,0
2022-08-21,0,79,25,20,7,27,50,9,40,0
2022-08-22,0,100,27,19,10,23,48,19,48,0
2022-08-23,0,88,26,16,12,28,50,16,49,0
2022-08-24,0,87,22,19,12,24,52,17,46,0
2022-08-25,0,81,28,20,11,23,49,15,42,0
2022-08-26,0,87,30,22,10,26,56,15,44,0
2022-08-27,0,73,26,20,6,18,54,13,37,0
2022-08-28,0,71,24,22,7,24,52,9,33,0
2022-08-29,0,75,28,20,10,23,49,15,42,0
2022-08-30,0,76,26,19,8,24,50,17,45,0
2022-08-31,0,78,24,18,9,22,47,14,41,0
2022-09-01,0,73,27,16,10,22,49,13,47,0
2022-09-02,0,78,26,18,9,23,54,17,43,0
2022-09-03,0,72,24,17,5,21,48,11,36,0
2022-09-04,0,69,21,15,7,25,52,11,35,0
2022-09-05,0,71,26,16,12,23,51,14,43,0
2022-09-06,0,73,22,16,12,27,52,18,42,0
2022-09-07,0,72,22,15,11,49,43,19,38,0
2022-09-08,0,70,24,14,11,36,48,14,42,0
2022-09-09,0,76,21,17,10,29,47,15,41,0
2022-09-10,0,73,21,16,7,27,45,9,40,0
2022-09-11,0,69,21,15,7,24,50,15,36,0
2022-09-12,0,75,23,14,11,31,48,16,43,0
2022-09-13,0,69,21,17,10,33,46,18,40,0
2022-09-14,0,68,22,17,11,25,46,16,41,0
2022-09-15,0,68,23,16,10,30,49,18,42,0
2022-09-16,0,70,25,17,9,33,50,18,44,0
2022-09-17,0,72,23,18,6,28,52,11,38,0
2022-09-18,0,65,24,20,8,24,48,11,41,0
2022-09-19,0,67,25,21,10,27,54,23,92,0
2022-09-20,0,76,25,19,9,26,49,18,45,0
2022-09-21,0,76,29,20,12,30,49,17,49,0
2022-09-22,0,77,30,19,9,31,55,19,49,0
2022-09-23,0,76,26,20,10,30,56,14,44,0
2022-09-24,0,77,25,21,5,31,51,10,40,0
2022-09-25,0,78,28,18,10,28,55,13,38,0
2022-09-26,0,76,30,19,10,27,55,16,45,0
2022-09-27,0,80,30,18,12,29,50,16,48,0
2022-09-28,0,83,29,17,10,26,56,15,46,0
2022-09-29,0,81,30,19,10,25,55,16,48,0
2022-09-30,0,80,27,19,10,26,53,9,44,0
2022-10-01,0,75,26,17,4,23,50,10,44,0
2022-10-02,0,71,26,19,7,23,46,8,35,0
2022-10-03,0,78,27,17,10,25,55,13,42,0
2022-10-04,0,79,26,20,12,24,47,15,41,0
2022-10-05,0,86,25,17,10,25,49,16,45,0
2022-10-06,0,85,27,18,10,22,52,17,42,0
2022-10-07,0,81,24,17,10,23,50,15,43,0
2022-10-08,0,79,27,15,7,27,51,11,38,0
2022-10-09,0,71,23,15,7,21,49,12,34,0
2022-10-10,0,78,23,17,13,29,55,16,44,0
2022-10-11,0,77,24,15,11,25,45,18,43,0
2022-10-12,0,76,23,15,12,22,51,16,49,0
2022-10-13,0,80,22,18,12,24,48,16,42,0
2022-10-14,0,87,23,16,10,27,52,17,40,0
2022-10-15,0,79,22,16,6,25,59,14,44,0
2022-10-16,0,78,22,15,6,25,50,10,39,0
2022-10-17,0,76,21,16,11,30,52,16,43,0
2022-10-18,0,73,23,17,10,28,50,16,40,0
2022-10-19,0,74,22,14,10,28,51,14,44,0
2022-10-20,0,71,24,15,10,25,51,24,76,0
2022-10-21,0,79,26,16,11,27,48,16,40,0
2022-10-22,0,74,24,17,6,24,49,12,38,0
2022-10-23,0,66,23,17,9,30,50,13,34,0
2022-10-24,0,71,24,17,11,24,48,17,47,0
2022-10-25,0,75,25,17,11,25,46,18,43,0
2022-10-26,0,75,30,17,10,25,50,15,41,0
2022-10-27,0,71,27,20,11,23,52,14,41,0
2022-10-28,0,77,25,20,8,25,53,14,42,0
2022-10-29,0,75,23,16,4,22,44,12,34,0
2022-10-30,0,70,24,17,5,23,54,15,35,0
2022-10-31,0,75,23,16,10,24,53,18,45,0
2022-11-01,0,81,23,19,9,22,50,18,38,0
2022-11-02,0,76,23,16,9,26,47,16,41,0
2022-11-03,0,78,23,19,10,27,50,19,45,0
2022-11-04,0,82,24,18,9,32,54,14,43,0
2022-11-05,0,73,25,15,5,27,53,12,37,0
2022-11-06,0,72,22,19,5,22,51,10,34,0
2022-11-07,0,77,23,19,10,28,45,17,42,0
2022-11-08,0,81,25,18,11,26,50,18,47,0
2022-11-09,0,76,20,18,9,24,51,18,41,0
2022-11-10,0,80,25,19,9,23,47,15,38,0
2022-11-11,0,77,25,16,9,26,49,13,42,0
2022-11-12,0,68,21,20,4,23,48,11,36,0
2022-11-13,0,71,24,18,6,24,56,12,40,0
2022-11-14,0,74,24,20,9,26,54,17,46,0
2022-11-15,0,74,24,21,10,26,57,14,43,0
2022-11-16,0,75,26,21,9,30,51,15,41,0
2022-11-17,0,71,26,23,10,25,53,14,42,0
2022-11-18,0,77,25,23,8,26,57,16,38,0
2022-11-19,0,77,25,21,6,27,58,10,41,0
