date,DStv Stream,Download,Mr Price,Makro,Microsoft,Apple,Samsung,computer,laptop,monitor stand
2024-01-10,7,80,20,19,11,24,48,18,78,0
2024-01-11,9,85,17,19,10,23,51,10,46,0
2024-01-12,6,95,19,20,10,26,47,10,44,0
2024-01-13,11,84,19,18,4,17,37,10,39,0
2024-01-14,9,75,16,20,7,23,47,8,39,0
2024-01-15,8,85,22,21,12,27,52,12,48,0
2024-01-16,10,84,19,19,12,22,46,14,49,0
2024-01-17,7,78,15,19,10,22,50,13,48,0
2024-01-18,10,78,16,16,10,21,56,14,42,0
2024-01-19,7,82,16,19,8,21,53,11,41,0
2024-01-20,12,81,20,22,7,24,58,11,41,0
2024-01-21,20,71,18,17,6,19,47,10,42,0
2024-01-22,8,72,18,18,11,22,42,15,42,0
2024-01-23,8,76,20,18,10,24,37,15,46,0
2024-01-24,10,68,20,17,11,23,43,14,45,0
2024-01-25,6,78,23,20,11,23,45,16,44,0
2024-01-26,8,79,23,20,10,25,46,14,48,0
2024-01-27,10,85,24,20,7,28,51,12,46,0
2024-01-28,10,78,23,20,6,24,48,12,40,0
2024-01-29,9,77,20,19,13,28,46,14,46,0
2024-01-30,12,79,26,18,13,26,40,15,44,0
2024-01-31,10,82,23,18,13,26,43,16,44,0
2024-02-01,8,87,21,19,13,27,46,22,86,0
2024-02-02,9,83,22,20,11,27,40,12,43,0
2024-02-03,15,84,24,21,8,25,45,12,40,0
2024-02-04,13,82,21,17,7,36,45,11,39,0
2024-02-05,7,76,21,17,13,36,46,16,51,0
2024-02-06,7,86,22,19,12,32,43,15,45,0
2024-02-07,17,82,20,16,11,33,39,15,40,0
2024-02-08,9,84,22,18,13,31,42,14,50,0
2024-02-09,9,84,22,20,13,34,47,14,50,0
2024-02-10,13,80,21,22,7,34,45,8,39,0
2024-02-11,13,83,20,16,9,31,48,13,45,0
2024-02-12,9,79,22,17,12,31,48,14,51,0
2024-02-13,9,88,19,16,13,31,42,16,48,0
2024-02-14,8,91,18,16,12,27,41,13,53,0
2024-02-15,9,88,19,18,13,25,46,15,50,0
2024-02-16,9,93,21,17,14,30,41,20,100,0
2024-02-17,16,88,21,20,8,27,46,10,47,0
2024-02-18,11,81,19,14,9,27,41,12,41,0
2024-02-19,8,88,19,18,17,31,41,18,50,0
2024-02-20,8,80,20,17,14,24,43,18,52,0
2024-02-21,10,83,21,18,16,24,38,16,49,0
2024-02-22,10,83,21,19,15,27,44,20,52,0
2024-02-23,10,79,24,23,11,24,47,12,50,0
2024-02-24,15,79,27,23,9,28,46,11,44,0
2024-02-25,15,74,22,17,9,27,44,13,42,0
2024-02-26,9,79,22,22,14,24,44,19,55,0
2024-02-27,9,76,19,21,15,24,47,18,51,0
2024-02-28,8,89,22,18,14,26,45,20,59,0
2024-02-29,7,80,25,22,15,25,42,20,50,0
