date,DStv Stream,Download,Mr Price,Makro,Microsoft,Apple,Samsung,computer,laptop,monitor stand
2025-01-12,24,78,26,26,7,26,42,7,37,0
2025-01-13,15,85,21,30,14,25,41,10,45,0
2025-01-14,15,80,23,26,14,24,34,11,43,0
2025-01-15,13,79,22,26,14,22,34,13,41,0
2025-01-16,15,80,22,26,17,24,34,11,42,0
2025-01-17,12,79,23,27,13,22,39,13,40,0
2025-01-18,23,78,22,23,7,26,39,11,34,0
2025-01-19,20,78,25,24,11,22,34,10,35,0
2025-01-20,13,79,21,24,16,23,37,13,42,0
2025-01-21,16,84,24,22,18,24,34,12,43,0
2025-01-22,17,75,25,27,15,25,39,11,42,0
2025-01-23,15,79,24,28,13,22,45,15,43,0
2025-01-24,15,82,24,32,13,23,41,10,43,0
2025-01-25,20,72,33,33,7,24,41,9,36,0
2025-01-26,21,72,27,32,10,24,42,8,35,0
2025-01-27,13,78,28,30,13,23,39,13,40,2
2025-01-28,11,80,25,29,15,23,40,13,39,0
2025-01-29,16,80,27,29,16,22,35,12,41,0
2025-01-30,15,86,28,29,16,26,37,14,42,0
2025-01-31,15,86,28,32,13,23,40,11,42,0
2025-02-01,34,76,27,31,8,22,42,8,41,0
2025-02-02,23,77,30,31,10,26,40,9,36,0
2025-02-03,14,77,28,29,17,22,37,12,46,0
2025-02-04,15,83,28,27,16,26,37,13,44,0
2025-02-05,17,89,26,28,15,26,38,12,43,0
2025-02-06,19,83,27,26,17,23,42,12,46,0
2025-02-07,17,86,27,25,15,25,38,10,41,0
2025-02-08,34,89,25,26,10,23,40,9,42,0
2025-02-09,24,78,29,24,11,25,41,7,36,0
2025-02-10,16,82,26,26,19,25,37,21,94,0
2025-02-11,21,79,25,31,15,23,37,14,47,0
2025-02-12,18,88,27,31,15,22,39,14,46,0
2025-02-13,16,86,27,28,17,21,32,12,47,0
2025-02-14,16,88,24,26,13,27,39,10,47,0
2025-02-15,26,90,28,30,13,26,42,11,46,0
2025-02-16,19,80,23,24,10,27,39,8,44,0
2025-02-17,18,82,25,29,17,23,35,12,53,0
2025-02-18,18,86,22,27,19,24,39,16,46,0
2025-02-19,23,84,20,24,18,29,35,12,48,0
2025-02-20,15,86,23,27,16,23,39,14,46,0
2025-02-21,17,86,24,27,15,26,43,10,48,0
2025-02-22,26,85,25,28,12,24,36,9,38,0
2025-02-23,26,73,24,30,10,22,38,12,47,0
2025-02-24,15,74,26,34,19,26,40,12,53,0
2025-02-25,14,81,25,37,18,27,40,15,47,0
2025-02-26,17,82,28,33,16,22,37,12,51,0
2025-02-27,16,81,30,34,18,25,38,11,49,0
2025-02-28,15,85,31,38,16,27,38,12,47,0
2025-03-01,30,84,28,32,11,21,38,8,43,0
2025-03-02,18,80,28,29,11,25,39,8,45,0
2025-03-03,18,85,26,31,17,24,43,13,51,0
2025-03-04,19,90,25,30,19,24,34,14,48,0
2025-03-05,23,87,27,30,17,26,37,13,47,0
2025-03-06,15,85,23,30,19,23,32,14,47,0
2025-03-07,14,91,30,28,16,26,40,21,100,0
2025-03-08,32,86,25,28,11,25,36,9,36,0
2025-03-09,21,73,25,25,12,32,35,12,40,0
2025-03-10,15,87,25,31,18,41,38,16,51,0
2025-03-11,21,81,22,27,16,26,36,14,44,0
2025-03-12,20,85,25,23,19,22,36,14,46,0
2025-03-13,23,82,29,26,19,23,37,13,50,0
2025-03-14,18,92,24,28,16,27,40,9,42,0
2025-03-15,25,93,27,30,12,24,40,9,43,0
2025-03-16,38,77,25,24,10,23,38,9,38,0
2025-03-17,20,86,25,26,22,23,38,14,47,0
2025-03-18,14,85,24,29,22,25,37,13,50,0
2025-03-19,14,93,30,26,19,26,38,13,53,0
2025-03-20,17,96,25,31,19,24,34,13,51,0
2025-03-21,22,97,31,30,12,24,44,8,46,0
2025-03-22,20,90,25,28,13,21,41,6,40,0
2025-03-23,26,77,25,24,12,24,42,11,43,0
2025-03-24,13,83,28,28,18,22,39,12,44,0
2025-03-25,16,85,32,30,18,23,39,12,45,0
2025-03-26,12,89,28,32,17,25,42,10,44,0
2025-03-27,14,86,32,30,17,27,39,11,44,0
2025-03-28,15,86,33,37,13,24,36,10,42,0
2025-03-29,19,82,26,31,9,21,36,8,36,0
2025-03-30,20,83,30,30,10,26,43,8,38,0
2025-03-31,13,90,29,30,17,24,41,10,48,0
2025-04-01,27,87,28,32,16,25,38,9,43,0
2025-04-02,18,90,29,30,15,24,36,10,42,0
2025-04-03,17,91,29,32,18,25,38,10,43,0
2025-04-04,12,93,32,29,15,25,36,9,40,0
2025-04-05,22,85,26,29,10,22,40,6,36,0
2025-04-06,19,80,26,26,13,24,40,7,38,0
2025-04-07,14,94,26,33,18,24,35,13,46,0
2025-04-08,18,82,25,27,18,23,35,13,43,0
2025-04-09,18,84,24,26,19,22,37,19,95,0
2025-04-10,17,89,22,25,25,21,32,11,39,0
2025-04-11,17,90,21,27,18,25,34,9,41,0
2025-04-12,21,82,25,27,12,25,37,10,37,0
2025-04-13,28,76,22,22,11,23,36,8,35,0
2025-04-14,15,84,25,26,19,24,34,12,38,0
2025-04-15,16,90,25,25,19,25,32,12,41,0
2025-04-16,19,86,24,26,14,22,33,10,39,0
2025-04-17,14,89,25,28,14,23,34,8,38,0
2025-04-18,15,86,27,28,8,22,40,7,38,0
2025-04-19,23,79,26,23,7,23,37,6,31,0
2025-04-20,22,82,22,26,8,22,39,7,34,0
2025-04-21,15,81,27,27,11,26,41,9,41,0
2025-04-22,16,79,25,27,15,23,31,11,44,0
2025-04-23,14,84,24,28,16,23,36,12,46,0
2025-04-24,14,82,28,26,17,22,37,11,42,0
2025-04-25,18,80,29,28,14,21,36,11,37,0
2025-04-26,22,77,29,29,7,25,37,9,35,0
2025-04-27,21,77,31,31,10,18,35,6,34,0
2025-04-28,15,78,27,36,13,24,43,7,41,0
2025-04-29,17,80,25,26,12,21,36,10,43,0
2025-04-30,18,83,29,28,13,27,39,9,41,0
2025-05-01,19,97,34,31,11,25,42,9,35,0
2025-05-02,21,87,30,26,13,21,37,9,43,0
2025-05-03,30,73,29,25,10,20,36,5,27,0
2025-05-04,19,75,29,21,9,23,37,11,31,0
2025-05-05,13,83,26,24,18,23,38,10,37,0
2025-05-06,19,85,25,26,18,22,37,10,40,0
2025-05-07,19,88,26,23,16,22,35,12,39,0
2025-05-08,15,81,75,24,14,22,35,13,40,0
2025-05-09,12,87,33,26,15,20,36,21,86,0
2025-05-10,35,84,27,19,10,21,33,17,90,0
2025-05-11,22,77,30,22,10,22,38,6,34,0
2025-05-12,15,84,27,25,18,24,34,10,45,0
2025-05-13,18,82,27,26,18,21,33,12,43,0
2025-05-14,16,85,29,25,16,22,35,11,41,0
2025-05-15,17,79,28,26,16,20,34,10,43,0
2025-05-16,16,83,25,24,14,22,36,9,38,0
2025-05-17,24,81,27,23,8,20,37,5,32,0
2025-05-18,23,79,26,25,11,22,38,10,36,0
2025-05-19,14,83,26,25,16,26,35,14,44,0
2025-05-20,18,84,27,28,17,23,34,13,41,0
2025-05-21,21,86,27,24,17,20,36,11,39,0
2025-05-22,13,85,31,30,14,17,33,11,41,0
2025-05-23,16,82,31,33,13,27,39,13,41,0
2025-05-24,19,84,32,28,8,22,38,9,34,0
2025-05-25,22,81,31,27,11,25,38,8,32,0
2025-05-26,13,80,26,28,17,23,37,10,41,2
2025-05-27,15,87,29,27,17,21,37,14,44,0
2025-05-28,16,80,31,29,16,22,35,12,38,0
2025-05-29,14,79,31,25,16,25,36,11,47,0
2025-05-30,17,87,32,30,13,22,37,8,36,0
2025-05-31,23,81,30,27,9,20,36,9,31,0
2025-06-01,23,82,29,28,10,22,37,8,33,0
2025-06-02,14,88,29,32,16,26,36,13,37,0
2025-06-03,16,90,28,29,13,27,39,11,42,0
2025-06-04,16,91,28,27,14,22,34,12,40,0
2025-06-05,17,85,24,31,15,22,31,11,39,0
2025-06-06,18,87,29,26,13,23,35,9,34,0
2025-06-07,23,91,33,23,10,22,37,10,38,0
2025-06-08,29,85,26,24,9,24,39,9,31,0
2025-06-09,15,87,25,26,15,27,33,12,39,0
2025-06-10,16,86,28,28,17,34,35,21,94,0
2025-06-11,16,81,26,31,14,26,35,13,42,0
2025-06-12,20,89,25,24,18,24,35,12,37,0
2025-06-13,19,100,34,26,14,27,36,10,39,0
2025-06-14,26,96,34,23,8,27,36,8,30,0
2025-06-15,26,85,26,25,8,30,37,6,28,0
2025-06-16,16,93,28,28,10,29,37,8,31,0
2025-06-17,17,81,28,27,15,27,39,10,37,0
2025-06-18,17,91,26,22,12,25,33,12,37,0
2025-06-19,16,91,24,21,13,36,33,12,41,0
2025-06-20,16,91,24,26,14,23,34,11,35,0
2025-06-21,18,75,25,24,8,26,36,11,32,0
2025-06-22,23,85,26,26,9,24,42,8,34,0
2025-06-23,18,84,27,29,14,20,33,10,46,0
2025-06-24,15,87,24,28,17,26,36,11,39,0
2025-06-25,16,80,31,30,14,23,33,7,34,0
2025-06-26,13,87,29,29,12,24,35,9,36,0
2025-06-27,13,90,30,36,16,23,42,8,33,0
2025-06-28,30,79,28,35,8,22,40,6,26,0
2025-06-29,22,87,32,34,9,22,44,5,33,0
2025-06-30,17,86,32,30,12,24,40,9,42,0
2025-07-01,17,88,28,29,16,22,33,9,36,0
2025-07-02,17,90,34,27,13,24,34,10,44,0
2025-07-03,14,92,33,27,14,25,32,12,40,0
2025-07-04,17,88,31,25,10,20,38,7,33,0
