date,Exclusive Books,Download,Wattpad,textbook,ebook,poetry,Amazon books,novel
2022-07-07,10,61,23,0,0,28,0,19
2022-07-08,0,54,29,0,0,26,0,17
2022-07-09,0,59,28,0,0,15,0,22
2022-07-10,16,75,23,0,0,25,0,18
2022-07-11,0,70,25,0,15,27,0,25
2022-07-12,11,61,22,0,0,39,0,22
2022-07-13,9,75,25,0,9,29,0,21
2022-07-14,0,60,20,0,0,24,0,18
2022-07-15,0,65,21,0,0,27,0,16
2022-07-16,12,73,20,0,0,19,0,12
2022-07-17,0,61,22,0,0,27,0,23
2022-07-18,15,59,14,0,9,34,0,25
2022-07-19,9,64,11,12,0,38,0,23
2022-07-20,0,70,16,11,10,51,0,29
2022-07-21,0,76,16,0,0,43,0,30
2022-07-22,0,71,13,0,0,28,0,16
2022-07-23,0,79,29,0,0,33,0,20
2022-07-24,19,70,21,0,0,52,0,40
2022-07-25,12,71,20,9,11,48,0,31
2022-07-26,10,62,18,11,0,56,0,42
2022-07-27,11,76,12,0,0,58,0,38
2022-07-28,11,72,11,14,9,51,0,33
2022-07-29,11,55,15,0,0,38,0,18
2022-07-30,0,73,28,0,0,43,0,26
2022-07-31,11,96,16,12,11,50,0,37
2022-08-01,0,73,9,8,0,64,0,47
2022-08-02,12,75,18,13,8,65,0,34
2022-08-03,10,79,16,0,0,61,0,41
2022-08-04,11,69,18,10,0,83,0,32
2022-08-05,12,62,9,0,10,40,0,21
2022-08-06,13,74,27,11,0,35,0,22
2022-08-07,0,59,23,0,0,44,0,32
2022-08-08,11,82,18,0,0,57,0,30
2022-08-09,19,67,18,0,0,90,0,47
2022-08-10,8,72,17,0,8,80,0,41
2022-08-11,9,78,18,0,0,90,0,40
2022-08-12,13,84,23,0,0,54,0,27
2022-08-13,10,70,21,0,11,48,0,17
2022-08-14,11,86,11,0,0,93,0,47
2022-08-15,9,81,13,0,0,89,0,44
2022-08-16,13,90,20,0,0,100,0,35
2022-08-17,8,69,16,0,0,83,0,43
2022-08-18,10,70,15,0,0,71,0,37
2022-08-19,12,100,15,0,9,54,0,32
2022-08-20,10,92,21,0,0,40,0,33
2022-08-21,0,85,23,0,0,93,0,57
2022-08-22,0,80,15,0,0,88,0,46
2022-08-23,0,75,16,8,8,77,0,29
2022-08-24,0,80,11,0,0,88,0,25
2022-08-25,15,58,15,9,11,84,0,38
2022-08-26,0,59,21,0,0,40,0,16
2022-08-27,11,70,16,0,0,43,0,21
2022-08-28,0,68,13,11,0,91,0,41
2022-08-29,13,72,15,0,0,78,0,29
2022-08-30,0,64,11,0,0,72,0,24
2022-08-31,0,72,21,0,10,86,0,22
2022-09-01,0,72,15,0,0,72,0,30
2022-09-02,10,75,19,0,0,33,0,25
2022-09-03,0,83,17,0,0,29,0,31
2022-09-04,0,75,20,0,0,73,0,42
2022-09-05,10,66,14,0,11,71,0,35
2022-09-06,0,63,15,9,9,64,0,27
2022-09-07,9,66,20,9,0,71,0,32
2022-09-08,10,72,12,11,0,77,0,32
2022-09-09,10,70,21,0,0,43,0,22
2022-09-10,0,55,22,0,12,35,0,25
