date,Exclusive Books,Download,Wattpad,textbook,ebook,poetry,Amazon books,novel
2021-07-05,18,65,21,0,0,16,0,13
2021-07-06,0,59,19,0,0,25,0,14
2021-07-07,16,60,25,0,0,31,0,21
2021-07-08,14,61,23,0,0,38,0,16
2021-07-09,13,66,17,0,0,23,0,25
2021-07-10,13,71,24,0,15,18,0,20
2021-07-11,18,55,27,0,0,17,0,21
2021-07-12,15,58,20,0,0,25,0,19
2021-07-13,14,65,21,0,0,19,0,15
2021-07-14,0,60,21,0,0,28,0,15
2021-07-15,19,55,23,0,0,16,0,18
2021-07-16,13,62,27,0,0,13,0,16
2021-07-17,20,60,31,0,0,32,0,24
2021-07-18,0,62,27,0,0,33,0,0
2021-07-19,0,56,23,0,0,38,0,28
2021-07-20,12,67,24,0,0,27,0,23
2021-07-21,0,67,18,0,0,34,0,22
2021-07-22,13,65,31,0,0,34,0,15
2021-07-23,0,48,23,0,0,24,0,0
2021-07-24,0,70,27,0,20,34,0,20
2021-07-25,0,52,26,0,0,34,0,22
2021-07-26,15,58,18,0,0,27,0,17
2021-07-27,14,58,24,0,15,41,0,21
2021-07-28,15,74,25,0,0,35,0,21
2021-07-29,18,63,21,11,0,39,15,18
2021-07-30,0,53,25,0,0,21,0,13
2021-07-31,0,61,19,0,0,31,0,20
2021-08-01,13,61,31,0,0,42,0,14
2021-08-02,14,66,0,0,0,38,0,26
2021-08-03,18,66,18,0,0,59,0,29
2021-08-04,15,69,16,0,0,46,0,17
2021-08-05,14,55,33,0,0,38,0,26
2021-08-06,0,64,12,0,0,28,0,20
2021-08-07,0,58,28,13,15,29,0,28
2021-08-08,0,70,27,0,17,33,0,34
2021-08-09,15,67,25,0,16,38,0,25
2021-08-10,17,61,26,0,12,51,0,22
2021-08-11,0,63,14,0,12,54,0,16
2021-08-12,0,75,28,0,0,56,0,27
2021-08-13,0,57,22,0,0,43,0,20
2021-08-14,0,59,23,0,12,38,0,15
2021-08-15,0,66,28,0,0,60,0,37
2021-08-16,11,70,20,0,0,68,0,32
2021-08-17,0,66,21,0,0,78,15,32
2021-08-18,14,60,21,0,0,64,0,30
2021-08-19,12,77,20,11,0,58,0,32
2021-08-20,0,62,21,0,0,51,0,22
2021-08-21,0,67,24,0,0,49,0,25
2021-08-22,0,78,30,0,0,57,0,50
2021-08-23,0,70,18,0,0,58,0,39
2021-08-24,0,100,0,0,17,100,0,42
2021-08-25,0,65,13,0,10,81,0,38
2021-08-26,0,82,21,0,0,77,0,28
2021-08-27,0,65,21,0,0,50,0,20
2021-08-28,0,49,27,0,0,35,0,32
2021-08-29,0,76,31,0,0,76,0,34
2021-08-30,0,61,18,10,0,70,0,41
2021-08-31,0,78,21,0,0,65,0,25
2021-09-01,11,75,26,0,0,87,0,37
