date,Exclusive Books,Download,Wattpad,textbook,ebook,poetry,Amazon books,novel
2023-01-08,0,86,19,0,0,56,0,31
2023-01-09,0,70,18,0,14,50,0,28
2023-01-10,24,71,15,15,18,39,0,30
2023-01-11,20,69,18,14,22,36,0,31
2023-01-12,15,68,25,26,0,45,0,18
2023-01-13,18,82,19,0,0,63,0,27
2023-01-14,0,76,26,19,0,42,0,0
2023-01-15,25,89,20,14,0,41,0,29
2023-01-16,19,78,27,18,0,36,0,30
2023-01-17,0,88,25,29,0,39,0,27
2023-01-18,0,59,18,13,13,50,0,29
2023-01-19,17,75,15,11,0,56,0,21
2023-01-20,15,67,20,11,0,39,0,32
2023-01-21,13,78,18,12,0,41,0,31
2023-01-22,0,100,19,22,0,52,0,28
2023-01-23,0,72,16,23,0,59,0,49
2023-01-24,19,72,22,30,13,36,0,23
2023-01-25,16,67,18,0,0,52,0,20
2023-01-26,16,72,15,16,0,44,0,19
2023-01-27,18,62,18,0,13,40,0,21
2023-01-28,20,73,32,0,0,40,0,0
2023-01-29,18,75,26,0,23,59,0,22
2023-01-30,13,69,15,22,13,44,0,35
2023-01-31,22,69,15,14,0,48,0,32
2023-02-01,0,69,22,0,0,46,0,39
2023-02-02,11,69,15,17,15,45,0,21
2023-02-03,0,79,13,0,12,45,0,28
2023-02-04,16,72,14,0,0,40,0,35
2023-02-05,0,73,27,17,0,54,0,35
2023-02-06,17,69,14,15,12,47,0,33
2023-02-07,16,81,23,11,0,50,0,24
2023-02-08,18,84,16,14,0,47,0,36
2023-02-09,16,74,15,17,0,52,0,38
2023-02-10,12,76,17,0,0,45,0,34
2023-02-11,0,73,25,13,0,31,0,21
2023-02-12,16,95,19,19,0,43,0,39
2023-02-13,14,68,12,11,0,59,0,32
2023-02-14,13,69,20,15,0,50,0,28
2023-02-15,13,85,18,18,0,48,0,35
2023-02-16,0,74,21,14,0,48,0,27
2023-02-17,0,59,17,0,0,33,0,31
2023-02-18,15,83,28,16,0,40,0,27
2023-02-19,0,75,22,15,0,38,0,28
2023-02-20,14,72,11,15,0,59,0,31
2023-02-21,11,82,0,12,17,76,0,0
2023-02-22,16,69,14,19,0,43,0,34
2023-02-23,0,74,18,0,16,53,0,20
2023-02-24,0,65,19,11,0,53,0,22
2023-02-25,0,78,23,0,0,35,0,49
2023-02-26,16,75,28,15,0,50,0,40
2023-02-27,16,66,16,12,0,43,0,15
2023-02-28,16,88,17,15,0,64,0,26
2023-03-01,18,70,17,14,0,73,0,21
2023-03-02,13,66,12,11,10,55,0,21
2023-03-03,0,79,19,10,0,39,0,33
2023-03-04,11,71,16,0,0,33,0,21
2023-03-05,0,71,19,0,13,44,0,38
2023-03-06,0,76,10,20,0,51,0,23
2023-03-07,13,88,24,16,10,40,0,30
2023-03-08,13,75,20,15,15,58,0,29
2023-03-09,15,84,18,16,0,51,0,27
2023-03-10,0,65,21,12,17,54,0,27
2023-03-11,0,80,19,12,11,32,0,19
2023-03-12,0,75,20,0,0,60,0,30
2023-03-13,10,70,17,0,0,46,0,34
2023-03-14,0,62,17,12,0,64,0,18
2023-03-15,11,70,22,15,0,63,0,24
2023-03-16,15,74,12,10,0,64,0,26
2023-03-17,11,71,16,0,0,41,0,27
2023-03-18,13,77,30,0,13,62,0,22
2023-03-19,0,81,23,0,0,46,0,35
2023-03-20,0,75,22,0,0,50,0,29
2023-03-21,11,78,12,0,15,41,0,37
2023-03-22,0,64,19,10,0,46,0,22
2023-03-23,0,80,20,10,0,58,0,28
2023-03-24,0,51,14,0,0,42,0,26
2023-03-25,0,74,16,0,0,53,0,24
2023-03-26,12,87,21,0,0,54,0,55
2023-03-27,0,69,25,10,0,47,0,28
2023-03-28,14,69,26,0,0,55,0,19
2023-03-29,0,73,31,0,0,58,0,32
2023-03-30,0,72,27,0,0,53,0,37
2023-03-31,0,51,20,0,0,46,0,27
2023-04-01,0,56,21,0,0,41,0,37
2023-04-02,0,56,28,0,0,49,0,29
2023-04-03,0,68,22,0,0,48,0,25
2023-04-04,0,79,26,12,0,64,0,32
2023-04-05,13,58,26,0,13,53,0,42
2023-04-06,0,68,19,0,0,33,0,29
2023-04-07,0,69,31,0,0,31,0,39
2023-04-08,0,74,27,0,0,37,0,38
2023-04-09,0,84,19,0,0,55,0,43
2023-04-10,12,81,32,0,0,64,0,38
2023-04-11,10,63,22,12,0,55,0,36
2023-04-12,0,83,16,12,0,69,0,46
2023-04-13,11,72,13,12,0,62,0,43
2023-04-14,11,72,23,14,0,53,0,25
2023-04-15,0,100,0,0,0,45,0,39
2023-04-16,0,71,31,0,0,64,0,28
2023-04-17,0,71,22,0,0,84,0,44
2023-04-18,0,74,23,10,0,75,0,41
2023-04-19,0,75,23,12,10,69,0,33
2023-04-20,15,82,18,17,0,78,0,37
2023-04-21,12,67,20,15,0,56,0,0
2023-04-22,0,65,16,0,0,57,0,37
2023-04-23,0,64,25,0,0,77,0,30
2023-04-24,0,69,12,12,11,74,0,38
2023-04-25,11,76,14,0,15,74,0,45
2023-04-26,10,50,14,0,0,55,0,30
2023-04-27,12,71,15,0,12,52,0,44
2023-04-28,0,74,18,0,0,57,0,37
2023-04-29,0,78,32,0,0,67,0,32
2023-04-30,0,73,22,0,0,50,0,57
2023-05-01,0,63,23,0,0,65,0,41
2023-05-02,0,69,15,15,12,73,0,29
2023-05-03,10,76,20,14,0,86,0,41
2023-05-04,11,77,21,14,0,61,0,31
2023-05-05,12,65,14,0,0,62,0,38
2023-05-06,12,76,15,16,0,62,0,42
2023-05-07,0,79,22,0,0,75,0,43
2023-05-08,14,73,20,15,0,95,0,43
2023-05-09,13,77,17,10,0,81,0,45
2023-05-10,0,69,14,12,0,68,0,30
2023-05-11,0,79,20,13,0,100,0,36
2023-05-12,0,73,16,0,0,72,0,44
2023-05-13,0,78,23,0,0,72,0,39
2023-05-14,26,76,18,0,0,68,0,41
2023-05-15,19,81,21,12,0,77,0,44
2023-05-16,14,63,18,0,0,74,0,54
2023-05-17,11,76,16,12,11,72,0,51
2023-05-18,0,84,19,16,0,58,0,39
2023-05-19,12,75,20,10,0,54,0,39
2023-05-20,0,81,23,0,15,62,0,43
2023-05-21,12,85,18,0,0,64,0,64
2023-05-22,12,91,19,14,14,69,0,41
2023-05-23,0,74,15,0,0,84,0,35
2023-05-24,0,95,11,10,0,76,0,42
2023-05-25,12,65,14,17,10,75,0,38
2023-05-26,0,79,21,0,0,58,0,49
2023-05-27,0,80,28,16,0,55,0,46
2023-05-28,12,81,19,12,17,95,0,38
2023-05-29,0,89,17,11,0,100,0,55
2023-05-30,11,76,0,13,0,97,0,39
2023-05-31,0,73,20,12,0,65,0,45
2023-06-01,0,69,18,0,0,64,0,37
2023-06-02,0,72,21,0,0,59,0,30
2023-06-03,13,73,21,13,0,52,0,54
2023-06-04,0,86,21,0,0,74,0,57
2023-06-05,0,68,12,11,0,91,0,35
2023-06-06,0,83,14,10,15,76,0,43
2023-06-07,10,94,21,14,0,59,0,48
2023-06-08,9,81,17,13,10,84,0,44
2023-06-09,0,66,23,0,0,46,0,46
2023-06-10,0,75,19,0,0,53,0,37
2023-06-11,0,68,25,0,15,61,0,60
2023-06-12,13,84,17,0,0,74,0,53
2023-06-13,0,85,20,13,0,68,0,44
2023-06-14,11,75,20,0,0,61,0,41
2023-06-15,13,70,32,0,0,49,0,45
2023-06-16,13,65,25,0,12,39,0,28
2023-06-17,13,80,32,0,0,48,0,55
2023-06-18,14,81,21,0,0,53,0,52
2023-06-19,0,78,15,0,0,50,0,35
2023-06-20,0,75,21,0,0,52,0,36
2023-06-21,16,79,21,0,0,75,0,47
2023-06-22,11,70,27,0,0,60,0,36
2023-06-23,0,57,25,0,0,43,0,32
2023-06-24,0,70,31,0,0,59,0,39
2023-06-25,13,66,24,0,17,65,0,29
2023-06-26,13,72,29,0,0,58,0,42
2023-06-27,17,59,22,0,0,63,0,35
2023-06-28,11,69,22,0,11,61,15,26
2023-06-29,13,74,27,0,12,54,0,33
2023-06-30,0,69,24,0,0,51,0,30
2023-07-01,14,92,32,0,0,51,0,34
2023-07-02,13,68,33,0,0,61,21,60
2023-07-03,11,92,16,0,0,51,0,32
