date,Exclusive Books,Download,Wattpad,textbook,ebook,poetry,Amazon books,novel
2025-01-12,14,42,14,0,11,50,0,0
2025-01-13,0,35,0,13,0,32,0,21
2025-01-14,11,39,12,13,0,46,0,50
2025-01-15,0,41,0,15,0,56,21,41
2025-01-16,0,35,15,20,0,56,0,25
2025-01-17,0,36,10,0,0,45,0,27
2025-01-18,0,42,17,13,0,38,0,0
2025-01-19,0,43,14,0,0,46,0,25
2025-01-20,0,50,11,23,0,41,0,33
2025-01-21,10,48,12,21,0,65,0,42
2025-01-22,0,100,0,20,0,39,0,30
2025-01-23,10,80,0,14,0,77,0,28
2025-01-24,0,50,0,0,11,61,0,33
2025-01-25,0,63,13,12,0,63,0,26
2025-01-26,0,55,0,15,14,64,0,0
2025-01-27,0,61,0,19,9,55,0,27
2025-01-28,0,43,10,13,11,56,0,25
2025-01-29,0,46,0,15,0,38,0,27
2025-01-30,0,64,0,0,12,49,0,40
2025-01-31,0,52,0,0,0,69,0,26
2025-02-01,0,50,0,0,0,47,0,46
2025-02-02,0,53,14,10,0,58,0,51
2025-02-03,0,50,11,12,9,55,0,38
2025-02-04,11,54,0,16,0,61,0,22
2025-02-05,0,47,10,0,9,56,0,0
2025-02-06,9,54,10,14,0,41,0,38
2025-02-07,0,47,12,12,0,59,0,33
2025-02-08,0,39,14,0,0,46,0,22
2025-02-09,0,48,13,0,11,77,0,42
2025-02-10,0,45,15,22,12,59,0,32
2025-02-11,0,51,10,13,11,61,0,29
2025-02-12,0,44,0,12,0,59,0,34
2025-02-13,0,47,14,13,12,48,0,28
2025-02-14,0,43,0,0,0,53,0,0
2025-02-15,0,44,18,0,15,73,0,0
2025-02-16,14,64,0,12,0,57,0,40
2025-02-17,0,45,9,15,0,73,0,35
2025-02-18,9,49,0,11,0,57,0,26
2025-02-19,0,43,0,8,9,55,0,27
2025-02-20,9,37,10,11,10,28,0,24
2025-02-21,0,49,0,0,11,59,0,23
2025-02-22,0,40,11,0,0,40,0,0
2025-02-23,0,50,19,0,12,44,0,36
2025-02-24,0,46,0,10,0,69,0,23
2025-02-25,9,37,8,0,0,55,0,0
2025-02-26,9,41,11,11,0,51,0,31
2025-02-27,0,44,10,10,0,45,0,33
