date,Exclusive Books,Download,Wattpad,textbook,ebook,poetry,Amazon books,novel
2022-01-06,7,31,8,0,0,30,0,21
2022-01-07,0,28,11,0,0,29,0,0
2022-01-08,0,51,0,0,8,0,0,0
2022-01-09,10,40,0,0,0,23,0,0
2022-01-10,7,30,7,0,0,26,0,16
2022-01-11,0,29,9,0,7,28,0,0
2022-01-12,7,33,8,0,8,31,0,18
2022-01-13,0,32,7,0,0,46,0,0
2022-01-14,10,28,0,0,0,25,0,0
2022-01-15,6,42,6,0,0,40,0,0
2022-01-16,9,38,14,0,0,36,0,25
2022-01-17,0,35,12,8,0,30,0,18
2022-01-18,7,34,7,0,0,38,0,24
2022-01-19,8,40,6,7,0,39,0,0
2022-01-20,9,32,7,0,0,41,0,0
2022-01-21,0,28,0,8,0,15,0,15
2022-01-22,7,42,7,0,6,31,0,0
2022-01-23,0,36,0,7,0,42,0,19
2022-01-24,7,38,0,7,0,37,0,28
2022-01-25,6,39,5,9,5,39,0,22
2022-01-26,0,40,0,6,0,51,0,29
2022-01-27,0,39,0,0,0,40,0,0
2022-01-28,5,32,8,0,0,33,0,17
2022-01-29,7,41,16,0,0,30,0,0
2022-01-30,0,38,12,0,0,30,0,28
2022-01-31,6,43,8,8,0,30,0,20
2022-02-01,0,39,6,7,0,41,0,29
2022-02-02,6,45,8,6,0,27,0,15
2022-02-03,6,41,9,7,0,39,0,18
2022-02-04,0,38,10,0,0,39,0,16
2022-02-05,0,37,12,0,0,31,0,0
2022-02-06,7,39,0,0,0,49,0,0
2022-02-07,6,36,7,10,5,46,0,21
2022-02-08,5,43,7,6,0,48,0,17
2022-02-09,8,34,8,5,0,45,0,16
2022-02-10,0,33,9,6,0,38,0,17
2022-02-11,6,28,10,0,0,21,0,16
2022-02-12,7,30,11,10,0,46,0,0
2022-02-13,5,40,14,0,0,43,0,26
2022-02-14,7,42,9,4,7,35,0,20
2022-02-15,6,41,5,5,4,48,0,25
2022-02-16,7,43,7,8,7,40,0,17
2022-02-17,5,41,6,9,5,54,0,17
2022-02-18,0,46,7,6,4,36,0,21
2022-02-19,5,35,8,6,9,36,0,19
2022-02-20,5,47,8,8,0,20,0,25
2022-02-21,0,37,6,4,0,44,0,18
2022-02-22,6,41,7,11,7,44,0,19
2022-02-23,4,37,7,6,0,37,10,0
2022-02-24,0,38,6,6,6,36,0,13
2022-02-25,9,29,9,6,0,31,0,0
2022-02-26,6,42,11,5,0,46,0,13
2022-02-27,5,41,7,9,0,34,0,21
2022-02-28,0,35,9,6,6,36,0,14
2022-03-01,4,37,6,7,0,44,0,0
2022-03-02,5,41,6,9,0,41,0,12
2022-03-03,7,33,6,6,0,37,0,17
2022-03-04,0,31,9,4,0,41,0,17
2022-03-05,7,35,9,5,0,35,0,16
2022-03-06,5,36,7,8,0,35,0,17
2022-03-07,5,37,5,9,0,46,0,15
2022-03-08,0,44,5,5,0,37,0,13
2022-03-09,4,43,8,5,0,44,0,18
