date,Exclusive Books,Download,Wattpad,textbook,ebook,poetry,Amazon books,novel
2020-05-18,11,67,10,0,12,91,0,28
2020-05-19,12,56,14,0,0,40,0,0
2020-05-20,12,64,16,0,0,52,0,40
2020-05-21,15,73,25,0,11,69,0,33
2020-05-22,0,59,13,11,0,62,0,0
2020-05-23,0,79,12,0,0,87,0,30
2020-05-24,13,52,18,0,0,80,0,0
2020-05-25,12,55,16,0,13,81,0,0
2020-05-26,19,50,11,0,15,79,0,30
2020-05-27,15,61,11,0,10,54,0,24
2020-05-28,9,65,0,10,9,65,0,0
2020-05-29,13,56,20,0,12,81,0,0
2020-05-30,12,57,12,0,14,67,0,0
2020-05-31,0,64,14,0,0,65,0,0
2020-06-01,21,67,0,0,0,72,0,0
2020-06-02,14,52,17,0,0,73,0,0
2020-06-03,18,56,11,0,9,67,0,23
2020-06-04,14,59,13,0,9,79,0,33
2020-06-05,12,50,14,0,11,66,0,0
2020-06-06,11,63,17,0,0,51,0,29
2020-06-07,19,65,18,0,0,56,0,0
2020-06-08,13,56,15,8,9,53,0,0
2020-06-09,13,61,14,0,0,78,0,29
2020-06-10,16,66,15,0,0,69,0,23
2020-06-11,14,67,14,0,9,70,0,33
2020-06-12,10,49,0,0,0,69,0,29
2020-06-13,12,66,0,0,0,53,0,31
2020-06-14,0,46,21,0,13,51,0,0
2020-06-15,11,50,13,0,0,53,0,23
2020-06-16,22,62,21,0,0,0,0,38
2020-06-17,12,56,13,0,10,58,0,0
2020-06-18,15,64,19,0,10,53,0,24
2020-06-19,0,53,15,0,12,72,0,0
2020-06-20,15,60,14,0,0,65,0,35
2020-06-21,0,51,19,0,0,66,0,26
2020-06-22,11,48,9,0,9,61,0,0
2020-06-23,14,57,18,0,0,48,0,25
2020-06-24,14,51,12,0,0,56,0,0
2020-06-25,16,48,17,0,0,93,0,30
2020-06-26,10,51,9,0,0,75,0,32
2020-06-27,12,49,12,0,0,77,0,30
2020-06-28,12,48,20,0,0,81,0,0
2020-06-29,15,55,20,0,0,74,0,26
2020-06-30,15,46,22,0,0,57,0,30
2020-07-01,12,56,12,0,0,64,0,0
2020-07-02,16,59,13,0,9,25,0,27
