date,Takealot.com,Mr Price Home,Decofurn,furniture,Makro,Builders,paints,Defy Appliances,Pep Home,plant
2019-04-25,0,10,6,66,24,55,16,0,0,34
2019-04-26,0,13,0,62,21,68,23,0,0,34
2019-04-27,0,10,8,74,24,77,0,0,0,32
2019-04-28,0,10,8,58,24,54,0,0,0,41
2019-04-29,0,9,7,64,28,66,19,0,0,32
2019-04-30,0,9,9,68,19,63,0,0,15,28
2019-05-01,0,12,8,73,22,71,16,0,0,45
2019-05-02,0,10,6,58,18,51,21,0,0,34
2019-05-03,0,11,0,58,17,49,0,0,0,33
2019-05-04,0,11,0,60,25,63,0,0,0,53
2019-05-05,0,8,6,65,22,67,0,0,0,54
2019-05-06,0,11,4,56,15,57,0,0,0,28
2019-05-07,0,8,4,59,17,58,0,0,0,33
2019-05-08,0,11,4,57,20,60,0,0,0,25
2019-05-09,0,10,0,52,17,51,16,0,0,28
2019-05-10,0,6,0,56,21,56,16,0,0,30
2019-05-11,0,9,7,61,18,74,0,0,0,41
2019-05-12,0,9,9,55,17,53,0,0,0,46
2019-05-13,0,6,6,55,19,56,14,0,0,37
2019-05-14,0,10,5,62,24,57,19,0,0,42
2019-05-15,0,10,5,64,22,59,0,0,0,28
2019-05-16,0,11,7,64,19,49,16,0,0,33
2019-05-17,0,7,4,63,16,63,0,0,0,30
2019-05-18,0,11,0,73,21,68,0,0,0,35
2019-05-19,0,12,5,65,19,50,23,0,0,49
2019-05-20,0,9,5,65,24,61,17,0,0,24
2019-05-21,0,9,7,66,18,60,0,0,0,45
2019-05-22,0,12,6,61,25,72,0,0,0,36
2019-05-23,0,13,8,56,19,63,16,0,0,32
2019-05-24,0,12,8,67,25,57,0,16,16,23
2019-05-25,0,11,8,74,19,61,0,0,0,42
2019-05-26,0,11,6,76,21,64,0,0,0,49
2019-05-27,0,11,4,65,21,63,14,0,0,32
2019-05-28,0,8,5,72,20,76,21,0,0,35
2019-05-29,0,14,6,72,19,64,14,0,0,45
2019-05-30,0,11,8,78,19,44,34,0,0,24
2019-05-31,0,9,6,68,19,64,15,0,0,27
2019-06-01,0,13,9,72,21,77,17,0,0,43
2019-06-02,0,9,7,72,20,65,0,0,0,32
2019-06-03,0,14,6,71,22,58,18,0,0,24
2019-06-04,0,11,6,64,20,50,17,0,0,32
