date,KFC,beverage,McDonalds,Checkers,Woolworths,Pick n Pay,Nandos,Burger King,Debonairs Pizza,Grocery delivery
2019-04-25,64,0,24,7,13,8,44,11,15,0
2019-04-26,78,0,37,12,14,7,56,16,18,0
2019-04-27,67,0,46,15,16,8,46,15,22,0
2019-04-28,54,0,34,11,17,7,44,12,11,0
2019-04-29,45,0,22,8,14,8,31,10,8,0
2019-04-30,100,0,32,10,15,7,42,9,17,0
2019-05-01,60,0,34,10,14,7,45,11,18,0
2019-05-02,48,0,27,9,14,5,34,10,9,0
2019-05-03,70,0,44,15,14,7,49,18,18,0
2019-05-04,54,0,38,8,16,9,36,14,22,0
2019-05-05,55,0,26,9,13,7,37,14,15,0
2019-05-06,30,0,18,7,16,7,25,5,6,0
2019-05-07,77,0,26,9,14,7,33,7,9,0
2019-05-08,47,0,25,8,16,7,100,10,9,0
2019-05-09,39,0,23,8,12,7,50,9,6,0
2019-05-10,62,0,33,9,14,8,43,9,16,0
2019-05-11,56,0,33,9,19,5,45,11,13,0
2019-05-12,54,0,18,7,18,7,40,7,8,0
2019-05-13,43,0,18,8,13,6,22,6,5,0
2019-05-14,69,0,26,11,16,8,28,8,6,0
2019-05-15,49,0,29,10,13,6,32,10,6,0
2019-05-16,56,0,27,7,17,7,32,10,7,0
2019-05-17,68,0,38,11,17,11,41,13,9,0
2019-05-18,58,0,37,13,18,8,39,13,9,0
2019-05-19,51,0,29,8,18,9,31,11,9,0
2019-05-20,35,0,19,8,13,8,25,5,4,0
2019-05-21,66,0,21,6,18,6,28,8,5,0
2019-05-22,44,0,23,11,16,6,29,7,8,0
2019-05-23,54,0,27,8,14,7,33,10,6,0
2019-05-24,78,0,42,7,16,8,67,19,18,0
2019-05-25,70,0,47,10,14,8,45,15,19,0
2019-05-26,65,0,30,9,17,6,39,13,10,0
2019-05-27,38,0,20,7,16,7,32,9,8,0
2019-05-28,76,0,24,6,16,9,32,10,8,0
2019-05-29,38,0,23,8,18,5,34,9,5,0
2019-05-30,56,0,25,7,13,6,30,6,8,0
2019-05-31,86,0,48,11,15,9,61,14,18,0
2019-06-01,74,0,39,14,18,12,41,15,18,0
2019-06-02,59,0,31,10,18,7,40,9,12,0
2019-06-03,43,0,21,9,15,6,30,8,7,0
2019-06-04,69,0,28,9,17,11,33,5,8,0
2019-06-05,46,0,27,9,10,5,30,11,8,0
2019-06-06,52,0,26,8,15,5,32,11,7,0
2019-06-07,65,0,42,13,14,7,53,19,11,0
2019-06-08,62,0,42,11,16,7,32,14,12,0
2019-06-09,40,0,34,10,20,9,35,13,11,0
2019-06-10,38,0,19,7,15,8,29,7,5,0
2019-06-11,58,0,25,9,16,8,32,10,5,0
2019-06-12,47,0,29,8,16,11,36,7,4,0
2019-06-13,46,0,29,9,16,8,41,10,9,0
2019-06-14,76,0,42,10,16,4,49,21,15,0
2019-06-15,62,0,33,13,22,10,44,9,13,0
2019-06-16,69,0,42,13,17,8,45,12,12,0
2019-06-17,48,0,37,7,15,7,38,9,12,0
2019-06-18,52,0,25,5,15,9,26,9,9,0
2019-06-19,39,0,27,11,13,6,29,11,12,0
2019-06-20,49,0,21,7,14,7,38,12,16,0
2019-06-21,70,0,38,14,12,0,49,20,23,0
2019-06-22,61,0,35,11,16,8,40,19,25,0
2019-06-23,50,0,27,13,15,0,35,13,11,0
2019-06-24,39,0,23,7,18,10,30,10,14,0
2019-06-25,78,0,35,6,15,10,42,14,23,0
2019-06-26,59,0,30,6,17,11,40,13,20,0
2019-06-27,62,0,38,10,16,6,36,15,29,0
2019-06-28,94,0,43,9,13,9,59,24,41,0
2019-06-29,69,0,43,13,15,11,47,16,47,0
2019-06-30,69,0,45,10,15,5,42,14,23,0
2019-07-01,31,0,18,5,11,11,43,13,27,0
2019-07-02,49,0,19,4,14,7,39,15,18,0
2019-07-03,36,0,21,8,15,8,48,16,25,0
2019-07-04,41,0,22,8,12,8,49,18,22,0
2019-07-05,62,0,26,10,12,14,62,22,41,0
2019-07-06,53,0,28,9,9,13,57,20,33,0
2019-07-07,46,0,21,7,11,13,49,18,10,0
2019-07-08,32,0,16,5,11,9,40,12,6,0
2019-07-09,46,0,14,6,11,9,41,13,14,0
2019-07-10,95,0,15,4,15,7,34,16,8,0
2019-07-11,40,0,18,7,10,11,42,12,6,0
2019-07-12,50,0,23,8,13,12,64,27,19,0
2019-07-13,45,0,31,7,12,7,56,24,19,0
2019-07-14,42,0,22,4,13,10,51,18,14,0
2019-07-15,30,0,16,8,14,10,44,11,11,0
2019-07-16,42,0,14,8,14,7,48,11,10,0
2019-07-17,30,0,16,5,12,11,41,13,9,0
2019-07-18,34,0,16,7,11,0,60,16,0,0
2019-07-19,49,0,24,10,11,7,68,25,14,0
2019-07-20,46,0,27,5,12,0,63,21,17,0
2019-07-21,38,0,22,9,16,13,49,16,13,0
2019-07-22,26,0,16,6,13,0,46,9,9,0
2019-07-23,39,0,20,5,11,10,49,14,9,0
2019-07-24,33,0,22,6,10,10,60,13,8,0
2019-07-25,52,0,27,9,13,12,74,20,16,0
2019-07-26,71,0,40,10,14,14,100,33,26,0
2019-07-27,54,0,39,10,10,11,82,23,23,0
2019-07-28,56,0,23,8,17,7,61,25,19,0
2019-07-29,30,0,18,8,12,12,48,14,11,0
2019-07-30,54,0,17,6,12,11,43,14,11,0
2019-07-31,44,0,26,9,12,9,64,18,14,0
2019-08-01,46,0,28,10,12,9,58,15,17,0
2019-08-02,65,0,34,13,13,16,76,23,17,0
