date,Hollywoodbets,The Courier Guy,ShopRite,Steers,Betway,Buffalo Logistics,Uber Eats,Bolt,60 sixty,PaymeNow
2019-04-25,0,0,40,44,0,0,0,48,0,0
2019-04-26,0,0,41,68,0,0,0,73,0,0
2019-04-27,0,0,37,51,0,0,0,60,0,0
2019-04-28,0,0,39,37,0,0,0,0,0,0
2019-04-29,0,0,33,32,0,0,0,62,0,0
2019-04-30,0,0,31,48,0,0,0,49,0,0
2019-05-01,0,0,38,64,0,0,0,45,0,0
2019-05-02,0,0,28,32,0,0,0,58,0,0
2019-05-03,0,0,27,53,0,0,0,51,0,0
2019-05-04,0,0,27,48,0,0,0,55,0,0
2019-05-05,10,0,33,38,0,0,0,0,0,0
2019-05-06,0,0,30,29,0,0,0,60,0,0
2019-05-07,0,0,20,23,0,0,0,60,0,0
2019-05-08,0,0,32,70,0,0,0,37,0,0
2019-05-09,0,0,18,24,0,0,0,52,0,0
2019-05-10,0,0,22,35,0,0,0,43,0,0
2019-05-11,0,0,26,30,0,0,0,43,0,0
2019-05-12,0,0,26,26,0,0,0,0,0,0
2019-05-13,0,0,20,18,0,0,0,75,0,0
2019-05-14,0,0,25,22,0,0,0,57,0,0
2019-05-15,0,0,32,71,0,0,0,49,0,0
2019-05-16,0,8,35,29,0,0,0,60,0,0
2019-05-17,0,0,25,32,0,0,0,63,0,0
2019-05-18,0,0,31,36,0,0,0,42,0,0
2019-05-19,0,0,38,37,0,0,0,0,0,0
2019-05-20,0,0,31,21,0,0,0,67,0,0
2019-05-21,0,9,34,31,0,0,0,51,0,0
2019-05-22,0,0,30,64,0,0,0,49,0,0
2019-05-23,0,0,27,21,0,0,0,68,0,0
2019-05-24,0,0,26,64,0,0,0,48,0,0
2019-05-25,0,0,18,55,0,0,0,61,0,0
2019-05-26,0,0,25,40,0,0,0,36,0,0
2019-05-27,0,0,20,28,0,0,0,56,0,0
2019-05-28,0,0,22,32,0,0,0,85,0,0
2019-05-29,0,8,34,91,0,0,0,78,0,0
2019-05-30,0,0,20,34,0,0,0,63,0,0
2019-05-31,0,0,24,65,0,0,0,52,0,0
2019-06-01,0,0,29,51,0,0,0,35,0,0
2019-06-02,0,0,25,41,0,0,0,38,0,0
2019-06-03,0,0,35,28,0,0,0,49,0,0
2019-06-04,0,0,25,25,0,0,0,56,0,0
2019-06-05,0,11,44,75,0,0,0,63,0,0
2019-06-06,0,0,56,35,0,0,0,59,0,0
2019-06-07,0,0,54,52,0,0,0,54,0,0
2019-06-08,0,0,17,39,0,0,0,42,0,0
2019-06-09,0,0,27,28,0,0,0,51,0,0
2019-06-10,0,0,35,23,0,0,0,56,0,0
2019-06-11,0,0,25,17,0,0,0,97,0,0
2019-06-12,0,0,26,71,0,0,0,67,0,0
2019-06-13,0,0,30,31,0,0,0,54,0,0
2019-06-14,0,0,32,43,0,0,0,59,0,0
2019-06-15,0,0,36,37,0,0,0,42,0,0
2019-06-16,0,0,28,37,0,0,0,0,0,0
2019-06-17,0,0,30,23,0,0,0,55,0,0
2019-06-18,0,0,39,25,0,0,0,83,0,0
2019-06-19,0,0,28,67,0,0,0,75,0,0
2019-06-20,0,0,37,29,0,0,0,58,0,0
2019-06-21,0,0,42,37,0,0,0,65,0,0
2019-06-22,0,0,25,39,0,0,0,64,0,0
2019-06-23,0,0,20,26,0,0,0,52,0,0
2019-06-24,0,0,48,24,0,0,0,83,0,0
2019-06-25,0,0,52,36,0,0,0,74,0,0
2019-06-26,0,0,41,100,0,0,0,84,0,0
2019-06-27,0,0,43,43,0,38,0,77,0,0
2019-06-28,0,0,37,53,0,0,0,82,0,0
2019-06-29,0,0,47,45,0,0,0,76,0,0
2019-06-30,0,0,30,36,0,0,0,58,0,0
2019-07-01,0,0,31,29,0,0,0,69,0,0
2019-07-02,0,0,35,27,0,0,0,72,0,0
2019-07-03,0,0,25,74,0,0,0,65,0,0
2019-07-04,0,0,37,30,0,0,0,65,0,0
2019-07-05,0,0,31,45,0,0,0,81,0,0
2019-07-06,0,0,22,32,0,0,0,61,0,0
2019-07-07,0,0,26,31,0,0,0,0,0,0
2019-07-08,0,0,19,19,0,0,0,50,0,0
2019-07-09,0,0,25,25,0,0,0,54,0,0
2019-07-10,0,0,29,55,0,0,0,38,0,0
2019-07-11,0,0,18,32,0,0,0,68,0,0
2019-07-12,0,0,28,34,0,0,23,44,0,0
2019-07-13,0,0,26,36,0,0,0,40,0,0
2019-07-14,0,0,22,25,0,0,0,0,0,0
2019-07-15,0,0,29,16,0,0,0,58,0,0
2019-07-16,0,0,21,28,0,0,0,57,0,0
2019-07-17,0,0,20,66,0,0,0,59,0,0
2019-07-18,0,0,20,21,0,0,0,55,0,0
2019-07-19,0,0,30,51,0,0,0,64,0,0
2019-07-20,0,0,28,43,0,0,0,44,0,0
2019-07-21,0,0,34,36,0,0,0,39,0,0
2019-07-22,0,0,34,23,0,0,0,52,0,0
2019-07-23,0,0,25,18,0,0,0,53,0,0
2019-07-24,0,0,27,71,0,0,0,45,0,0
2019-07-25,0,0,27,45,0,0,0,65,0,0
2019-07-26,0,0,34,57,0,0,0,51,0,0
2019-07-27,0,0,24,38,0,0,0,27,0,0
2019-07-28,0,0,27,51,0,0,0,34,0,0
2019-07-29,0,7,32,27,0,0,0,65,0,0
2019-07-30,0,0,30,25,0,0,0,55,0,0
2019-07-31,0,0,28,100,0,0,0,35,0,0
2019-08-01,0,0,27,31,0,0,0,67,0,0
2019-08-02,0,0,34,57,0,0,0,57,0,0
2019-08-03,0,0,30,33,0,0,0,42,0,0
2019-08-04,0,0,32,35,0,0,0,48,0,0
2019-08-05,0,0,26,22,0,0,0,70,0,0
2019-08-06,0,0,25,24,0,0,0,57,0,0
2019-08-07,0,0,24,60,0,0,0,47,0,0
2019-08-08,0,0,26,31,0,0,0,55,0,0
2019-08-09,0,0,35,37,0,0,0,50,0,0
2019-08-10,0,0,27,31,0,0,0,53,0,0
2019-08-11,0,0,24,31,0,0,0,45,0,0
2019-08-12,0,0,21,17,0,0,0,55,0,0
2019-08-13,0,0,28,17,0,0,0,55,0,0
2019-08-14,0,0,25,60,0,0,0,41,0,0
2019-08-15,0,0,20,30,0,0,0,60,0,0
2019-08-16,0,0,25,36,0,0,0,51,0,0
2019-08-17,0,0,27,28,0,0,0,35,0,0
2019-08-18,0,0,32,25,0,0,0,31,0,0
2019-08-19,0,0,28,13,0,0,0,53,0,0
2019-08-20,0,0,38,30,0,0,0,56,0,0
2019-08-21,0,8,32,64,0,0,0,56,0,0
2019-08-22,0,0,38,30,0,0,0,64,0,0
2019-08-23,0,0,32,43,0,0,0,62,0,0
2019-08-24,0,0,22,39,0,0,0,38,0,0
2019-08-25,0,0,38,25,0,0,0,34,0,0
2019-08-26,0,0,38,20,0,0,0,37,0,0
2019-08-27,0,0,28,20,0,0,0,47,0,0
2019-08-28,0,0,30,67,0,0,0,54,0,0
2019-08-29,0,8,27,29,0,0,0,75,0,0
2019-08-30,0,0,28,49,0,0,0,58,0,0
2019-08-31,0,0,34,44,0,0,0,76,0,0
2019-09-01,0,0,37,22,0,0,0,33,0,0
2019-09-02,0,0,33,22,0,0,0,68,0,0
2019-09-03,0,0,30,17,0,0,0,54,0,0
2019-09-04,0,0,50,64,0,0,0,69,0,0
2019-09-05,0,0,59,27,0,0,0,51,0,0
2019-09-06,0,0,71,35,0,0,0,76,0,0
2019-09-07,0,0,29,33,0,0,0,51,0,0
2019-09-08,0,0,26,20,0,0,0,39,0,0
2019-09-09,0,6,28,16,0,0,0,69,0,0
2019-09-10,0,0,27,28,0,0,0,50,0,0
2019-09-11,0,0,24,46,0,0,0,91,0,0
2019-09-12,0,8,38,25,0,0,0,61,0,0
2019-09-13,0,0,45,47,0,0,0,59,0,0
2019-09-14,0,0,36,29,0,0,0,44,0,0
2019-09-15,0,0,29,24,0,0,0,28,0,28
2019-09-16,7,0,20,14,0,0,0,53,0,0
2019-09-17,0,7,29,17,0,0,0,52,0,0
2019-09-18,0,7,22,65,0,0,0,49,0,0
2019-09-19,0,0,24,25,0,0,0,49,0,0
2019-09-20,0,0,24,38,0,0,0,66,0,0
2019-09-21,0,0,26,28,0,0,0,59,0,0
2019-09-22,0,0,39,34,0,0,0,29,0,0
2019-09-23,0,0,56,26,0,0,0,58,0,0
2019-09-24,0,0,53,29,0,0,0,42,0,0
2019-09-25,0,10,47,63,0,0,0,74,0,0
2019-09-26,10,7,45,28,0,0,0,67,0,0
2019-09-27,0,0,40,38,0,0,0,56,26,0
2019-09-28,0,0,38,40,0,0,0,73,0,0
2019-09-29,0,0,35,32,0,0,0,75,0,0
2019-09-30,0,7,38,20,0,0,0,48,0,0
2019-10-01,0,0,39,27,0,0,0,82,0,0
2019-10-02,0,0,30,65,0,0,0,71,0,0
2019-10-03,0,7,31,23,0,0,0,58,0,0
2019-10-04,0,0,34,35,0,0,0,72,0,0
2019-10-05,0,0,29,35,0,0,0,62,0,0
2019-10-06,0,0,36,28,0,0,0,56,0,0
2019-10-07,0,11,24,17,0,0,0,83,0,0
2019-10-08,0,6,24,20,0,0,0,76,0,0
2019-10-09,0,12,30,50,0,0,0,49,0,0
2019-10-10,0,0,22,27,0,0,0,55,0,0
2019-10-11,0,7,32,38,0,0,0,56,0,0
2019-10-12,0,0,32,34,0,0,0,51,0,0
2019-10-13,0,0,23,23,0,0,0,43,0,0
2019-10-14,0,7,26,19,0,0,0,68,0,0
2019-10-15,0,0,29,28,0,0,0,67,0,0
2019-10-16,0,0,21,63,0,0,0,49,0,0
2019-10-17,0,0,23,23,0,0,0,54,0,0
2019-10-18,0,0,28,33,0,0,0,37,0,0
2019-10-19,0,0,20,26,0,0,0,75,0,0
2019-10-20,0,0,30,26,0,0,0,0,0,0
2019-10-21,0,0,31,17,0,0,0,53,0,0
2019-10-22,0,0,41,17,0,0,0,45,0,0
2019-10-23,0,0,42,56,0,0,0,60,0,0
2019-10-24,0,0,54,25,0,0,0,59,0,0
2019-10-25,0,0,63,59,0,0,0,76,0,0
2019-10-26,0,0,44,35,0,0,0,60,0,0
2019-10-27,0,0,31,27,0,0,0,37,0,0
2019-10-28,0,0,35,21,0,0,0,55,0,0
2019-10-29,0,0,32,23,0,0,0,83,0,0
2019-10-30,0,0,39,80,0,0,0,68,0,0
2019-10-31,0,0,38,20,0,0,0,63,0,0
2019-11-01,0,8,32,48,0,0,0,69,0,0
2019-11-02,0,0,23,33,0,0,0,59,0,0
2019-11-03,0,0,33,42,0,0,0,30,0,0
2019-11-04,0,0,34,21,0,0,0,65,0,0
2019-11-05,0,0,26,21,0,0,0,68,0,0
2019-11-06,0,0,28,69,0,0,0,66,0,0
2019-11-07,0,8,25,29,0,0,0,60,0,0
2019-11-08,0,0,26,35,0,0,0,72,0,0
2019-11-09,0,0,23,33,0,0,0,73,0,0
2019-11-10,0,0,25,20,0,0,0,35,0,0
2019-11-11,0,0,25,15,0,0,0,61,0,0
2019-11-12,0,0,33,26,0,0,0,61,0,0
2019-11-13,0,0,51,59,0,0,0,75,0,0
