date,Exclusive Books,Download,Wattpad,textbook,ebook,poetry,Amazon books,novel
2023-03-21,11,78,12,0,15,41,0,37
2023-03-22,0,64,19,10,0,46,0,22
2023-03-23,0,80,20,10,0,58,0,28
2023-03-24,0,51,14,0,0,42,0,26
2023-03-25,0,74,16,0,0,53,0,24
2023-03-26,12,87,21,0,0,54,0,55
2023-03-27,0,69,25,10,0,47,0,28
2023-03-28,14,69,26,0,0,55,0,19
2023-03-29,0,73,31,0,0,58,0,32
2023-03-30,0,72,27,0,0,53,0,37
2023-03-31,0,51,20,0,0,46,0,27
2023-04-01,0,56,21,0,0,41,0,37
2023-04-02,0,56,28,0,0,49,0,29
2023-04-03,0,68,22,0,0,48,0,25
2023-04-04,0,79,26,12,0,64,0,32
2023-04-05,13,58,26,0,13,53,0,42
2023-04-06,0,68,19,0,0,33,0,29
2023-04-07,0,69,31,0,0,31,0,39
2023-04-08,0,74,27,0,0,37,0,38
2023-04-09,0,84,19,0,0,55,0,43
2023-04-10,12,81,32,0,0,64,0,38
2023-04-11,10,63,22,12,0,55,0,36
2023-04-12,0,83,16,12,0,69,0,46
2023-04-13,11,72,13,12,0,62,0,43
2023-04-14,11,72,23,14,0,53,0,25
2023-04-15,0,100,0,0,0,45,0,39
2023-04-16,0,71,31,0,0,64,0,28
2023-04-17,0,71,22,0,0,84,0,44
2023-04-18,0,74,23,10,0,75,0,41
2023-04-19,0,75,23,12,10,69,0,33
2023-04-20,15,82,18,17,0,78,0,37
2023-04-21,12,67,20,15,0,56,0,0
2023-04-22,0,65,16,0,0,57,0,37
2023-04-23,0,64,25,0,0,77,0,30
2023-04-24,0,69,12,12,11,74,0,38
2023-04-25,11,76,14,0,15,74,0,45
2023-04-26,10,50,14,0,0,55,0,30
2023-04-27,12,71,15,0,12,52,0,44
2023-04-28,0,74,18,0,0,57,0,37
2023-04-29,0,78,32,0,0,67,0,32
2023-04-30,0,73,22,0,0,50,0,57
2023-05-01,0,63,23,0,0,65,0,41
2023-05-02,0,69,15,15,12,73,0,29
2023-05-03,10,76,20,14,0,86,0,41
2023-05-04,11,77,21,14,0,61,0,31
2023-05-05,12,65,14,0,0,62,0,38
2023-05-06,12,76,15,16,0,62,0,42
2023-05-07,0,79,22,0,0,75,0,43
2023-05-08,14,73,20,15,0,95,0,43
2023-05-09,13,77,17,10,0,81,0,45
2023-05-10,0,69,14,12,0,68,0,30
2023-05-11,0,79,20,13,0,100,0,36
2023-05-12,0,73,16,0,0,72,0,44
2023-05-13,0,78,23,0,0,72,0,39
2023-05-14,26,76,18,0,0,68,0,41
2023-05-15,19,81,21,12,0,77,0,44
2023-05-16,14,63,18,0,0,74,0,54
2023-05-17,11,76,16,12,11,72,0,51
2023-05-18,0,84,19,16,0,58,0,39
2023-05-19,12,75,20,10,0,54,0,39
2023-05-20,0,81,23,0,15,62,0,43
2023-05-21,12,85,18,0,0,64,0,64
2023-05-22,12,91,19,14,14,69,0,41
2023-05-23,0,74,15,0,0,84,0,35
2023-05-24,0,95,11,10,0,76,0,42
2023-05-25,12,65,14,17,10,75,0,38
2023-05-26,0,79,21,0,0,58,0,49
2023-05-27,0,80,28,16,0,55,0,46
2023-05-28,12,81,19,12,17,95,0,38
2023-05-29,0,89,17,11,0,100,0,55
2023-05-30,11,76,0,13,0,97,0,39
2023-05-31,0,73,20,12,0,65,0,45
2023-06-01,0,69,18,0,0,64,0,37
2023-06-02,0,72,21,0,0,59,0,30
2023-06-03,13,73,21,13,0,52,0,54
2023-06-04,0,86,21,0,0,74,0,57
2023-06-05,0,68,12,11,0,91,0,35
2023-06-06,0,83,14,10,15,76,0,43
2023-06-07,10,94,21,14,0,59,0,48
2023-06-08,9,81,17,13,10,84,0,44
2023-06-09,0,66,23,0,0,46,0,46
2023-06-10,0,75,19,0,0,53,0,37
2023-06-11,0,68,25,0,15,61,0,60
2023-06-12,13,84,17,0,0,74,0,53
2023-06-13,0,85,20,13,0,68,0,44
2023-06-14,11,75,20,0,0,61,0,41
2023-06-15,13,70,32,0,0,49,0,45
2023-06-16,13,65,25,0,12,39,0,28
2023-06-17,13,80,32,0,0,48,0,55
2023-06-18,14,81,21,0,0,53,0,52
2023-06-19,0,78,15,0,0,50,0,35
2023-06-20,0,75,21,0,0,52,0,36
2023-06-21,16,79,21,0,0,75,0,47
2023-06-22,11,70,27,0,0,60,0,36
2023-06-23,0,57,25,0,0,43,0,32
2023-06-24,0,70,31,0,0,59,0,39
2023-06-25,13,66,24,0,17,65,0,29
2023-06-26,13,72,29,0,0,58,0,42
2023-06-27,17,59,22,0,0,63,0,35
2023-06-28,11,69,22,0,11,61,15,26
2023-06-29,13,74,27,0,12,54,0,33
2023-06-30,0,69,24,0,0,51,0,30
2023-07-01,14,92,32,0,0,51,0,34
2023-07-02,13,68,33,0,0,61,21,60
2023-07-03,11,92,16,0,0,51,0,32
2023-07-04,13,95,26,0,0,51,0,41
2023-07-05,12,75,27,0,10,56,0,42
2023-07-06,12,60,21,0,0,53,0,48
2023-07-07,12,75,20,0,12,41,0,39
2023-07-08,13,61,34,0,0,56,0,49
2023-07-09,0,73,21,0,14,18,0,25
2023-07-10,0,66,16,0,12,28,0,21
2023-07-11,0,77,27,0,0,20,0,20
2023-07-12,15,71,17,0,0,20,0,24
2023-07-13,19,61,26,0,0,23,0,24
2023-07-14,0,60,22,0,0,22,0,17
2023-07-15,0,74,26,0,14,22,0,20
2023-07-16,0,58,26,0,0,25,0,17
2023-07-17,0,61,23,0,0,25,0,20
2023-07-18,14,56,15,0,11,34,0,24
2023-07-19,0,73,19,13,0,24,0,22
2023-07-20,21,68,16,0,0,37,0,32
2023-07-21,0,68,27,0,12,19,0,19
2023-07-22,0,73,27,0,0,32,0,23
2023-07-23,22,83,27,18,0,39,0,24
2023-07-24,15,93,25,19,0,37,0,30
2023-07-25,0,75,24,15,0,48,0,27
2023-07-26,13,81,24,19,0,62,0,30
2023-07-27,0,56,22,0,0,37,0,28
2023-07-28,15,59,23,0,0,38,0,18
2023-07-29,0,60,20,0,0,30,0,16
2023-07-30,0,74,37,15,0,44,0,31
2023-07-31,10,64,18,12,0,54,0,34
2023-08-01,14,80,20,10,0,66,0,42
2023-08-02,10,68,22,0,11,60,0,29
2023-08-03,0,79,16,12,13,64,0,37
2023-08-04,14,70,25,0,0,41,0,29
2023-08-05,18,81,24,0,16,44,0,26
2023-08-06,16,99,18,0,0,67,0,42
2023-08-07,0,79,18,0,13,71,0,34
2023-08-08,0,69,14,0,0,42,0,23
2023-08-09,14,91,22,0,0,83,0,37
2023-08-10,13,76,25,10,19,73,0,39
2023-08-11,0,69,25,0,0,36,0,14
2023-08-12,14,88,21,0,0,42,0,30
2023-08-13,0,79,34,0,0,81,0,38
2023-08-14,0,89,18,0,0,83,0,36
2023-08-15,11,89,12,0,0,77,0,30
2023-08-16,0,88,12,12,12,67,0,30
2023-08-17,0,90,19,0,0,75,0,30
2023-08-18,11,66,21,0,0,41,0,17
2023-08-19,13,79,22,0,0,37,0,22
2023-08-20,13,100,28,0,0,100,0,37
2023-08-21,0,88,23,11,0,65,0,34
2023-08-22,0,86,22,0,0,73,0,34
2023-08-23,16,87,25,0,11,63,0,36
2023-08-24,0,73,18,0,0,64,0,26
2023-08-25,11,61,14,0,0,38,0,15
2023-08-26,0,64,28,0,0,39,0,16
2023-08-27,15,95,30,17,0,74,0,26
2023-08-28,12,67,24,0,0,52,0,23
2023-08-29,12,75,16,0,0,52,0,29
2023-08-30,0,80,22,0,0,54,0,24
2023-08-31,0,74,22,0,0,56,0,23
2023-09-01,0,63,25,0,0,24,0,19
2023-09-02,0,72,24,15,0,35,0,15
2023-09-03,0,73,15,14,0,61,0,22
2023-09-04,11,77,19,0,13,67,0,17
2023-09-05,0,68,16,12,11,56,0,22
2023-09-06,11,68,21,0,17,60,0,17
2023-09-07,0,74,21,0,0,44,0,16
2023-09-08,0,61,18,0,0,29,0,13
2023-09-09,13,63,26,0,0,27,0,12
2023-09-10,0,77,32,12,0,55,0,22
2023-09-11,0,51,22,0,0,40,0,16
2023-09-12,12,73,15,0,0,44,0,21
2023-09-13,0,72,15,0,0,42,0,17
2023-09-14,0,74,15,0,11,46,0,13
2023-09-15,12,67,21,0,0,38,0,14
2023-09-16,14,67,23,0,0,37,0,18
2023-09-17,14,76,27,0,0,43,0,0
2023-09-18,15,62,24,0,0,39,0,21
2023-09-19,15,71,17,14,0,30,0,13
2023-09-20,0,51,19,0,0,30,0,13
2023-09-21,0,54,21,0,0,25,0,15
2023-09-22,0,47,20,0,0,23,0,11
2023-09-23,11,67,23,0,0,21,0,12
2023-09-24,15,69,19,0,0,25,0,12
2023-09-25,14,54,33,0,0,23,0,0
2023-09-26,0,60,22,0,0,20,0,16
2023-09-27,0,64,21,0,10,25,0,12
2023-09-28,0,66,26,0,0,23,0,11
2023-09-29,0,67,26,0,0,23,0,12
2023-09-30,0,56,27,0,0,18,0,12
2023-10-01,15,70,21,0,0,22,0,10
2023-10-02,15,59,32,0,12,22,0,10
2023-10-03,0,61,18,0,10,24,0,14
2023-10-04,0,60,18,0,0,28,0,9
2023-10-05,0,67,18,0,0,21,0,11
2023-10-06,0,44,18,0,0,22,0,11
2023-10-07,0,55,29,0,0,21,0,11
2023-10-08,0,63,19,0,0,23,0,13
2023-10-09,0,62,24,0,11,22,0,11
2023-10-10,17,66,21,12,11,28,0,15
2023-10-11,22,75,19,0,0,27,0,15
2023-10-12,0,65,21,0,0,26,0,15
2023-10-13,0,85,29,0,0,23,0,14
2023-10-14,13,90,26,0,0,20,0,13
2023-10-15,11,74,21,0,11,30,0,10
2023-10-16,13,80,21,15,0,30,0,17
2023-10-17,13,64,22,10,0,33,0,12
2023-10-18,0,74,14,0,0,26,0,13
2023-10-19,13,77,21,0,13,29,0,12
2023-10-20,12,71,18,12,13,26,0,13
2023-10-21,0,56,15,0,0,25,0,10
2023-10-22,0,79,26,0,0,31,0,12
2023-10-23,0,61,22,0,0,31,0,9
2023-10-24,0,67,0,0,0,25,0,11
2023-10-25,21,64,13,0,0,33,0,13
2023-10-26,0,63,15,0,0,24,0,12
2023-10-27,15,68,20,14,0,21,0,9
2023-10-28,0,74,23,0,0,21,0,8
2023-10-29,0,63,20,0,0,24,0,15
2023-10-30,14,63,19,0,0,26,0,18
2023-10-31,14,68,14,16,0,26,0,11
2023-11-01,14,68,17,0,9,32,0,15
2023-11-02,12,75,16,0,11,25,0,13
2023-11-03,0,58,20,0,0,34,0,14
2023-11-04,17,64,18,0,0,23,0,12
2023-11-05,0,60,22,0,0,35,0,17
2023-11-06,0,80,16,0,0,28,0,15
2023-11-07,13,76,22,0,0,23,0,11
2023-11-08,0,66,12,0,10,24,0,13
2023-11-09,11,68,20,0,0,29,0,12
2023-11-10,0,62,22,0,0,22,0,15
2023-11-11,0,57,16,0,0,29,0,19
2023-11-12,12,48,23,0,0,23,0,14
2023-11-13,16,77,20,13,0,31,0,14
2023-11-14,12,85,18,0,0,50,0,16
2023-11-15,10,69,18,0,0,41,0,11
2023-11-16,10,67,0,19,0,24,0,15
2023-11-17,0,60,19,0,11,21,0,12
2023-11-18,0,69,29,0,0,27,0,15
2023-11-19,16,73,26,0,0,31,0,14
2023-11-20,17,65,23,0,0,38,0,11
2023-11-21,0,72,17,0,0,35,0,15
2023-11-22,14,64,18,0,0,29,0,14
2023-11-23,13,63,22,0,0,31,0,18
2023-11-24,21,64,27,0,0,34,0,12
2023-11-25,0,47,22,0,0,32,0,13
2023-11-26,22,76,28,0,0,32,0,16
2023-11-27,17,46,15,0,0,34,0,15
2023-11-28,17,64,23,0,0,21,0,15
2023-11-29,10,54,17,13,0,27,0,10
2023-11-30,20,78,19,0,0,22,0,13
2023-12-01,22,67,23,0,0,18,0,14
2023-12-02,0,70,23,0,0,18,0,14
2023-12-03,17,59,25,0,0,21,0,12
2023-12-04,21,59,18,0,0,16,0,9
2023-12-05,14,61,20,0,0,22,0,12
