date,Medicine,Tablets,Pharmaceutical drugs,COVID-19 vaccine,Insurance plan,Vitamins online,Immune booster,Physician,Netcare,mediclinic
2019-04-24,31,82,0,0,0,0,0,0,69,61
2019-04-25,33,74,0,0,0,0,0,0,38,70
2019-04-26,27,62,0,0,0,0,0,0,48,66
2019-04-27,26,66,0,0,0,0,0,0,26,34
2019-04-28,30,73,0,0,0,0,0,0,35,35
2019-04-29,38,76,0,0,0,0,0,0,59,67
2019-04-30,31,78,0,0,0,0,0,0,59,71
2019-05-01,34,69,0,0,0,0,0,0,37,29
2019-05-02,28,85,0,0,0,0,0,0,48,75
2019-05-03,32,78,0,0,0,0,0,0,36,45
2019-05-04,23,71,0,0,0,0,0,0,34,33
2019-05-05,22,80,0,0,0,0,0,0,23,41
2019-05-06,30,84,0,0,0,0,0,0,36,86
2019-05-07,21,75,0,0,0,0,0,0,52,61
2019-05-08,29,67,0,0,0,0,0,0,28,43
2019-05-09,29,68,0,0,0,0,0,0,45,76
2019-05-10,35,77,0,0,0,0,0,0,40,57
2019-05-11,23,65,0,0,0,0,0,0,0,40
2019-05-12,24,66,0,0,0,0,0,0,50,34
2019-05-13,36,83,0,0,0,0,0,0,65,72
2019-05-14,31,83,0,0,0,0,0,0,49,69
2019-05-15,27,96,0,0,0,0,0,0,58,79
2019-05-16,34,87,0,0,0,0,0,0,40,62
2019-05-17,26,71,0,0,0,0,0,0,54,60
2019-05-18,32,82,0,0,0,0,0,0,26,54
2019-05-19,25,85,0,0,0,0,0,0,21,30
2019-05-20,37,94,0,0,0,0,0,0,58,98
2019-05-21,37,71,0,0,0,0,0,0,37,75
2019-05-22,29,77,0,0,0,0,0,0,53,69
2019-05-23,33,85,0,0,0,0,0,0,42,73
2019-05-24,28,74,0,0,0,0,0,0,52,62
2019-05-25,34,81,0,0,0,0,0,0,25,29
2019-05-26,28,73,0,0,0,0,0,0,31,41
2019-05-27,34,78,0,0,0,0,0,17,46,78
2019-05-28,30,79,0,0,0,0,0,0,53,75
2019-05-29,33,85,0,0,0,0,0,0,45,68
2019-05-30,33,70,0,0,0,0,0,0,44,57
2019-05-31,25,72,0,0,0,0,0,0,40,43
2019-06-01,25,72,0,0,0,0,0,0,24,44
2019-06-02,31,82,0,0,0,0,0,0,31,37
2019-06-03,34,77,0,0,0,0,0,0,40,56
2019-06-04,31,71,0,0,0,0,0,0,48,73
2019-06-05,32,72,0,0,0,0,0,0,38,92
2019-06-06,38,80,0,0,0,0,0,0,44,68
2019-06-07,27,70,0,0,0,19,0,0,51,53
2019-06-08,31,66,0,0,0,0,0,0,39,36
2019-06-09,28,64,0,0,0,0,0,0,35,36
2019-06-10,34,87,0,0,0,0,0,0,76,86
2019-06-11,35,78,0,0,0,0,0,0,57,71
