date,PS5 games,Powerball,Xbox games,video games,Mobile app,Genshin Impact,Lotto,Game,Betfred
2019-05-05,0,10,0,0,0,0,88,11,0
2019-05-06,0,9,0,0,0,0,60,8,0
2019-05-07,0,18,0,0,0,0,55,8,0
2019-05-08,0,20,0,0,0,0,71,10,0
2019-05-09,0,10,0,0,0,0,63,8,0
2019-05-10,0,18,0,0,0,0,47,8,0
2019-05-11,0,22,0,0,0,0,79,11,0
2019-05-12,0,9,0,0,0,0,76,11,0
2019-05-13,0,8,0,0,0,0,53,9,0
2019-05-14,0,16,0,0,0,0,55,9,0
2019-05-15,0,20,0,0,0,0,70,9,0
2019-05-16,0,9,0,0,0,0,73,9,0
2019-05-17,0,18,0,0,0,0,50,9,0
2019-05-18,0,22,0,0,0,0,83,12,0
2019-05-19,0,9,0,0,0,0,73,12,0
2019-05-20,0,8,0,0,0,0,51,9,0
2019-05-21,0,16,0,0,0,0,55,9,0
2019-05-22,0,18,0,0,0,0,67,9,0
2019-05-23,0,9,0,0,0,0,66,10,0
2019-05-24,0,20,0,0,0,0,47,9,0
2019-05-25,0,22,0,0,0,0,83,12,0
2019-05-26,0,10,0,0,0,0,84,10,0
2019-05-27,0,9,0,0,0,0,55,9,0
2019-05-28,0,19,0,0,0,0,57,9,0
2019-05-29,0,20,0,0,0,0,75,9,0
2019-05-30,0,9,0,0,0,0,69,9,0
2019-05-31,0,22,0,0,0,0,52,9,0
2019-06-01,0,24,0,0,0,0,81,12,0
2019-06-02,0,9,0,0,0,0,80,11,0
2019-06-03,0,9,0,0,0,0,59,8,0
2019-06-04,0,20,0,0,0,0,58,9,0
2019-06-05,0,24,0,0,0,0,80,9,0
2019-06-06,0,9,0,0,0,0,76,9,0
2019-06-07,0,20,0,0,0,0,50,11,0
2019-06-08,0,22,0,0,0,0,80,11,0
2019-06-09,0,9,0,0,0,0,81,11,0
2019-06-10,0,8,0,0,0,0,51,10,0
2019-06-11,0,17,0,0,0,0,55,10,0
2019-06-12,0,20,0,0,0,0,78,10,0
2019-06-13,0,9,0,0,0,0,70,10,0
2019-06-14,0,21,1,0,0,0,49,11,0
2019-06-15,0,22,0,0,0,1,85,12,0
2019-06-16,0,11,0,0,0,0,86,12,0
2019-06-17,0,10,0,0,0,0,63,11,0
2019-06-18,0,19,0,0,0,0,53,10,0
2019-06-19,0,16,0,0,0,0,69,9,0
2019-06-20,0,10,0,0,0,0,69,10,0
2019-06-21,0,18,1,0,0,0,48,11,0
2019-06-22,0,21,0,0,0,0,84,13,0
2019-06-23,0,10,0,0,0,0,88,13,0
2019-06-24,0,9,0,0,0,0,52,12,0
