date,Property24,Private Property,Remax Hub,Houses for Sale,Flats to rent,Room to rent,The Parks Lifestyle Apartments,Eazi Real Estate,Property sales,Real Estate
2023-01-08,63,35,0,100,31,80,0,0,0,0
2023-01-09,66,35,0,91,27,69,0,0,0,77
2023-01-10,72,31,0,83,34,55,0,0,0,64
2023-01-11,71,38,0,89,36,64,0,0,0,72
2023-01-12,71,32,0,85,31,59,0,0,0,72
2023-01-13,70,29,0,87,28,71,0,0,0,81
2023-01-14,54,26,0,90,29,76,31,0,0,44
2023-01-15,66,33,0,91,26,75,0,0,0,67
2023-01-16,72,36,0,81,28,93,0,0,0,64
2023-01-17,66,35,0,85,35,80,0,0,0,82
2023-01-18,65,35,0,83,28,82,0,0,0,86
2023-01-19,73,34,0,76,30,72,0,0,0,56
2023-01-20,57,30,0,80,27,68,0,0,0,79
2023-01-21,53,28,0,89,26,77,0,0,0,47
2023-01-22,65,32,0,92,25,90,0,0,0,58
2023-01-23,73,38,0,82,38,71,0,0,0,78
2023-01-24,74,33,0,78,29,75,0,0,0,78
2023-01-25,66,31,0,80,24,88,0,0,0,60
2023-01-26,69,31,0,77,26,47,0,0,0,92
2023-01-27,64,32,0,75,26,81,0,0,0,74
2023-01-28,53,23,0,81,24,82,0,0,0,41
2023-01-29,66,28,0,92,28,64,0,0,0,57
2023-01-30,77,34,0,79,28,57,0,0,0,79
2023-01-31,69,33,0,74,31,64,0,0,0,100
2023-02-01,68,31,0,74,30,62,0,0,0,74
2023-02-02,65,33,0,76,24,63,0,0,0,46
2023-02-03,65,25,0,80,24,64,0,0,0,65
2023-02-04,56,30,0,87,23,56,0,0,0,52
2023-02-05,75,37,0,96,25,70,0,0,0,45
2023-02-06,78,32,0,79,27,44,0,0,0,67
2023-02-07,62,33,0,82,27,76,0,0,0,84
2023-02-08,66,34,0,76,25,52,0,0,0,88
2023-02-09,65,32,0,69,23,73,0,0,0,79
2023-02-10,66,27,0,76,25,61,0,0,0,81
2023-02-11,59,26,0,80,21,65,0,0,0,62
2023-02-12,57,27,0,91,21,65,0,0,0,45
2023-02-13,70,30,0,70,26,57,0,0,0,91
2023-02-14,63,29,0,73,22,0,0,0,0,90
2023-02-15,71,25,0,80,26,55,0,0,0,75
2023-02-16,64,31,0,81,25,63,0,0,0,79
2023-02-17,56,28,0,77,22,58,0,0,25,62
2023-02-18,51,25,0,83,26,74,0,0,0,41
2023-02-19,59,28,0,90,24,87,0,0,0,42
2023-02-20,70,32,0,83,30,67,0,0,0,69
2023-02-21,68,28,0,75,29,75,0,0,0,88
2023-02-22,66,29,0,70,27,80,0,0,0,49
2023-02-23,63,27,0,74,27,69,0,0,0,62
2023-02-24,61,25,0,66,24,77,0,0,0,50
2023-02-25,50,23,0,73,23,79,0,0,0,53
2023-02-26,50,25,0,80,24,54,0,0,0,36
2023-02-27,62,33,0,70,23,88,0,0,0,71
2023-02-28,60,26,0,69,27,74,0,0,0,79
2023-03-01,57,30,0,70,26,82,0,0,0,53
2023-03-02,66,26,0,69,24,80,0,0,0,58
2023-03-03,57,22,0,68,20,53,0,0,0,61
2023-03-04,55,22,0,78,23,56,0,0,0,52
2023-03-05,51,23,0,84,22,50,0,0,0,61
2023-03-06,63,27,2,69,23,38,0,0,0,65
2023-03-07,64,28,0,70,27,62,0,0,0,70
2023-03-08,63,24,0,70,21,51,0,0,0,39
2023-03-09,62,25,0,70,21,67,0,0,0,62
2023-03-10,62,27,0,74,20,55,0,0,0,51
2023-03-11,54,21,0,73,20,38,0,0,0,37
2023-03-12,55,27,0,82,19,48,0,0,28,30
2023-03-13,71,28,0,77,27,63,0,0,0,73
2023-03-14,62,24,0,75,25,70,0,0,0,76
2023-03-15,56,23,0,73,25,54,0,0,0,91
2023-03-16,63,27,0,71,22,49,0,0,0,70
2023-03-17,59,25,0,74,19,63,0,0,0,58
2023-03-18,49,21,0,80,20,71,0,0,0,64
2023-03-19,55,23,0,85,23,35,0,0,0,43
2023-03-20,65,25,0,89,23,50,0,0,0,65
2023-03-21,64,28,0,99,25,64,0,0,0,51
2023-03-22,69,29,0,78,26,62,0,0,0,87
2023-03-23,63,28,0,76,24,61,0,0,0,69
2023-03-24,57,24,0,71,23,48,0,0,0,49
2023-03-25,51,24,0,81,23,85,28,0,0,51
2023-03-26,54,25,0,87,22,68,0,0,0,41
2023-03-27,61,26,0,71,24,64,0,0,0,47
