date,KFC,beverage,McDonalds,Checkers,Woolworths,Pick n Pay,Nandos,Burger King,Debonairs Pizza,Grocery delivery
2024-07-11,19,0,2,7,9,23,46,31,32,0
2024-07-12,29,0,2,8,9,17,78,47,49,0
2024-07-13,26,0,4,11,8,30,60,50,58,0
2024-07-14,19,0,2,9,11,24,50,30,41,0
2024-07-15,17,0,2,7,8,18,52,23,38,0
2024-07-16,20,0,3,9,9,23,48,25,36,0
2024-07-17,19,0,2,6,10,22,56,32,26,0
2024-07-18,21,0,3,8,8,24,58,41,32,0
2024-07-19,30,0,3,9,9,28,80,51,62,0
2024-07-20,30,0,3,10,10,28,54,47,55,0
2024-07-21,22,0,3,10,11,23,47,38,52,0
2024-07-22,16,0,2,7,8,17,47,22,28,0
2024-07-23,19,0,2,9,9,27,46,29,25,0
2024-07-24,19,0,3,8,10,24,43,31,38,0
2024-07-25,28,0,3,9,10,27,77,51,55,0
2024-07-26,38,0,3,10,11,37,97,74,74,0
2024-07-27,33,0,2,11,10,24,67,53,76,0
2024-07-28,27,0,3,11,11,24,50,42,50,0
2024-07-29,20,0,1,9,9,28,52,35,33,0
2024-07-30,23,0,2,8,8,20,59,36,37,0
2024-07-31,28,0,2,8,8,22,61,40,39,0
2024-08-01,26,0,2,7,9,18,57,38,48,0
2024-08-02,32,0,3,9,9,33,81,54,62,0
2024-08-03,32,0,3,12,9,27,68,42,67,0
2024-08-04,25,0,2,9,9,20,55,28,47,0
2024-08-05,17,0,1,6,8,17,49,18,26,0
2024-08-06,20,0,3,8,9,22,44,24,27,0
2024-08-07,18,0,2,7,9,15,44,30,21,0
2024-08-08,26,0,2,9,9,30,65,49,32,0
2024-08-09,27,0,3,12,8,28,65,46,50,0
2024-08-10,27,0,4,8,8,23,59,35,48,0
2024-08-11,23,0,2,9,8,21,50,37,34,0
2024-08-12,15,0,0,7,8,19,33,10,25,8
2024-08-13,19,0,2,8,8,19,44,31,22,0
2024-08-14,20,0,2,8,8,28,54,22,24,0
2024-08-15,23,0,3,8,8,24,66,27,29,0
2024-08-16,25,0,3,9,8,22,77,32,49,0
2024-08-17,27,0,3,9,9,24,67,39,52,0
2024-08-18,22,0,3,9,9,20,48,41,36,0
2024-08-19,14,0,1,7,8,23,44,14,20,0
2024-08-20,22,0,2,8,9,21,46,26,32,0
