date,KFC,beverage,McDonalds,Checkers,Woolworths,Pick n Pay,Nandos,Burger King,Debonairs Pizza,Grocery delivery
2021-07-05,24,0,8,6,11,11,38,13,13,0
2021-07-06,37,0,9,5,11,17,34,14,20,0
2021-07-07,29,0,10,5,10,10,40,16,13,0
2021-07-08,33,0,11,6,8,13,40,15,18,0
2021-07-09,41,0,14,6,10,19,68,27,30,0
2021-07-10,56,0,16,6,12,18,59,31,28,0
2021-07-11,31,0,10,4,11,0,40,16,17,0
2021-07-12,21,0,7,4,8,10,22,13,13,0
2021-07-13,25,0,8,6,9,15,28,15,14,0
2021-07-14,23,0,9,7,10,13,30,17,10,0
2021-07-15,29,0,8,8,9,14,39,14,18,0
2021-07-16,30,0,13,6,8,13,53,29,26,0
2021-07-17,40,0,13,6,14,12,46,30,17,0
2021-07-18,29,0,11,5,10,10,43,17,10,0
2021-07-19,21,0,10,6,10,12,32,12,12,0
2021-07-20,29,0,7,6,11,15,39,16,11,0
2021-07-21,27,0,9,6,11,9,45,16,11,0
2021-07-22,30,0,11,5,9,11,42,14,7,0
2021-07-23,48,0,14,6,10,17,81,27,34,0
2021-07-24,58,0,18,8,12,21,74,24,30,0
2021-07-25,34,0,10,9,13,14,45,22,19,0
2021-07-26,28,0,10,12,11,21,44,20,12,0
2021-07-27,36,0,8,11,11,26,45,15,13,0
2021-07-28,33,0,11,12,10,21,44,23,7,0
2021-07-29,36,0,10,16,11,19,51,16,16,0
2021-07-30,48,0,14,8,9,9,81,33,29,0
2021-07-31,51,0,15,8,12,19,60,24,37,0
2021-08-01,37,0,12,7,11,15,51,28,19,0
2021-08-02,31,0,8,9,10,14,32,16,13,0
2021-08-03,32,0,7,7,10,18,32,11,14,0
2021-08-04,29,0,8,9,10,20,37,19,13,0
2021-08-05,30,0,9,15,11,25,42,12,14,0
2021-08-06,35,2,13,7,8,13,60,30,24,0
2021-08-07,37,0,12,6,11,11,56,22,22,0
2021-08-08,35,0,11,8,14,16,43,20,12,0
2021-08-09,31,0,11,8,11,20,45,20,14,0
2021-08-10,22,0,7,7,9,19,35,13,8,0
2021-08-11,25,0,9,6,9,12,36,13,9,0
2021-08-12,24,0,7,10,8,20,38,18,9,0
2021-08-13,39,0,13,7,11,11,69,31,27,0
2021-08-14,34,0,13,7,10,16,52,24,36,0
2021-08-15,31,0,9,6,10,18,44,19,23,0
2021-08-16,25,0,6,6,9,11,30,14,9,0
2021-08-17,29,0,7,7,10,16,32,12,9,0
2021-08-18,26,0,8,7,10,16,37,14,11,0
2021-08-19,25,0,7,10,9,20,48,22,11,0
2021-08-20,39,0,12,6,10,13,69,27,25,0
2021-08-21,34,0,13,7,10,13,58,23,23,0
2021-08-22,30,0,11,7,9,9,51,25,16,0
2021-08-23,30,0,7,9,9,16,38,12,9,0
2021-08-24,34,0,8,8,9,17,36,21,18,0
2021-08-25,37,0,10,10,10,19,57,28,19,0
2021-08-26,35,0,9,13,11,31,64,23,21,0
2021-08-27,44,0,12,7,9,9,100,38,40,0
2021-08-28,42,0,14,8,11,12,91,28,62,0
2021-08-29,37,0,11,8,11,15,59,24,32,0
2021-08-30,35,0,8,9,9,16,54,19,17,0
2021-08-31,36,0,8,8,11,21,46,16,19,0
2021-09-01,32,0,8,8,9,18,51,18,20,0
2021-09-02,30,1,8,10,11,20,45,19,12,0
2021-09-03,43,0,13,6,9,16,70,35,34,0
2021-09-04,35,0,13,7,8,15,53,32,21,0
2021-09-05,29,0,11,6,11,17,42,24,18,0
2021-09-06,29,0,7,7,9,12,32,11,9,0
2021-09-07,26,0,6,6,9,13,33,17,9,0
2021-09-08,26,0,8,8,8,15,39,11,11,0
2021-09-09,29,0,8,12,10,18,46,16,14,0
2021-09-10,100,0,13,6,8,13,60,25,18,0
2021-09-11,48,0,12,5,9,11,55,23,20,0
2021-09-12,31,0,10,7,8,13,38,20,11,0
2021-09-13,34,0,8,7,10,13,39,8,9,0
2021-09-14,28,0,7,7,8,17,39,14,12,0
2021-09-15,37,0,7,8,9,15,51,17,20,0
2021-09-16,32,0,8,8,9,14,51,20,14,0
2021-09-17,36,2,11,12,9,19,58,35,24,0
2021-09-18,35,0,11,6,9,10,56,23,26,0
2021-09-19,29,0,10,5,9,13,41,25,13,0
2021-09-20,32,0,7,8,11,14,37,22,11,0
2021-09-21,30,0,9,8,8,19,39,21,9,0
2021-09-22,26,0,8,9,9,22,44,18,13,0
2021-09-23,38,0,12,15,10,17,71,31,30,0
2021-09-24,41,0,15,13,13,19,52,18,32,0
2021-09-25,39,0,12,4,11,10,46,33,32,0
2021-09-26,40,0,12,7,9,13,57,28,21,0
2021-09-27,31,0,9,7,7,18,42,13,8,0
2021-09-28,34,0,8,7,10,19,43,15,12,0
2021-09-29,30,0,8,7,9,9,39,26,12,0
2021-09-30,39,0,10,8,8,18,51,23,25,0
2021-10-01,46,0,15,10,10,17,66,40,31,0
2021-10-02,41,0,15,11,9,19,53,22,34,0
2021-10-03,38,0,11,13,9,21,50,21,27,0
2021-10-04,30,0,8,5,7,15,26,18,18,0
2021-10-05,35,0,8,7,8,12,45,18,17,0
2021-10-06,34,0,10,9,8,21,43,19,13,0
2021-10-07,32,0,9,8,10,12,42,16,22,0
2021-10-08,42,0,11,11,8,22,61,27,24,0
2021-10-09,40,0,13,13,9,17,54,28,23,0
2021-10-10,33,0,13,9,12,11,52,21,17,0
2021-10-11,27,0,8,6,10,13,35,15,8,0
2021-10-12,28,0,8,6,9,16,36,14,6,0
2021-10-13,31,0,9,6,10,16,37,14,12,0
2021-10-14,29,0,8,9,10,15,46,20,24,0
2021-10-15,40,0,14,11,9,17,66,27,31,0
2021-10-16,37,0,13,9,11,16,48,25,34,0
2021-10-17,36,0,12,10,9,17,44,18,22,0
2021-10-18,24,0,7,7,9,14,37,12,10,0
2021-10-19,30,0,8,7,9,17,39,14,12,0
2021-10-20,28,0,9,8,10,13,40,20,18,0
2021-10-21,29,0,7,8,8,17,42,16,16,0
2021-10-22,42,0,12,9,9,20,67,31,24,0
2021-10-23,39,0,12,8,12,17,67,27,30,0
2021-10-24,38,0,12,7,8,15,58,17,26,0
2021-10-25,36,0,7,7,8,18,61,19,18,0
2021-10-26,40,0,9,8,10,16,46,15,15,0
2021-10-27,41,0,10,8,8,18,41,21,16,0
2021-10-28,39,0,10,7,9,16,56,25,27,0
2021-10-29,57,0,14,11,9,17,80,31,41,0
2021-10-30,47,0,14,11,9,16,59,28,40,0
2021-10-31,47,0,13,10,14,17,64,33,27,0
2021-11-01,40,0,11,10,11,19,38,22,29,0
2021-11-02,31,0,6,6,7,11,34,14,10,0
2021-11-03,30,0,7,6,9,15,40,18,12,0
2021-11-04,29,0,6,7,8,17,47,11,18,0
2021-11-05,42,0,12,9,7,17,69,23,29,0
2021-11-06,37,0,12,8,9,15,47,28,20,0
2021-11-07,31,0,9,8,12,21,40,23,19,0
2021-11-08,32,0,7,6,10,14,33,17,15,0
2021-11-09,36,0,10,6,11,14,42,11,11,0
2021-11-10,30,0,7,8,9,19,41,21,8,0
2021-11-11,27,0,6,8,8,14,49,13,13,0
2021-11-12,41,0,11,9,9,18,56,29,25,0
2021-11-13,37,0,11,9,10,22,49,34,30,0
2021-11-14,35,0,13,9,8,19,44,18,19,0
2021-11-15,30,0,7,7,10,13,48,18,14,0
2021-11-16,38,0,8,9,10,21,37,15,10,0
2021-11-17,34,0,10,8,9,19,42,19,15,0
2021-11-18,33,0,8,12,11,22,50,24,23,0
2021-11-19,40,0,11,10,10,17,67,31,22,0
2021-11-20,38,0,12,11,8,20,55,30,30,0
2021-11-21,37,0,11,8,10,22,49,23,17,0
2021-11-22,27,0,7,9,9,17,36,17,12,0
2021-11-23,31,0,10,10,10,17,32,21,13,0
2021-11-24,33,0,8,12,10,22,50,16,16,0
2021-11-25,46,0,12,17,10,30,62,30,39,0
2021-11-26,61,0,16,21,8,26,84,41,56,0
2021-11-27,48,0,14,24,11,24,66,26,48,0
2021-11-28,42,0,12,23,10,24,53,26,22,0
2021-11-29,78,0,10,10,10,17,43,14,19,0
2021-11-30,63,2,12,9,12,19,63,23,23,0
2021-12-01,44,0,11,11,11,16,49,19,22,0
2021-12-02,43,0,10,9,9,20,63,24,25,0
2021-12-03,46,0,15,12,8,18,65,21,32,0
2021-12-04,42,0,14,14,11,27,69,25,26,0
2021-12-05,41,0,11,11,13,18,49,22,30,0
2021-12-06,34,0,7,10,11,16,37,16,23,0
2021-12-07,34,0,8,11,12,20,39,18,14,0
2021-12-08,38,0,10,9,10,18,50,18,17,0
