date,KFC,beverage,McDonalds,Checkers,Woolworths,Pick n Pay,Nandos,Burger King,Debonairs Pizza,Grocery delivery
2022-01-06,46,0,11,10,13,20,66,32,22,0
2022-01-07,55,0,13,13,16,23,77,38,30,0
2022-01-08,61,0,20,13,14,20,81,35,30,0
2022-01-09,48,0,15,9,16,17,58,28,17,0
2022-01-10,36,0,11,8,13,20,49,23,11,0
2022-01-11,39,0,9,11,14,21,50,13,7,0
2022-01-12,36,0,11,6,15,17,55,20,0,0
2022-01-13,40,0,11,13,15,21,52,22,13,0
2022-01-14,52,0,16,12,18,16,92,22,34,0
2022-01-15,52,0,18,13,18,17,71,32,32,0
2022-01-16,45,0,12,13,19,12,66,13,19,0
2022-01-17,37,0,6,10,16,19,47,17,12,0
2022-01-18,41,0,8,10,14,14,40,16,18,0
2022-01-19,40,0,11,10,16,17,49,18,12,0
2022-01-20,44,0,11,10,14,16,60,22,17,0
2022-01-21,56,0,14,11,18,15,78,34,29,0
2022-01-22,51,0,13,14,14,19,69,26,18,0
2022-01-23,45,0,13,13,18,18,46,29,19,0
2022-01-24,34,0,9,10,14,17,44,17,17,0
2022-01-25,55,0,11,13,12,21,58,20,22,0
2022-01-26,43,0,9,14,13,22,55,26,16,0
2022-01-27,52,0,11,11,15,20,66,23,26,0
2022-01-28,64,0,18,17,15,19,97,33,35,0
2022-01-29,63,0,19,15,18,19,81,36,45,0
2022-01-30,57,0,15,12,17,29,68,24,31,0
2022-01-31,43,0,11,9,16,17,48,20,14,0
2022-02-01,47,0,11,9,12,14,55,19,16,0
2022-02-02,46,0,11,10,18,16,57,24,24,0
2022-02-03,48,0,12,13,11,14,49,25,20,0
2022-02-04,58,0,18,13,12,21,83,31,26,0
2022-02-05,50,0,20,15,17,20,65,37,32,0
2022-02-06,49,0,16,13,13,18,74,18,28,0
2022-02-07,40,0,10,9,14,18,43,14,18,0
2022-02-08,42,0,10,10,14,18,48,14,19,0
2022-02-09,42,0,10,9,14,15,42,20,21,0
2022-02-10,41,0,9,11,16,24,56,15,17,0
2022-02-11,55,0,15,14,15,23,61,33,27,0
2022-02-12,51,0,17,15,17,16,62,26,29,0
2022-02-13,42,0,12,15,14,22,54,23,24,0
2022-02-14,43,0,12,12,14,16,59,19,27,0
2022-02-15,55,0,10,10,15,18,56,19,21,0
2022-02-16,38,0,10,10,15,18,43,19,15,0
2022-02-17,36,0,11,10,15,13,52,19,18,0
2022-02-18,52,0,17,15,13,13,60,30,28,0
2022-02-19,50,0,18,16,16,26,59,28,29,0
2022-02-20,41,0,12,16,15,17,46,19,19,0
2022-02-21,32,0,8,11,15,19,44,10,11,0
2022-02-22,44,0,9,12,12,20,42,20,11,0
2022-02-23,36,0,8,11,14,17,44,14,12,0
2022-02-24,42,0,10,10,14,20,54,18,15,0
2022-02-25,76,0,18,15,14,18,94,42,49,0
2022-02-26,64,0,17,17,14,24,65,37,55,0
2022-02-27,51,0,15,13,16,16,65,30,39,0
2022-02-28,52,0,10,12,16,20,44,21,31,0
2022-03-01,52,0,10,10,14,17,52,23,28,0
2022-03-02,41,0,9,10,12,23,45,19,21,0
2022-03-03,43,0,11,13,14,19,48,19,17,0
2022-03-04,60,0,14,12,14,25,80,37,37,0
2022-03-05,58,0,17,12,14,16,61,27,44,0
2022-03-06,48,0,14,12,15,22,42,22,27,0
2022-03-07,50,0,9,10,14,17,42,17,12,0
2022-03-08,47,0,11,9,14,20,43,19,14,0
2022-03-09,39,0,11,8,16,18,47,22,16,0
2022-03-10,42,0,11,10,13,20,45,24,16,0
2022-03-11,60,0,14,15,12,20,60,35,34,0
2022-03-12,53,0,16,16,16,25,55,33,30,0
2022-03-13,40,0,11,12,16,20,51,25,24,0
2022-03-14,39,0,11,11,13,17,37,13,17,0
2022-03-15,49,0,10,12,15,18,54,18,27,0
2022-03-16,41,0,11,10,15,18,46,21,21,0
2022-03-17,49,0,12,12,13,20,46,24,25,0
2022-03-18,63,0,16,15,13,25,69,38,31,0
2022-03-19,61,0,17,17,14,21,55,31,39,0
2022-03-20,54,0,16,16,17,22,53,23,27,0
2022-03-21,48,0,13,13,16,24,54,21,33,0
2022-03-22,44,0,10,13,15,27,41,18,21,0
2022-03-23,43,0,12,12,15,21,43,21,16,0
2022-03-24,49,0,15,13,15,26,55,25,23,0
2022-03-25,84,0,22,15,15,28,95,41,40,0
2022-03-26,72,0,20,15,17,29,70,33,57,0
2022-03-27,59,0,16,17,16,25,57,33,38,0
2022-03-28,50,2,11,11,15,23,47,17,16,0
2022-03-29,52,0,12,12,15,20,50,24,22,0
2022-03-30,48,0,12,12,18,20,52,21,30,0
2022-03-31,54,0,14,14,16,26,68,27,29,0
2022-04-01,67,0,20,13,15,23,76,39,46,0
