date,KFC,beverage,McDonalds,Checkers,Woolworths,Pick n Pay,Nandos,Burger King,Debonairs Pizza,Grocery delivery
2024-01-10,39,0,5,13,21,19,44,21,22,0
2024-01-11,41,0,4,16,19,18,44,22,26,0
2024-01-12,62,0,6,17,19,29,61,39,43,0
2024-01-13,52,0,7,21,20,24,51,39,34,0
2024-01-14,45,0,5,22,23,23,51,27,30,0
2024-01-15,36,0,5,15,21,19,48,21,21,0
2024-01-16,44,0,4,17,19,23,40,22,16,0
2024-01-17,35,0,3,20,20,20,39,22,14,0
2024-01-18,36,0,5,15,19,22,38,24,18,0
2024-01-19,49,0,4,18,18,18,59,50,33,0
2024-01-20,49,0,5,24,19,22,46,39,37,0
2024-01-21,37,0,2,18,20,18,35,28,27,0
2024-01-22,29,0,4,13,22,15,33,18,18,0
2024-01-23,40,0,4,15,19,21,39,21,11,0
2024-01-24,37,0,4,16,17,21,42,28,17,0
2024-01-25,60,0,6,19,17,24,64,31,33,0
2024-01-26,69,0,6,21,20,24,71,49,46,0
2024-01-27,59,0,7,26,18,26,62,48,36,0
2024-01-28,50,0,5,21,23,19,50,31,39,0
2024-01-29,42,0,5,15,20,24,43,20,26,0
2024-01-30,44,0,4,13,14,21,48,27,23,0
2024-01-31,53,0,5,13,16,13,57,29,22,0
2024-02-01,53,0,6,14,14,21,46,21,26,0
2024-02-02,66,0,6,20,21,20,60,44,37,0
2024-02-03,64,0,7,21,21,21,46,22,39,0
2024-02-04,52,0,6,21,20,30,52,34,28,0
2024-02-05,39,0,3,16,19,22,39,18,14,0
2024-02-06,49,0,4,14,17,22,53,26,20,0
2024-02-07,38,0,4,14,19,15,46,21,17,0
2024-02-08,43,0,6,16,16,18,55,25,21,0
2024-02-09,64,0,4,21,18,30,74,42,32,0
2024-02-10,55,0,9,19,20,20,62,41,34,0
2024-02-11,47,0,5,20,19,19,46,27,20,0
2024-02-12,34,0,4,16,20,20,43,24,16,0
2024-02-13,49,0,5,19,19,25,43,21,16,0
2024-02-14,47,0,4,19,21,29,61,34,31,0
2024-02-15,52,0,5,16,17,18,69,31,26,0
2024-02-16,58,0,6,19,20,20,57,41,36,0
2024-02-17,51,0,5,20,19,16,52,33,39,0
2024-02-18,42,0,5,23,18,19,38,24,25,0
2024-02-19,37,0,4,14,14,16,39,18,14,0
2024-02-20,53,0,5,16,16,18,47,23,18,0
2024-02-21,37,0,3,15,16,30,54,26,29,0
2024-02-22,53,0,4,16,17,18,47,31,21,0
2024-02-23,84,0,6,22,18,20,72,61,47,0
2024-02-24,73,0,7,28,16,28,74,45,48,0
2024-02-25,53,0,6,23,20,32,46,31,36,0
2024-02-26,42,0,7,15,14,25,43,28,33,0
2024-02-27,66,0,3,14,15,18,48,32,23,0
2024-02-28,50,0,7,17,18,22,47,34,27,0
2024-02-29,64,0,5,15,14,22,58,35,36,0
2024-03-01,73,0,7,23,18,27,68,56,48,0
2024-03-02,68,0,7,22,15,22,55,47,50,0
2024-03-03,51,0,6,21,17,27,58,41,40,0
2024-03-04,38,0,3,16,17,24,41,23,21,0
2024-03-05,59,0,4,14,16,15,39,18,14,0
2024-03-06,43,0,6,16,17,14,47,25,24,0
