date,KFC,beverage,McDonalds,Checkers,Woolworths,Pick n Pay,Nandos,Burger King,Debonairs Pizza,Grocery delivery
2025-01-12,42,0,6,19,19,20,44,35,29,0
2025-01-13,34,0,5,13,17,15,32,27,24,0
2025-01-14,39,0,6,13,21,15,62,21,26,0
2025-01-15,42,0,4,14,18,19,37,22,24,0
2025-01-16,36,0,4,16,18,20,37,31,31,0
2025-01-17,58,0,7,17,16,27,75,41,40,0
2025-01-18,49,0,6,18,17,27,59,44,48,0
2025-01-19,44,0,7,20,21,26,43,33,31,0
2025-01-20,35,0,6,16,22,15,47,24,20,0
2025-01-21,32,0,5,15,16,13,38,23,25,0
2025-01-22,36,0,5,15,17,26,52,20,25,0
2025-01-23,47,0,6,19,20,19,53,28,32,0
2025-01-24,75,0,8,21,18,27,90,51,90,0
2025-01-25,63,0,6,22,18,27,64,43,71,0
2025-01-26,50,0,9,24,18,30,57,45,47,0
2025-01-27,38,0,5,17,17,29,53,29,40,0
2025-01-28,45,0,6,16,18,20,50,27,25,0
2025-01-29,40,0,5,13,19,17,45,35,28,0
2025-01-30,47,0,6,18,17,30,55,39,27,0
2025-01-31,79,0,8,21,19,29,78,63,73,0
2025-02-01,64,0,8,24,15,26,69,51,83,0
2025-02-02,52,0,6,21,19,29,49,36,56,0
2025-02-03,39,0,5,15,15,17,55,24,28,0
2025-02-04,43,0,6,15,18,27,55,26,35,0
2025-02-05,41,0,4,16,18,23,51,19,29,0
2025-02-06,49,0,6,16,20,24,56,32,29,0
2025-02-07,64,0,6,16,19,33,73,41,47,0
2025-02-08,55,0,9,17,22,28,44,41,54,0
2025-02-09,47,0,7,23,20,35,53,34,41,0
2025-02-10,40,0,4,13,23,20,39,16,20,0
2025-02-11,54,0,6,18,17,24,49,16,20,0
2025-02-12,55,0,10,14,17,28,49,22,20,0
2025-02-13,60,0,8,23,22,33,54,18,34,0
2025-02-14,100,0,8,25,23,36,87,48,91,0
2025-02-15,67,0,12,21,20,25,57,42,53,0
2025-02-16,47,0,8,24,19,24,46,33,31,0
2025-02-17,38,0,7,15,18,29,41,17,29,0
2025-02-18,41,0,7,16,19,15,49,27,19,0
2025-02-19,39,0,5,14,17,27,43,22,34,0
2025-02-20,46,0,8,15,16,26,47,38,31,0
2025-02-21,62,0,8,18,17,31,78,47,56,0
2025-02-22,59,0,12,21,17,28,56,51,48,0
2025-02-23,45,0,8,23,22,14,56,27,29,0
2025-02-24,38,0,7,17,16,26,62,27,22,0
2025-02-25,59,0,8,19,18,27,77,36,50,0
2025-02-26,55,0,8,18,19,29,60,31,35,0
2025-02-27,60,0,9,22,17,35,70,41,51,0
2025-02-28,93,0,12,24,21,29,89,58,88,0
2025-03-01,72,0,10,28,16,31,77,49,84,0
2025-03-02,60,0,12,22,22,31,56,34,63,0
2025-03-03,39,0,7,16,20,24,50,29,35,0
2025-03-04,43,0,5,13,19,25,49,24,38,0
2025-03-05,44,0,7,16,15,32,41,23,26,0
2025-03-06,42,0,5,19,18,29,51,31,36,0
2025-03-07,66,0,8,23,19,32,62,44,51,0
2025-03-08,62,0,9,20,19,34,56,26,60,0
2025-03-09,47,0,8,18,18,17,38,20,43,0
2025-03-10,34,0,4,16,18,23,36,28,24,0
2025-03-11,36,0,5,14,21,29,47,19,29,0
2025-03-12,36,0,6,14,18,17,49,22,29,0
2025-03-13,43,0,5,17,17,20,61,21,34,0
2025-03-14,68,0,7,25,19,29,56,42,68,0
2025-03-15,58,0,9,22,20,23,56,36,56,0
2025-03-16,41,0,5,20,20,30,38,17,38,0
2025-03-17,34,3,6,20,19,28,42,24,24,0
2025-03-18,40,0,18,17,17,29,44,25,28,0
