date,KFC,beverage,McDonalds,Checkers,Woolworths,Pick n Pay,Nandos,Burger King,Debonairs Pizza,Grocery delivery
2022-07-07,66,0,10,14,20,20,58,26,24,0
2022-07-08,100,0,10,18,17,20,68,38,28,0
2022-07-09,90,0,11,18,21,22,65,33,26,0
2022-07-10,75,0,7,16,18,17,55,30,18,0
2022-07-11,61,0,6,14,16,25,36,21,21,0
2022-07-12,65,0,7,14,15,18,44,19,18,0
2022-07-13,59,0,8,9,16,14,54,25,14,0
2022-07-14,58,0,9,14,20,19,47,31,15,0
2022-07-15,79,0,12,16,15,24,71,33,27,0
2022-07-16,68,0,9,17,18,24,50,38,27,0
2022-07-17,61,0,10,13,18,15,49,24,19,0
2022-07-18,47,0,7,11,16,20,41,17,13,0
2022-07-19,47,0,8,11,17,19,41,17,13,0
2022-07-20,49,0,9,16,15,18,50,16,17,0
2022-07-21,48,0,7,14,17,20,58,21,12,0
2022-07-22,75,0,11,15,16,21,82,45,27,0
2022-07-23,70,0,9,18,18,23,64,32,23,0
2022-07-24,60,0,7,16,19,21,64,31,20,0
2022-07-25,53,0,7,14,16,19,51,15,22,0
2022-07-26,64,0,7,14,14,22,51,27,18,0
2022-07-27,57,0,6,13,19,26,60,29,15,0
2022-07-28,62,0,7,16,19,24,57,23,20,0
2022-07-29,86,0,11,19,18,26,84,44,37,0
2022-07-30,84,0,11,20,18,26,67,38,30,0
2022-07-31,67,0,10,15,18,20,54,30,23,0
2022-08-01,50,0,7,13,19,17,51,18,11,0
2022-08-02,51,0,5,11,17,23,45,22,13,0
2022-08-03,56,0,7,13,16,19,55,29,15,0
2022-08-04,52,0,8,11,17,23,55,30,16,0
2022-08-05,66,0,9,19,16,21,67,32,23,0
2022-08-06,57,0,9,17,15,19,55,36,22,0
2022-08-07,56,0,10,16,17,24,50,30,21,0
2022-08-08,50,0,7,15,17,24,39,22,13,0
2022-08-09,54,0,9,11,15,15,50,30,17,0
2022-08-10,34,0,6,10,17,18,43,21,7,0
2022-08-11,42,2,7,12,17,18,45,21,13,0
2022-08-12,59,0,10,16,17,22,59,36,16,0
2022-08-13,52,0,9,11,15,15,40,26,21,0
2022-08-14,49,0,7,13,16,20,44,23,14,0
2022-08-15,45,0,6,13,12,21,42,20,18,0
2022-08-16,42,0,5,12,19,22,41,22,12,0
2022-08-17,37,0,6,10,17,23,47,21,11,0
2022-08-18,49,0,7,14,16,20,46,23,17,0
2022-08-19,63,0,8,15,17,18,68,38,30,0
2022-08-20,56,0,7,15,19,31,50,33,30,0
2022-08-21,47,0,9,16,20,21,54,33,21,0
2022-08-22,39,0,5,14,16,19,38,18,13,0
2022-08-23,44,0,7,13,16,20,48,20,11,0
2022-08-24,49,0,7,17,14,18,36,25,17,0
2022-08-25,69,0,6,17,16,23,62,34,28,0
2022-08-26,85,0,12,17,19,27,75,49,47,0
2022-08-27,62,0,10,16,16,22,68,36,32,0
2022-08-28,56,0,9,15,14,30,61,24,29,0
2022-08-29,43,0,4,14,17,23,47,13,20,0
2022-08-30,50,0,5,15,14,21,47,17,15,0
2022-08-31,55,0,9,12,16,22,57,24,21,0
2022-09-01,51,0,8,14,17,28,51,26,21,0
2022-09-02,71,0,9,16,15,21,75,38,34,0
2022-09-03,64,0,11,18,14,26,55,31,46,0
2022-09-04,55,0,9,13,18,15,48,21,31,0
2022-09-05,47,0,6,13,17,20,44,20,12,0
2022-09-06,50,0,7,12,19,22,40,19,15,0
2022-09-07,47,2,6,12,19,20,41,22,15,0
2022-09-08,44,0,5,12,16,16,49,37,16,0
2022-09-09,64,0,10,15,16,25,66,38,27,0
2022-09-10,62,0,8,16,16,19,54,33,33,0
2022-09-11,54,0,7,14,15,17,51,25,20,0
2022-09-12,43,0,5,15,15,16,37,17,11,0
2022-09-13,48,0,5,8,16,20,44,21,17,0
2022-09-14,39,0,6,13,13,25,50,28,12,0
2022-09-15,55,0,6,13,17,16,66,20,19,0
2022-09-16,65,0,10,14,16,23,78,36,34,0
2022-09-17,61,0,9,17,18,22,56,39,33,0
2022-09-18,48,0,6,15,16,20,58,26,26,0
2022-09-19,41,0,5,11,15,14,40,19,15,0
2022-09-20,46,0,6,12,20,16,49,18,17,0
2022-09-21,47,0,7,14,16,26,48,26,14,0
2022-09-22,50,0,6,14,19,17,57,21,14,0
2022-09-23,81,0,9,16,11,22,73,39,45,0
2022-09-24,72,0,9,20,17,21,67,32,50,0
2022-09-25,66,0,11,16,17,23,61,30,26,0
2022-09-26,50,0,6,11,15,21,51,24,21,0
2022-09-27,57,0,7,11,15,27,54,26,19,0
2022-09-28,56,0,6,15,15,20,45,27,24,0
2022-09-29,60,0,8,16,13,31,62,37,22,0
2022-09-30,87,0,11,17,14,29,85,38,44,0
2022-10-01,71,0,10,17,15,29,54,26,42,0
2022-10-02,71,0,7,16,18,20,59,30,34,0
2022-10-03,55,0,8,12,17,17,42,21,24,0
2022-10-04,54,0,7,12,16,20,54,22,23,0
2022-10-05,53,0,9,12,18,17,48,24,22,0
2022-10-06,52,0,9,13,18,19,50,21,23,5
