date,Medicine,Tablets,Pharmaceutical drugs,COVID-19 vaccine,Insurance plan,Vitamins online,Immune booster,Physician,Netcare,mediclinic
2020-07-03,18,81,0,0,0,0,19,16,59,56
2020-07-04,26,65,0,0,0,0,0,0,37,32
2020-07-05,16,65,0,0,0,0,0,23,34,41
2020-07-06,18,82,0,0,0,0,0,0,61,75
2020-07-07,24,77,0,0,0,0,23,0,56,68
2020-07-08,25,79,0,0,0,0,0,0,55,51
2020-07-09,25,83,0,0,0,0,30,0,47,65
2020-07-10,21,73,0,0,0,0,0,0,45,57
2020-07-11,18,73,0,0,0,0,0,0,35,36
2020-07-12,17,71,0,0,0,0,0,0,43,43
2020-07-13,23,72,0,9,0,0,15,0,41,58
2020-07-14,23,76,0,36,0,0,16,0,39,62
2020-07-15,18,61,0,9,0,0,0,0,39,58
2020-07-16,22,73,0,0,0,0,20,0,23,72
2020-07-17,19,64,0,6,0,0,15,0,39,56
2020-07-18,23,69,0,4,0,0,20,0,25,44
2020-07-19,19,63,0,0,0,0,0,0,17,39
2020-07-20,18,64,0,5,0,0,0,14,39,60
2020-07-21,19,76,0,0,0,0,22,0,38,69
2020-07-22,18,68,0,0,0,0,15,15,42,53
2020-07-23,22,70,0,0,0,0,0,14,46,60
2020-07-24,21,63,0,0,0,0,27,0,33,50
2020-07-25,18,71,0,0,0,0,0,0,23,41
2020-07-26,17,62,0,0,0,0,17,0,0,38
2020-07-27,19,69,0,0,0,0,0,0,50,65
2020-07-28,27,88,0,0,0,0,21,14,47,57
2020-07-29,25,91,0,0,0,0,0,0,49,58
2020-07-30,24,75,0,0,0,0,0,0,24,58
2020-07-31,19,62,0,0,0,0,0,0,29,31
2020-08-01,19,55,0,0,0,0,0,0,18,38
2020-08-02,23,59,0,0,0,0,0,0,20,37
2020-08-03,14,65,0,0,0,0,0,0,39,58
2020-08-04,16,58,0,0,0,0,14,0,42,63
2020-08-05,18,58,0,5,0,0,18,0,41,51
2020-08-06,19,58,0,3,0,0,20,0,42,42
2020-08-07,22,53,0,0,0,0,17,0,33,36
2020-08-08,15,52,0,0,0,0,0,0,22,29
2020-08-09,20,49,0,0,0,0,0,0,19,43
2020-08-10,21,55,0,0,0,0,0,0,32,42
