date,Medicine,Tablets,Pharmaceutical drugs,COVID-19 vaccine,Insurance plan,Vitamins online,Immune booster,Physician,Netcare,mediclinic
2025-01-12,31,77,0,0,0,0,0,0,48,31
2025-01-13,25,78,0,0,0,0,0,0,63,69
2025-01-14,30,76,0,0,0,0,0,0,91,78
2025-01-15,29,77,0,0,0,0,0,0,86,73
2025-01-16,29,84,0,0,0,0,0,0,93,77
2025-01-17,30,81,0,0,0,0,0,0,83,74
2025-01-18,28,85,0,0,0,0,0,0,55,34
2025-01-19,21,73,0,0,0,0,0,0,50,27
2025-01-20,29,82,0,0,0,0,0,0,74,70
2025-01-21,30,89,0,0,0,0,0,0,72,70
2025-01-22,25,90,0,0,0,0,0,0,82,59
2025-01-23,25,80,0,0,0,0,0,0,52,60
2025-01-24,28,85,0,0,0,0,0,0,68,55
2025-01-25,29,78,0,0,0,0,0,0,29,45
2025-01-26,26,76,0,0,0,0,0,0,32,37
2025-01-27,28,93,0,0,0,0,0,0,77,61
2025-01-28,31,92,0,0,0,0,0,0,49,62
2025-01-29,29,88,0,0,0,0,0,16,63,63
2025-01-30,29,85,0,0,0,0,0,0,62,62
2025-01-31,26,87,0,0,0,0,0,0,49,60
2025-02-01,27,79,0,0,0,0,0,0,31,35
2025-02-02,23,65,0,0,0,0,0,0,31,23
2025-02-03,28,86,0,0,0,0,0,0,55,70
2025-02-04,30,84,0,0,0,0,12,12,56,71
2025-02-05,23,91,0,0,0,0,0,0,59,50
2025-02-06,31,86,0,0,0,0,0,0,51,72
2025-02-07,25,81,0,0,0,0,0,0,45,53
2025-02-08,19,75,0,0,0,0,0,0,37,30
2025-02-09,23,75,0,0,0,0,0,0,20,33
2025-02-10,29,84,0,0,0,0,0,0,41,64
2025-02-11,28,76,0,0,0,0,0,0,51,58
2025-02-12,28,85,0,0,0,0,0,0,55,53
2025-02-13,25,93,0,0,0,0,0,0,55,69
2025-02-14,21,73,0,0,0,0,0,0,53,48
2025-02-15,24,89,0,0,0,0,0,0,28,34
2025-02-16,27,74,0,0,0,0,0,0,29,29
2025-02-17,29,77,0,0,0,0,0,14,62,74
2025-02-18,30,85,0,0,0,0,0,0,59,77
2025-02-19,28,77,0,0,0,0,0,0,47,53
2025-02-20,26,83,0,0,0,0,0,0,41,52
2025-02-21,26,79,0,0,0,0,0,0,47,54
2025-02-22,27,67,0,0,0,0,0,0,21,31
2025-02-23,27,73,0,0,0,0,0,0,28,31
2025-02-24,30,82,0,0,0,0,0,0,58,57
2025-02-25,26,79,0,0,0,0,0,0,49,56
2025-02-26,28,86,0,0,0,0,0,0,45,54
2025-02-27,27,81,0,0,0,0,0,0,43,62
2025-02-28,29,78,0,0,0,0,0,0,35,56
2025-03-01,27,75,0,0,0,0,0,0,29,31
2025-03-02,25,75,0,0,0,0,0,0,35,33
2025-03-03,27,87,0,0,0,0,0,0,70,62
2025-03-04,29,85,0,0,0,0,0,0,59,52
2025-03-05,27,86,0,4,0,0,0,0,48,49
2025-03-06,28,87,0,0,0,0,0,0,38,69
2025-03-07,31,83,0,0,0,0,13,0,46,57
2025-03-08,24,73,0,0,0,0,0,0,35,27
2025-03-09,19,70,0,0,0,0,0,0,25,31
2025-03-10,33,83,0,0,0,0,0,12,60,77
2025-03-11,26,91,0,0,0,0,0,0,47,66
2025-03-12,32,83,0,0,0,0,0,0,53,57
2025-03-13,27,89,0,0,0,0,0,0,52,65
2025-03-14,26,87,0,0,0,0,0,0,45,55
2025-03-15,34,89,0,0,0,0,0,0,21,39
2025-03-16,21,75,0,0,0,0,0,0,33,32
2025-03-17,30,91,0,0,0,0,0,0,51,76
2025-03-18,28,84,0,0,0,0,0,0,50,60
2025-03-19,33,100,0,0,0,0,0,0,56,65
2025-03-20,32,85,0,0,0,0,0,0,49,67
2025-03-21,28,69,0,0,0,0,0,0,39,57
2025-03-22,25,80,0,0,0,0,0,0,21,23
2025-03-23,23,89,0,0,0,0,0,0,22,35
2025-03-24,28,81,0,0,0,12,0,0,62,68
2025-03-25,27,85,0,0,0,0,0,0,59,60
2025-03-26,29,96,0,0,0,0,0,0,50,61
2025-03-27,36,85,0,0,0,0,0,0,52,58
2025-03-28,30,72,0,0,0,0,0,12,45,54
2025-03-29,27,81,0,0,0,0,0,0,44,31
2025-03-30,26,72,0,0,0,0,0,0,19,18
2025-03-31,27,87,0,0,0,0,0,20,55,62
2025-04-01,31,84,4,0,0,0,0,0,53,63
2025-04-02,29,83,0,0,0,0,0,19,39,57
2025-04-03,30,91,0,0,0,0,0,0,52,54
2025-04-04,20,79,0,0,0,0,0,0,33,59
2025-04-05,22,81,0,0,0,0,0,0,30,28
2025-04-06,26,79,0,0,0,0,0,0,32,28
2025-04-07,29,90,0,0,0,0,0,0,50,66
2025-04-08,30,86,0,0,0,0,0,0,44,67
2025-04-09,23,88,0,0,0,0,0,0,43,53
2025-04-10,28,86,0,0,0,0,0,0,52,56
2025-04-11,31,92,0,0,0,0,0,0,41,51
2025-04-12,25,86,0,0,0,0,0,0,22,28
2025-04-13,26,87,0,0,0,0,0,0,0,28
2025-04-14,29,84,0,0,0,0,0,0,56,63
2025-04-15,37,92,0,0,0,0,0,0,52,61
2025-04-16,28,84,0,0,0,0,0,0,59,51
2025-04-17,30,76,0,0,0,0,0,0,41,55
2025-04-18,27,75,0,0,0,0,0,0,17,29
2025-04-19,25,86,0,0,0,0,0,0,30,26
2025-04-20,28,82,0,0,0,0,0,0,32,44
2025-04-21,29,78,0,0,0,0,0,0,21,42
2025-04-22,30,95,0,0,0,0,0,17,31,61
2025-04-23,25,90,0,0,0,0,0,0,46,48
