date,Medicine,Tablets,Pharmaceutical drugs,COVID-19 vaccine,Insurance plan,Vitamins online,Immune booster,Physician,Netcare,mediclinic
2021-07-05,33,100,0,10,0,0,18,0,41,80
2021-07-06,26,95,0,10,0,0,0,15,64,73
2021-07-07,26,87,0,9,0,0,0,0,63,77
2021-07-08,30,92,0,6,0,0,0,0,45,69
2021-07-09,22,87,0,9,0,0,0,0,51,68
2021-07-10,26,94,0,6,0,0,0,0,31,39
2021-07-11,27,70,0,8,0,0,0,0,35,42
2021-07-12,24,71,0,5,0,0,0,0,61,87
2021-07-13,23,59,0,0,0,0,0,0,55,64
2021-07-14,21,58,0,8,0,0,0,0,56,63
2021-07-15,25,81,0,16,0,0,0,0,47,79
2021-07-16,23,76,0,14,0,0,0,0,33,91
2021-07-17,22,84,0,6,0,0,23,0,30,44
2021-07-18,26,78,0,0,0,0,0,0,41,45
2021-07-19,25,95,0,12,0,0,0,0,58,86
2021-07-20,24,84,0,7,0,0,0,0,64,65
2021-07-21,25,91,0,9,0,0,15,0,39,84
2021-07-22,24,76,0,10,0,0,0,0,49,69
2021-07-23,21,82,0,7,0,0,0,0,43,74
2021-07-24,19,73,0,8,0,0,0,0,25,49
2021-07-25,22,64,0,8,0,0,0,0,25,52
2021-07-26,21,78,0,9,0,0,0,0,50,76
2021-07-27,23,82,0,5,0,0,0,0,50,51
2021-07-28,22,79,0,11,3,0,0,0,49,66
2021-07-29,20,84,0,9,0,0,0,0,53,77
2021-07-30,23,74,0,6,0,0,0,0,41,56
2021-07-31,23,81,0,6,0,0,0,16,32,46
2021-08-01,20,68,0,5,0,0,0,0,21,35
2021-08-02,18,75,0,9,0,0,0,22,57,70
2021-08-03,28,77,0,8,0,0,0,0,35,67
2021-08-04,27,76,0,9,0,0,13,0,37,73
2021-08-05,21,81,0,6,0,0,0,0,51,65
2021-08-06,22,80,0,4,0,0,0,0,34,59
2021-08-07,21,69,0,9,0,0,0,0,21,37
2021-08-08,19,73,0,0,0,0,0,0,36,30
2021-08-09,20,68,0,4,0,0,0,0,22,41
2021-08-10,23,71,0,6,0,0,0,0,43,73
2021-08-11,24,79,0,7,0,0,0,0,47,68
2021-08-12,24,80,0,6,0,0,0,14,44,65
2021-08-13,20,68,0,7,0,0,0,0,32,70
2021-08-14,17,63,0,4,0,0,0,0,28,45
2021-08-15,21,67,0,7,0,0,0,0,20,36
2021-08-16,22,74,0,4,0,19,0,18,48,88
2021-08-17,26,77,0,7,0,0,0,0,53,77
2021-08-18,22,75,0,4,0,0,0,0,40,94
2021-08-19,26,86,0,11,0,0,0,0,31,70
2021-08-20,25,72,0,16,0,0,0,0,57,89
2021-08-21,17,77,0,8,0,0,0,0,19,39
2021-08-22,20,69,0,8,0,0,16,0,15,41
2021-08-23,26,75,0,13,0,0,0,0,52,100
2021-08-24,25,78,0,8,0,0,0,0,30,55
2021-08-25,27,71,0,9,0,0,0,0,46,66
2021-08-26,23,80,0,8,0,0,0,0,44,73
2021-08-27,20,78,0,8,0,0,0,0,37,46
2021-08-28,20,65,0,5,0,0,0,0,16,45
2021-08-29,25,64,0,6,0,0,0,0,31,32
2021-08-30,27,70,0,8,0,0,0,0,48,79
2021-08-31,23,74,0,8,0,0,0,0,44,71
2021-09-01,24,69,0,7,0,0,0,0,36,52
2021-09-02,23,74,0,6,0,0,0,0,40,74
2021-09-03,24,71,0,5,0,0,0,0,38,69
2021-09-04,21,62,0,0,0,0,0,0,30,48
2021-09-05,21,63,0,0,0,0,0,0,29,36
2021-09-06,21,68,0,4,0,0,0,0,51,82
