date,Medicine,Tablets,Pharmaceutical drugs,COVID-19 vaccine,Insurance plan,Vitamins online,Immune booster,Physician,Netcare,mediclinic
2022-05-01,31,88,0,0,0,0,0,0,31,47
2022-05-02,31,90,0,0,0,0,0,12,38,41
2022-05-03,33,87,0,0,0,0,0,12,66,84
2022-05-04,31,91,0,0,0,0,0,0,59,79
2022-05-05,33,99,0,4,0,0,0,0,57,74
2022-05-06,30,94,0,0,0,0,0,14,41,61
2022-05-07,31,83,0,0,0,0,0,13,41,40
2022-05-08,34,79,0,0,0,0,0,0,29,39
2022-05-09,37,99,0,0,0,0,10,0,69,83
2022-05-10,37,95,0,0,0,0,0,0,52,82
2022-05-11,34,91,0,0,0,0,9,0,58,62
2022-05-12,33,85,0,0,0,0,0,0,46,75
2022-05-13,27,91,0,0,0,0,0,0,53,64
2022-05-14,29,100,0,0,0,0,0,0,28,53
2022-05-15,32,79,0,0,0,0,0,0,28,41
2022-05-16,32,97,0,0,0,0,12,0,52,83
2022-05-17,33,94,0,0,0,0,0,0,61,76
2022-05-18,30,88,0,0,0,0,0,0,56,77
2022-05-19,30,88,0,0,0,0,0,0,54,54
2022-05-20,27,84,0,0,0,0,16,0,59,66
2022-05-21,30,78,0,0,0,0,0,0,33,34
2022-05-22,29,76,0,0,0,0,15,0,28,37
2022-05-23,32,87,0,0,0,0,0,15,59,81
2022-05-24,31,86,0,0,0,0,12,0,53,84
2022-05-25,32,90,0,0,0,0,0,0,63,88
2022-05-26,33,85,0,0,0,0,0,13,70,67
2022-05-27,27,91,0,0,0,0,0,0,45,54
2022-05-28,26,79,0,0,0,0,0,0,39,31
2022-05-29,30,80,0,0,0,0,0,0,48,43
2022-05-30,28,87,0,0,0,0,0,12,63,71
2022-05-31,32,94,0,0,0,0,0,0,51,72
2022-06-01,27,86,0,0,0,0,0,0,56,60
2022-06-02,26,97,0,0,0,0,0,0,65,72
2022-06-03,30,90,0,0,0,0,0,0,51,69
2022-06-04,22,81,0,0,0,0,0,0,46,54
2022-06-05,26,85,0,0,0,0,0,0,46,33
2022-06-06,33,93,0,0,0,0,0,13,73,73
2022-06-07,25,94,0,0,0,0,0,0,80,77
2022-06-08,25,89,0,0,0,0,0,0,74,78
2022-06-09,25,88,0,0,0,0,0,0,57,71
2022-06-10,24,82,0,0,0,0,0,13,54,79
2022-06-11,26,74,0,0,0,0,0,0,33,35
2022-06-12,29,84,0,0,0,0,0,16,21,34
2022-06-13,30,89,0,0,0,0,0,0,75,91
2022-06-14,26,83,0,0,0,0,11,0,56,68
2022-06-15,26,81,0,0,0,0,0,0,73,60
2022-06-16,30,75,0,0,0,0,0,15,36,50
2022-06-17,27,81,0,0,0,0,0,14,50,71
2022-06-18,26,70,0,0,0,0,0,0,33,44
2022-06-19,25,74,0,0,0,0,0,0,28,31
2022-06-20,28,90,0,0,0,0,12,0,62,83
2022-06-21,31,91,0,0,0,0,0,0,63,78
2022-06-22,30,85,0,0,0,0,0,0,58,79
2022-06-23,26,78,0,0,0,0,0,14,55,80
2022-06-24,25,76,0,0,0,0,0,0,46,66
2022-06-25,30,75,0,0,0,0,0,0,42,31
2022-06-26,31,82,0,0,0,0,0,0,39,48
2022-06-27,28,79,0,0,0,0,0,15,60,88
2022-06-28,26,86,0,0,0,0,0,0,40,74
2022-06-29,30,79,0,0,0,0,0,0,63,69
2022-06-30,29,77,0,0,0,0,0,0,55,64
2022-07-01,26,79,0,0,0,0,0,0,45,48
2022-07-02,26,72,0,0,0,0,0,0,34,41
2022-07-03,21,83,0,0,0,0,0,0,37,35
2022-07-04,29,83,0,0,0,0,0,0,50,79
2022-07-05,34,84,0,0,0,0,0,13,52,70
2022-07-06,25,85,0,0,0,0,0,0,59,78
