date,Takealot.com,Mr Price Home,Decofurn,furniture,Makro,Builders,paints,Defy Appliances,Pep Home,plant
2021-01-04,0,18,9,86,40,89,10,0,0,48
2021-01-05,0,19,10,79,33,76,13,10,11,46
2021-01-06,0,17,8,74,30,71,18,0,11,47
2021-01-07,0,19,8,81,29,75,15,0,10,45
2021-01-08,0,16,13,81,34,78,10,0,11,44
2021-01-09,0,21,9,99,32,83,0,0,22,51
2021-01-10,0,21,13,82,30,67,0,0,16,70
2021-01-11,0,23,10,71,29,69,17,0,15,31
2021-01-12,0,15,8,81,29,68,16,0,0,49
2021-01-13,0,13,10,75,32,78,16,0,12,53
2021-01-14,0,18,12,83,37,76,12,0,17,46
2021-01-15,0,16,12,81,32,77,19,0,0,46
2021-01-16,0,22,13,100,31,82,0,0,0,55
2021-01-17,0,23,12,91,35,100,0,0,14,55
2021-01-18,0,18,10,95,25,71,15,0,0,44
2021-01-19,0,19,13,80,28,65,22,0,0,45
2021-01-20,0,17,9,84,30,66,0,0,14,43
2021-01-21,0,20,9,82,24,71,16,0,9,44
2021-01-22,0,14,12,90,32,60,15,0,17,47
2021-01-23,0,20,10,98,36,85,0,0,14,60
2021-01-24,0,21,12,96,31,82,0,0,0,59
2021-01-25,0,22,11,89,34,76,24,0,13,41
2021-01-26,0,16,8,70,33,67,14,0,10,44
2021-01-27,0,18,9,80,33,66,20,0,33,38
2021-01-28,0,19,12,81,29,72,12,0,21,43
2021-01-29,0,16,9,79,26,66,14,0,19,42
2021-01-30,0,22,10,96,31,80,13,0,17,54
2021-01-31,0,21,16,84,26,74,0,0,16,56
2021-02-01,0,14,8,76,23,72,14,0,15,43
2021-02-02,0,15,8,75,25,57,14,0,19,37
2021-02-03,0,17,10,81,25,68,15,0,0,48
2021-02-04,0,16,7,78,23,76,21,0,11,40
2021-02-05,0,15,10,82,28,65,17,0,15,40
2021-02-06,0,19,12,96,29,83,0,0,15,57
2021-02-07,0,17,11,93,29,87,11,0,12,56
2021-02-08,0,20,10,77,26,65,17,0,14,48
2021-02-09,0,15,5,77,24,79,11,0,14,50
2021-02-10,0,14,8,87,25,69,10,0,0,49
2021-02-11,0,17,7,77,26,59,15,0,15,40
2021-02-12,0,13,10,70,29,67,19,0,0,48
2021-02-13,0,15,11,92,27,87,0,0,14,72
2021-02-14,0,17,7,74,24,71,0,0,0,59
2021-02-15,0,17,7,71,28,73,15,0,0,40
2021-02-16,0,15,8,68,22,66,16,0,11,43
2021-02-17,0,13,11,72,23,65,20,0,12,53
2021-02-18,0,11,8,77,27,73,11,0,12,40
2021-02-19,0,13,6,76,23,60,11,0,16,51
2021-02-20,0,16,13,85,31,86,11,0,14,54
2021-02-21,0,19,7,79,29,78,12,0,12,51
2021-02-22,0,16,9,78,26,69,13,0,13,38
2021-02-23,0,13,7,71,21,57,20,0,0,39
2021-02-24,0,16,7,82,20,65,10,0,9,40
2021-02-25,0,13,9,79,27,62,20,0,0,53
2021-02-26,0,14,10,69,22,56,14,0,15,45
2021-02-27,0,18,11,88,28,80,0,0,12,45
2021-02-28,0,18,14,80,27,70,0,0,12,49
