date,Takealot.com,Mr Price Home,Decofurn,furniture,Makro,Builders,paints,Defy Appliances,Pep Home,plant
2023-07-09,0,17,10,69,18,61,0,0,25,40
2023-07-10,0,9,5,55,20,59,0,0,26,24
2023-07-11,0,13,7,62,19,61,13,0,27,26
2023-07-12,0,12,6,63,18,78,14,0,26,30
2023-07-13,0,12,5,65,14,67,17,0,24,29
2023-07-14,0,9,6,62,17,55,15,0,24,23
2023-07-15,0,11,8,63,21,85,17,0,24,33
2023-07-16,0,12,10,66,20,65,20,0,27,42
2023-07-17,0,8,6,62,20,69,13,0,25,29
2023-07-18,0,13,6,57,18,68,10,0,31,32
2023-07-19,0,10,5,60,18,59,11,0,14,30
2023-07-20,0,10,5,55,15,55,11,0,13,25
2023-07-21,0,13,5,63,15,56,11,0,27,27
2023-07-22,0,15,9,76,21,63,0,0,31,38
2023-07-23,0,15,8,69,24,59,0,0,24,35
2023-07-24,0,12,4,65,19,59,11,0,26,43
2023-07-25,0,13,6,69,22,60,10,0,30,29
2023-07-26,0,13,7,61,19,51,12,0,25,33
2023-07-27,0,11,6,66,18,57,14,0,24,25
2023-07-28,0,9,6,58,14,49,13,0,22,24
2023-07-29,0,11,8,66,21,58,10,0,23,34
2023-07-30,0,15,8,61,18,63,0,0,33,31
2023-07-31,0,9,4,56,17,67,13,0,19,35
2023-08-01,0,10,4,56,17,64,13,0,27,35
2023-08-02,0,9,3,59,14,55,0,0,25,25
2023-08-03,0,11,6,56,14,55,14,0,23,32
2023-08-04,0,10,5,55,17,60,14,0,19,37
2023-08-05,0,12,5,59,19,64,0,0,25,38
2023-08-06,0,12,7,57,20,58,0,0,20,39
2023-08-07,0,9,5,57,14,57,13,0,21,42
2023-08-08,0,11,4,57,16,55,11,0,24,31
2023-08-09,0,12,3,53,17,65,12,0,24,45
2023-08-10,0,9,4,58,16,45,11,0,23,41
2023-08-11,0,8,6,55,15,61,15,0,12,43
2023-08-12,0,15,6,59,17,57,0,0,29,48
2023-08-13,0,13,4,56,17,61,12,0,23,45
2023-08-14,0,11,7,53,17,64,14,0,19,42
2023-08-15,0,11,6,55,15,54,0,0,16,35
2023-08-16,0,9,5,54,16,57,16,0,19,34
2023-08-17,0,9,3,59,20,61,10,0,23,39
2023-08-18,0,11,6,59,19,57,9,0,25,47
2023-08-19,0,11,6,61,16,60,18,0,19,35
2023-08-20,0,14,8,65,21,55,12,0,24,59
2023-08-21,0,13,6,58,18,58,0,0,21,43
2023-08-22,0,9,5,68,18,65,11,0,20,43
2023-08-23,0,13,6,61,18,64,16,0,22,39
2023-08-24,0,12,3,65,16,52,9,0,20,42
2023-08-25,0,9,5,54,15,48,10,0,23,34
2023-08-26,0,11,8,66,13,57,11,0,37,40
2023-08-27,0,13,5,54,18,52,0,0,27,42
2023-08-28,0,14,4,55,16,54,15,0,21,47
2023-08-29,0,8,4,57,14,60,11,0,28,48
2023-08-30,0,11,4,53,18,59,13,0,18,47
2023-08-31,0,10,3,59,15,46,12,0,16,40
2023-09-01,0,9,3,53,17,58,10,0,20,44
2023-09-02,0,10,7,58,16,75,12,0,27,51
2023-09-03,0,12,4,51,20,71,13,0,24,45
2023-09-04,0,11,6,53,13,66,11,0,23,47
2023-09-05,0,9,5,59,15,60,10,0,23,32
2023-09-06,0,11,6,51,17,52,12,0,20,48
2023-09-07,0,10,6,49,18,58,15,0,19,49
2023-09-08,0,9,5,56,18,59,13,0,25,44
2023-09-09,0,8,7,53,16,64,11,0,16,48
2023-09-10,0,11,4,51,16,59,0,0,14,49
2023-09-11,0,11,5,47,16,48,10,0,27,48
2023-09-12,0,10,4,54,15,55,0,0,20,39
2023-09-13,0,9,4,59,15,57,10,0,14,40
2023-09-14,0,8,4,55,20,58,0,0,21,33
2023-09-15,0,9,4,58,15,46,12,0,19,34
2023-09-16,0,11,7,54,17,57,14,0,16,52
2023-09-17,0,10,6,52,15,35,0,0,16,46
2023-09-18,0,11,5,63,15,52,10,0,22,40
2023-09-19,0,8,4,57,15,57,13,0,34,47
2023-09-20,0,9,4,45,14,55,12,0,23,37
2023-09-21,0,13,7,52,17,59,13,0,21,52
2023-09-22,0,9,4,58,16,47,0,0,24,43
2023-09-23,0,10,5,57,15,49,0,0,22,63
2023-09-24,0,12,5,57,19,59,15,0,18,45
2023-09-25,0,14,9,62,16,62,10,0,24,63
2023-09-26,0,11,6,55,18,65,0,0,19,36
2023-09-27,0,11,4,58,17,61,16,0,21,32
2023-09-28,0,11,5,58,20,53,14,0,23,40
2023-09-29,0,10,4,53,15,43,8,0,19,38
2023-09-30,0,14,4,63,15,64,0,0,26,54
2023-10-01,0,11,5,60,14,57,0,0,25,56
2023-10-02,0,13,7,63,17,62,14,0,24,53
2023-10-03,0,9,5,55,18,81,10,0,12,41
2023-10-04,0,11,4,58,20,71,9,0,27,38
2023-10-05,0,14,5,52,17,63,14,0,21,38
2023-10-06,0,9,4,52,16,62,16,0,23,41
2023-10-07,0,12,5,63,18,62,13,0,21,50
2023-10-08,0,13,8,56,21,64,0,0,16,51
2023-10-09,0,11,7,60,15,50,13,0,22,47
2023-10-10,0,9,5,57,15,52,12,0,14,41
2023-10-11,0,12,5,55,17,48,12,0,22,40
2023-10-12,0,10,4,52,13,64,10,0,29,41
2023-10-13,0,8,6,57,17,55,12,0,13,28
2023-10-14,0,9,8,67,17,56,10,0,23,49
2023-10-15,0,11,8,57,18,56,0,0,22,47
2023-10-16,0,11,6,57,21,60,9,0,18,34
2023-10-17,0,10,4,53,16,52,11,0,22,52
2023-10-18,0,12,5,58,17,55,15,0,37,48
2023-10-19,0,12,5,59,21,55,17,0,22,45
2023-10-20,0,9,4,55,17,63,21,0,18,42
2023-10-21,0,10,7,48,18,51,0,0,21,45
2023-10-22,0,12,5,61,20,63,0,0,26,56
2023-10-23,0,11,5,60,18,64,10,0,21,43
2023-10-24,0,11,5,53,16,50,13,0,30,38
2023-10-25,0,11,5,54,24,66,10,0,22,44
2023-10-26,0,11,5,54,14,38,14,0,17,38
2023-10-27,0,10,5,51,17,52,12,0,23,43
2023-10-28,0,9,6,41,12,37,10,0,13,37
2023-10-29,0,11,4,51,17,53,0,0,24,31
2023-10-30,0,11,6,55,18,50,10,0,18,34
2023-10-31,0,11,7,57,21,52,9,0,21,32
2023-11-01,0,11,5,49,15,50,12,0,20,33
2023-11-02,0,10,0,61,19,71,9,0,25,45
2023-11-03,0,10,6,59,18,52,12,0,18,33
2023-11-04,0,13,7,66,16,65,13,0,20,51
2023-11-05,0,13,7,58,22,63,9,0,33,51
2023-11-06,0,10,7,61,21,70,10,0,19,47
2023-11-07,0,13,7,61,21,67,0,0,20,35
2023-11-08,0,12,6,58,21,52,10,0,30,43
2023-11-09,0,12,9,64,18,73,13,0,20,38
2023-11-10,0,13,6,62,19,63,17,0,26,41
2023-11-11,0,14,7,68,19,67,10,0,24,52
2023-11-12,0,16,10,63,26,61,11,0,23,49
2023-11-13,0,12,7,63,20,68,13,0,24,35
2023-11-14,0,15,8,68,23,68,13,0,21,38
2023-11-15,0,12,7,75,20,62,11,0,26,47
2023-11-16,0,11,8,75,23,66,13,0,18,47
2023-11-17,0,16,10,77,28,58,14,0,21,38
2023-11-18,0,12,12,80,30,62,14,0,18,53
2023-11-19,0,18,12,77,29,72,13,0,33,57
2023-11-20,0,15,9,91,30,84,18,0,28,39
2023-11-21,0,16,9,89,31,72,19,0,31,37
2023-11-22,0,14,6,95,34,88,20,0,27,49
2023-11-23,0,13,9,98,45,100,16,0,23,42
2023-11-24,0,15,10,100,47,99,13,0,31,43
2023-11-25,0,16,12,85,34,88,11,0,27,50
2023-11-26,0,19,10,82,38,97,0,0,34,49
2023-11-27,0,15,9,80,40,99,18,0,28,41
2023-11-28,0,13,9,77,26,77,11,0,26,44
2023-11-29,0,11,7,64,26,77,10,0,25,37
2023-11-30,0,13,7,69,23,71,27,0,33,36
2023-12-01,0,12,7,66,23,77,15,0,18,51
2023-12-02,0,13,6,74,27,73,12,0,33,49
2023-12-03,0,14,11,64,22,81,0,0,26,51
2023-12-04,0,13,10,73,28,92,13,0,23,46
2023-12-05,0,11,7,64,25,71,19,0,25,40
2023-12-06,0,11,7,65,25,72,16,0,39,38
