date,Takealot.com,Mr Price Home,Decofurn,furniture,Makro,Builders,paints,Defy Appliances,Pep Home,plant
2024-01-10,0,16,10,93,25,69,22,0,37,54
2024-01-11,0,18,10,89,28,63,16,0,36,43
2024-01-12,0,18,10,89,29,70,12,0,40,58
2024-01-13,5,19,11,99,28,93,0,0,27,74
2024-01-14,0,20,8,86,22,83,12,0,40,85
2024-01-15,0,19,9,80,32,94,0,0,36,49
2024-01-16,0,11,6,77,27,71,15,0,25,42
2024-01-17,0,14,7,81,23,86,18,0,33,54
2024-01-18,0,14,5,79,24,56,0,0,27,46
2024-01-19,0,18,7,75,31,77,0,0,23,51
2024-01-20,0,19,9,88,26,68,0,0,25,56
2024-01-21,0,16,5,75,29,69,0,0,32,54
2024-01-22,0,14,9,82,28,73,13,0,16,39
2024-01-23,0,14,8,82,24,70,15,0,26,47
2024-01-24,0,19,6,80,32,78,0,0,28,50
2024-01-25,0,20,8,84,25,73,0,0,35,38
2024-01-26,0,9,8,85,26,65,17,0,33,54
2024-01-27,0,18,8,78,28,72,0,0,45,53
2024-01-28,0,17,11,73,25,72,18,0,33,85
2024-01-29,0,12,7,80,27,79,17,0,28,41
2024-01-30,0,14,9,79,18,64,17,0,30,51
2024-01-31,0,10,7,82,22,62,15,0,31,53
2024-02-01,0,16,9,69,21,67,19,0,35,37
2024-02-02,0,14,10,89,23,79,16,0,33,49
2024-02-03,0,14,10,83,27,72,14,0,28,41
2024-02-04,0,18,10,80,29,68,0,0,28,71
2024-02-05,0,14,7,80,24,60,20,0,31,44
2024-02-06,0,12,9,78,23,59,18,0,24,61
2024-02-07,0,10,5,73,19,68,16,0,23,42
2024-02-08,0,17,8,72,21,70,18,0,19,50
2024-02-09,0,14,8,74,28,57,15,0,30,50
2024-02-10,0,17,8,74,28,81,0,0,19,56
2024-02-11,0,14,10,71,20,64,0,0,23,72
2024-02-12,0,14,5,74,20,68,0,0,39,49
2024-02-13,0,15,7,71,21,73,23,0,15,31
2024-02-14,0,13,5,67,19,70,19,0,26,56
2024-02-15,0,13,4,74,21,70,13,0,31,48
2024-02-16,0,16,4,76,23,58,12,0,29,62
