date,Takealot.com,Mr Price Home,Decofurn,furniture,Makro,Builders,paints,Defy Appliances,Pep Home,plant
2025-01-12,0,17,13,67,22,58,0,0,47,67
2025-01-13,0,12,12,79,22,48,13,0,33,40
2025-01-14,0,15,5,67,21,61,15,0,25,29
2025-01-15,0,10,9,66,23,56,12,0,33,37
2025-01-16,0,11,7,70,29,58,0,0,23,40
2025-01-17,0,11,5,74,26,63,0,0,12,43
2025-01-18,0,16,7,84,32,58,0,0,40,60
2025-01-19,0,13,12,83,26,50,0,0,44,68
2025-01-20,0,14,9,70,27,73,11,0,23,42
2025-01-21,0,14,10,63,29,54,13,0,26,52
2025-01-22,0,13,10,79,22,66,0,0,33,45
2025-01-23,0,11,9,80,23,73,16,0,26,46
2025-01-24,0,11,9,73,24,48,14,0,36,42
2025-01-25,0,13,11,87,28,85,21,0,38,65
2025-01-26,0,14,10,70,32,55,0,0,38,63
2025-01-27,0,14,10,69,27,75,13,0,41,45
2025-01-28,0,10,7,73,26,65,19,0,34,43
2025-01-29,0,12,8,70,26,64,13,0,33,37
2025-01-30,0,15,6,71,35,58,11,0,32,44
2025-01-31,0,13,12,67,30,65,17,0,31,35
2025-02-01,0,11,10,91,28,59,0,0,30,54
2025-02-02,0,18,11,66,28,62,0,0,40,62
2025-02-03,0,13,8,73,24,60,0,0,30,44
2025-02-04,0,12,6,65,23,49,0,0,29,29
2025-02-05,0,9,7,65,26,63,0,0,32,36
2025-02-06,0,11,11,73,25,50,0,0,25,36
2025-02-07,0,8,8,63,27,46,0,0,28,43
2025-02-08,0,17,8,79,33,64,0,0,29,55
2025-02-09,0,12,11,75,23,60,0,0,31,61
2025-02-10,0,10,6,77,26,51,15,0,25,46
2025-02-11,0,12,7,73,30,56,14,0,33,40
2025-02-12,0,9,8,69,21,42,13,0,23,37
2025-02-13,0,11,10,70,24,49,16,0,28,54
2025-02-14,0,10,7,58,25,49,11,0,18,41
2025-02-15,0,19,7,68,24,66,0,0,30,50
2025-02-16,0,9,7,74,24,66,0,0,29,65
2025-02-17,0,15,8,72,23,71,13,0,30,48
2025-02-18,0,12,9,76,27,53,10,0,25,45
2025-02-19,0,10,6,67,26,46,10,0,23,40
2025-02-20,0,13,6,75,21,66,13,0,23,42
2025-02-21,0,13,7,62,24,63,0,0,29,42
2025-02-22,0,15,8,85,35,65,0,0,33,57
2025-02-23,0,13,14,86,30,58,0,0,28,64
2025-02-24,0,11,7,83,31,66,0,0,32,39
2025-02-25,0,10,9,74,25,56,16,0,29,45
2025-02-26,0,10,9,85,23,51,0,0,29,45
2025-02-27,0,10,13,83,26,54,14,0,22,50
2025-02-28,0,10,4,79,22,45,14,0,33,46
2025-03-01,0,14,11,81,35,59,0,0,29,54
2025-03-02,0,16,9,69,23,50,12,0,42,46
2025-03-03,0,12,6,85,25,61,10,0,27,43
2025-03-04,0,12,5,76,26,58,10,0,30,39
2025-03-05,0,9,6,70,22,57,11,0,28,60
2025-03-06,0,15,6,69,27,54,14,0,31,48
2025-03-07,0,16,8,69,27,57,0,0,38,47
