date,Takealot.com,Mr Price Home,Decofurn,furniture,Makro,Builders,paints,Defy Appliances,Pep Home,plant
2022-10-31,0,14,7,59,15,65,12,0,21,34
2022-11-01,0,10,5,55,18,55,9,0,24,36
2022-11-02,0,12,6,58,19,65,14,0,22,33
2022-11-03,0,13,2,56,16,49,17,0,17,40
2022-11-04,0,12,4,57,18,52,0,0,20,28
2022-11-05,0,13,7,60,21,59,13,0,16,43
2022-11-06,0,13,5,58,19,64,0,0,16,58
2022-11-07,0,10,6,64,15,66,8,0,24,42
2022-11-08,0,12,6,67,17,64,0,0,16,36
2022-11-09,0,11,6,60,19,51,15,0,12,37
2022-11-10,0,12,6,60,18,48,0,0,21,28
2022-11-11,0,12,6,65,21,59,0,0,25,33
2022-11-12,0,15,10,57,19,51,8,0,14,38
2022-11-13,0,13,9,75,23,54,0,0,21,33
2022-11-14,0,14,8,71,27,60,7,0,15,32
2022-11-15,0,17,7,69,20,58,0,0,14,32
2022-11-16,0,15,6,73,22,65,15,0,17,43
2022-11-17,0,13,3,75,25,64,10,0,21,28
2022-11-18,0,12,4,72,18,56,9,0,22,36
2022-11-19,0,15,9,83,26,77,11,0,24,41
2022-11-20,0,15,7,76,23,70,10,0,22,35
2022-11-21,0,12,6,87,32,73,16,0,27,33
2022-11-22,0,15,5,88,26,68,15,0,27,33
2022-11-23,3,14,7,100,33,63,12,0,22,25
2022-11-24,0,13,6,96,33,70,14,0,23,28
2022-11-25,0,16,11,97,39,71,9,0,22,28
2022-11-26,0,17,9,85,31,75,9,0,31,44
2022-11-27,0,16,10,75,31,73,13,0,30,44
2022-11-28,0,16,5,71,32,75,15,0,33,33
2022-11-29,0,14,7,63,24,68,18,0,17,28
2022-11-30,0,14,6,68,24,68,10,0,21,29
2022-12-01,0,14,5,64,21,56,11,0,15,33
2022-12-02,0,15,6,56,18,61,15,0,31,32
2022-12-03,0,14,8,78,23,72,14,0,25,46
2022-12-04,0,14,7,69,25,79,0,0,28,53
2022-12-05,0,18,4,63,25,70,17,0,31,39
2022-12-06,0,16,6,59,23,64,11,0,27,41
2022-12-07,0,14,4,60,20,62,11,0,17,39
2022-12-08,0,12,7,68,24,63,23,0,19,31
2022-12-09,0,12,6,57,20,68,10,0,19,22
2022-12-10,0,15,6,65,25,61,13,0,17,37
2022-12-11,0,17,13,67,34,75,13,0,21,33
2022-12-12,0,16,9,73,25,71,0,0,18,32
2022-12-13,0,14,5,58,23,80,11,0,24,30
2022-12-14,0,13,4,66,27,75,13,0,18,39
2022-12-15,0,13,7,69,24,70,12,0,22,24
2022-12-16,0,13,6,73,29,100,12,0,29,45
2022-12-17,0,18,7,76,29,84,15,0,24,34
2022-12-18,0,14,7,66,30,66,10,0,20,40
2022-12-19,0,16,6,73,32,78,14,0,26,39
2022-12-20,0,17,7,66,29,82,0,0,30,35
2022-12-21,0,18,4,68,29,78,16,0,24,38
2022-12-22,0,17,5,66,26,65,14,0,23,39
2022-12-23,0,12,9,62,26,83,21,0,25,44
2022-12-24,0,9,4,44,16,55,11,0,12,31
2022-12-25,0,8,0,40,12,32,0,0,0,34
2022-12-26,0,11,5,62,28,76,0,0,11,29
2022-12-27,0,15,7,62,29,81,0,0,19,51
2022-12-28,0,13,4,69,28,93,0,0,26,51
2022-12-29,0,13,9,67,24,78,10,0,19,48
2022-12-30,0,12,7,59,23,60,10,0,20,42
2022-12-31,0,6,4,44,12,58,0,0,0,39
2023-01-01,0,15,8,61,20,61,0,0,20,38
2023-01-02,0,16,6,69,27,78,14,0,22,42
2023-01-03,0,17,8,67,29,74,11,0,29,32
2023-01-04,0,16,7,71,23,62,0,0,0,38
2023-01-05,0,16,7,71,21,59,0,0,25,31
2023-01-06,0,16,6,60,23,71,14,0,34,43
2023-01-07,0,14,7,66,23,71,11,0,23,42
