date,Hollywoodbets,The Courier Guy,ShopRite,Steers,Betway,Buffalo Logistics,Uber Eats,Bolt,60 sixty,PaymeNow
2022-07-07,5,4,31,13,5,0,0,41,0,23
2022-07-08,4,5,38,17,6,10,0,35,0,26
2022-07-09,5,0,32,17,0,11,0,42,0,27
2022-07-10,0,0,38,13,7,0,0,32,0,27
2022-07-11,4,5,35,7,0,10,0,37,0,23
2022-07-12,7,5,36,8,3,13,0,36,0,18
2022-07-13,4,7,32,30,5,18,0,28,0,26
2022-07-14,0,6,33,16,4,13,0,33,0,30
2022-07-15,4,4,32,21,5,14,0,39,0,44
2022-07-16,5,0,35,17,4,0,0,41,0,24
2022-07-17,0,5,38,15,0,8,0,23,0,23
2022-07-18,5,5,41,8,0,7,0,28,0,12
2022-07-19,0,7,32,11,4,14,0,34,0,11
2022-07-20,3,6,35,33,0,14,0,29,0,13
2022-07-21,4,4,34,9,4,15,0,38,0,7
2022-07-22,4,6,36,16,4,13,0,38,0,6
2022-07-23,7,0,37,21,0,0,0,42,0,0
2022-07-24,0,0,43,14,0,0,0,28,0,0
2022-07-25,4,6,51,12,3,16,0,33,0,0
2022-07-26,6,6,47,15,3,12,0,34,0,0
2022-07-27,5,7,43,44,0,14,0,35,0,0
2022-07-28,3,6,43,15,0,11,0,38,0,0
2022-07-29,4,6,45,24,4,13,0,40,0,0
2022-07-30,7,0,52,22,0,11,0,53,0,0
2022-07-31,0,0,47,17,4,0,0,43,0,0
2022-08-01,5,5,44,10,0,12,0,45,0,13
2022-08-02,5,7,43,14,0,11,0,39,0,10
2022-08-03,6,5,42,41,0,16,0,35,0,14
2022-08-04,6,8,36,13,0,17,0,39,0,24
2022-08-05,6,7,33,20,5,16,0,40,0,33
2022-08-06,3,0,41,13,6,8,0,40,0,20
2022-08-07,5,0,39,14,4,0,0,27,0,19
2022-08-08,4,3,43,13,4,13,0,34,0,31
2022-08-09,7,4,47,14,0,0,0,29,0,21
2022-08-10,3,6,33,24,5,17,0,38,0,21
2022-08-11,3,4,33,9,4,12,0,39,0,24
2022-08-12,5,0,33,13,5,13,0,35,0,22
2022-08-13,5,4,31,13,4,0,0,28,0,29
2022-08-14,3,0,37,13,4,7,0,27,0,26
2022-08-15,6,8,42,10,4,17,0,34,0,38
2022-08-16,4,5,29,10,4,15,0,33,0,24
2022-08-17,3,6,33,32,4,14,0,26,0,19
2022-08-18,0,4,29,12,5,13,0,36,0,13
2022-08-19,4,7,33,16,3,11,0,36,0,15
2022-08-20,6,4,33,12,5,8,0,28,0,11
