date,Hollywoodbets,The Courier Guy,ShopRite,Steers,Betway,Buffalo Logistics,Uber Eats,Bolt,sixty60 ,PaymeNow
2020-04-26,0,0,56,0,0,0,0,23,0,0
2020-04-27,0,0,45,0,0,0,0,35,0,0
2020-04-28,0,10,41,0,0,0,0,37,0,0
2020-04-29,0,8,49,0,0,0,0,43,0,0
2020-04-30,0,8,49,0,0,0,0,52,0,0
2020-05-01,0,0,50,89,0,0,0,37,0,0
2020-05-02,0,0,53,87,0,0,20,34,0,0
2020-05-03,0,0,50,41,0,0,0,30,0,0
2020-05-04,0,20,45,55,0,0,0,43,0,0
2020-05-05,0,13,41,52,0,0,0,70,0,0
2020-05-06,0,14,41,100,0,0,0,59,0,0
2020-05-07,0,18,42,56,0,0,0,58,0,0
2020-05-08,0,13,34,57,0,0,23,43,0,0
2020-05-09,0,0,31,51,0,34,0,48,0,0
2020-05-10,0,0,36,42,0,0,0,43,0,0
2020-05-11,0,14,32,28,10,0,0,38,0,0
2020-05-12,0,21,34,38,0,0,0,60,0,0
2020-05-13,0,13,38,75,0,0,0,44,0,0
2020-05-14,0,21,36,39,0,0,0,41,0,0
2020-05-15,0,19,33,60,0,0,0,49,0,0
2020-05-16,0,0,30,48,0,0,0,43,0,0
2020-05-17,0,0,35,25,0,0,0,31,0,0
2020-05-18,0,14,29,26,0,0,0,57,0,0
2020-05-19,0,20,34,28,0,0,0,56,0,0
2020-05-20,0,19,27,69,0,0,0,50,0,0
2020-05-21,0,18,19,36,0,0,0,46,0,0
2020-05-22,0,14,39,57,0,0,0,40,0,0
2020-05-23,0,0,35,49,0,0,0,31,0,0
2020-05-24,0,0,38,24,0,0,0,36,0,0
2020-05-25,0,12,52,31,0,0,0,40,0,0
2020-05-26,0,17,52,35,0,0,0,45,0,0
2020-05-27,0,15,55,62,0,0,0,56,0,0
2020-05-28,0,15,36,34,0,0,0,43,0,0
2020-05-29,0,16,50,69,0,0,0,62,0,0
2020-05-30,0,8,46,61,0,0,0,44,0,0
2020-05-31,0,0,46,31,0,0,0,40,0,0
2020-06-01,0,17,45,28,0,0,0,61,0,0
2020-06-02,0,18,47,30,0,0,0,51,0,0
2020-06-03,0,16,42,67,0,0,0,56,0,0
2020-06-04,0,15,34,29,0,0,0,69,0,0
2020-06-05,0,15,38,45,0,0,0,58,0,0
2020-06-06,0,10,29,42,0,0,0,53,0,0
2020-06-07,0,0,39,25,0,0,0,52,0,0
2020-06-08,0,12,48,17,0,0,0,65,0,17
2020-06-09,0,14,57,18,0,0,0,61,0,0
2020-06-10,0,16,45,52,0,0,0,64,0,0
2020-06-11,0,13,45,23,0,0,0,69,0,0
2020-06-12,0,14,38,35,0,0,0,47,0,0
2020-06-13,0,0,39,28,0,0,0,47,0,0
2020-06-14,0,0,42,18,0,0,0,48,0,0
2020-06-15,0,12,57,17,0,0,0,59,0,0
2020-06-16,0,0,58,27,0,0,0,48,0,0
2020-06-17,0,18,46,43,0,0,0,66,0,0
2020-06-18,0,9,51,18,0,0,0,64,0,0
2020-06-19,0,13,51,37,0,0,0,37,0,0
2020-06-20,0,0,35,27,0,0,0,42,0,0
2020-06-21,0,0,38,19,0,0,0,24,0,0
2020-06-22,0,15,46,18,0,0,0,75,0,0
2020-06-23,10,14,35,18,0,0,0,65,0,0
2020-06-24,0,13,45,61,0,0,0,64,0,0
2020-06-25,0,14,43,35,0,0,0,51,0,0
2020-06-26,0,19,45,47,0,0,0,55,0,0
2020-06-27,0,0,38,43,0,0,0,59,0,0
2020-06-28,0,0,33,27,0,0,0,50,0,0
2020-06-29,0,18,33,22,0,0,0,79,0,0
2020-06-30,7,17,36,32,0,0,0,50,0,0
2020-07-01,0,13,37,78,0,18,0,65,0,0
2020-07-02,0,11,46,24,0,0,0,52,0,0
