date,Hollywoodbets,The Courier Guy,ShopRite,Steers,Betway,Buffalo Logistics,Uber Eats,Bolt,60 sixty,PaymeNow
2025-01-12,5,0,56,9,7,0,0,43,0,59
2025-01-13,0,5,55,8,5,0,0,60,0,80
2025-01-14,0,5,57,10,5,19,0,72,0,88
2025-01-15,5,0,53,29,6,0,0,72,0,77
2025-01-16,6,4,54,10,7,0,0,64,0,41
2025-01-17,0,6,53,15,8,0,0,56,0,42
2025-01-18,0,0,60,12,8,0,0,50,17,46
2025-01-19,6,0,66,11,0,0,0,50,0,21
2025-01-20,0,5,47,9,8,0,0,57,0,28
2025-01-21,4,0,40,11,6,0,12,61,0,22
2025-01-22,6,7,44,23,9,0,0,48,0,21
2025-01-23,5,6,50,14,8,0,0,57,0,25
2025-01-24,5,0,48,23,6,0,0,73,0,15
2025-01-25,5,0,65,15,7,0,0,73,0,16
2025-01-26,0,0,62,15,7,0,0,50,0,0
2025-01-27,4,5,50,11,7,0,0,64,0,0
2025-01-28,4,4,54,14,5,0,0,65,0,13
2025-01-29,0,6,55,31,7,0,0,76,0,0
2025-01-30,0,5,52,12,6,0,0,68,0,0
2025-01-31,5,7,55,26,7,0,0,87,0,15
2025-02-01,0,0,68,23,10,0,0,84,0,27
2025-02-02,0,0,67,12,9,0,0,56,0,40
2025-02-03,5,4,54,7,8,0,0,67,0,47
2025-02-04,0,0,55,14,8,13,0,74,0,53
2025-02-05,0,0,49,37,8,12,0,58,0,51
2025-02-06,7,4,58,15,8,12,0,79,0,53
2025-02-07,5,5,55,23,8,0,0,68,0,67
2025-02-08,9,0,66,20,10,0,0,49,0,80
2025-02-09,7,0,61,16,9,18,0,75,0,83
2025-02-10,0,4,49,8,5,14,0,63,0,62
2025-02-11,0,6,46,14,7,14,0,61,0,75
2025-02-12,4,0,46,41,9,11,0,74,0,70
2025-02-13,0,0,48,13,7,0,0,69,0,71
2025-02-14,7,0,56,24,7,0,0,73,0,87
2025-02-15,4,0,64,16,0,0,0,64,0,100
2025-02-16,7,0,60,16,9,0,0,51,0,52
2025-02-17,0,5,47,13,5,0,0,77,0,50
2025-02-18,0,0,43,10,7,0,11,59,0,38
2025-02-19,0,0,41,29,10,0,0,63,0,43
2025-02-20,5,5,46,14,11,0,12,63,0,24
2025-02-21,0,0,47,21,5,0,0,63,0,21
2025-02-22,8,0,50,13,11,0,0,51,0,22
2025-02-23,7,0,55,12,8,0,0,43,0,17
2025-02-24,5,4,46,11,0,0,0,47,0,28
2025-02-25,5,6,59,14,5,0,0,53,0,24
2025-02-26,4,4,51,48,9,0,0,60,0,0
2025-02-27,6,4,55,12,8,0,0,67,0,16
2025-02-28,0,0,66,30,6,0,0,84,0,14
2025-03-01,6,0,64,19,7,0,0,71,0,14
2025-03-02,0,0,75,16,7,0,0,61,0,32
2025-03-03,0,6,60,12,5,0,0,64,0,48
2025-03-04,0,4,51,13,8,0,0,61,0,45
2025-03-05,0,7,47,40,9,0,0,53,0,55
2025-03-06,0,8,49,14,5,12,0,71,0,72
2025-03-07,5,6,54,22,7,0,0,86,0,67
2025-03-08,5,0,57,15,10,0,0,56,0,73
2025-03-09,0,0,56,13,7,0,0,68,0,63
2025-03-10,8,5,58,7,7,0,0,64,0,80
2025-03-11,5,7,56,9,6,0,0,62,0,86
2025-03-12,4,4,67,32,10,0,0,60,0,73
2025-03-13,4,6,56,11,8,0,0,59,0,91
2025-03-14,7,0,60,19,8,0,0,56,0,82
2025-03-15,5,0,69,18,12,0,0,77,0,88
2025-03-16,0,0,59,13,9,0,0,38,0,53
2025-03-17,5,6,41,6,7,0,0,63,0,39
2025-03-18,0,0,45,13,5,0,0,50,0,34
2025-03-19,0,4,45,36,0,19,0,55,0,23
2025-03-20,0,5,49,19,7,0,0,69,0,28
2025-03-21,0,0,63,19,0,0,0,59,0,23
2025-03-22,0,0,67,15,7,0,0,44,0,20
2025-03-23,7,0,56,12,9,0,0,40,0,0
2025-03-24,4,6,55,13,8,0,0,51,0,16
2025-03-25,0,0,49,16,6,14,0,46,0,23
2025-03-26,6,7,58,44,6,0,0,73,0,11
2025-03-27,5,4,69,22,6,13,0,54,0,12
2025-03-28,5,6,58,22,6,0,0,66,0,0
2025-03-29,0,0,67,21,8,16,0,68,0,0
2025-03-30,0,0,73,17,7,0,0,63,0,0
2025-03-31,5,8,56,12,0,0,0,72,0,14
2025-04-01,5,5,51,15,7,23,0,52,0,42
2025-04-02,5,4,55,48,7,12,0,66,0,34
2025-04-03,4,4,55,14,9,0,0,62,0,31
2025-04-04,5,0,53,18,6,0,0,77,0,58
2025-04-05,0,0,70,14,8,0,0,60,0,66
2025-04-06,0,0,58,22,6,0,0,53,0,73
2025-04-07,0,0,64,13,5,20,0,73,0,63
2025-04-08,5,0,40,10,8,0,0,54,0,72
2025-04-09,6,0,52,38,9,0,0,80,0,75
2025-04-10,6,6,46,14,7,0,0,55,0,71
2025-04-11,8,0,47,24,8,0,0,77,0,66
2025-04-12,0,0,52,16,8,0,0,70,0,90
2025-04-13,0,0,49,16,7,0,0,49,0,69
2025-04-14,0,6,45,10,7,0,0,70,0,80
2025-04-15,0,5,45,15,8,16,0,54,0,79
2025-04-16,0,5,46,43,4,0,0,61,0,39
2025-04-17,0,6,52,14,6,0,0,61,0,45
2025-04-18,0,0,87,13,0,0,0,39,0,36
2025-04-19,0,0,52,11,7,0,0,68,0,41
2025-04-20,0,0,54,14,6,0,0,45,0,33
2025-04-21,0,0,69,21,10,0,0,57,0,28
2025-04-22,6,5,48,12,6,0,0,59,0,19
2025-04-23,4,5,45,33,7,0,0,61,0,21
2025-04-24,4,4,57,15,6,17,0,51,0,15
2025-04-25,5,0,61,20,6,0,0,56,0,16
2025-04-26,0,0,71,20,10,0,0,74,0,0
2025-04-27,0,0,78,10,7,0,0,47,0,21
2025-04-28,0,0,80,15,8,0,0,62,0,0
2025-04-29,0,6,57,12,7,0,0,72,0,14
2025-04-30,4,6,61,49,6,0,0,68,0,16
2025-05-01,5,0,86,19,7,0,0,57,0,22
2025-05-02,5,0,58,19,8,0,0,53,0,53
2025-05-03,0,0,62,14,8,0,0,61,0,57
2025-05-04,0,0,64,13,6,0,0,60,0,51
2025-05-05,0,6,52,9,7,13,13,68,0,55
2025-05-06,4,5,40,14,5,13,0,67,0,49
2025-05-07,5,5,44,44,6,0,0,65,0,64
2025-05-08,6,5,51,15,7,0,0,72,0,64
2025-05-09,4,5,50,15,7,14,0,64,0,74
2025-05-10,0,0,56,14,9,0,0,75,0,83
2025-05-11,5,0,49,12,8,0,0,57,0,75
2025-05-12,0,5,51,9,9,0,0,70,0,91
2025-05-13,4,5,47,14,7,13,0,57,0,85
2025-05-14,0,5,43,37,7,0,0,61,0,77
2025-05-15,0,7,56,16,7,0,0,48,0,92
2025-05-16,0,0,59,14,9,0,0,70,0,53
2025-05-17,0,0,54,12,9,0,0,64,0,43
2025-05-18,0,0,54,17,7,0,0,53,0,35
2025-05-19,0,5,51,10,6,0,0,63,0,37
2025-05-20,6,4,48,13,11,0,0,65,0,30
2025-05-21,0,0,54,32,7,0,0,51,0,28
2025-05-22,0,0,45,18,4,13,0,56,0,17
2025-05-23,6,0,64,22,7,0,0,78,0,24
2025-05-24,6,0,63,22,6,0,0,74,0,0
2025-05-25,7,0,62,15,7,0,0,50,0,26
2025-05-26,0,0,52,12,6,0,0,67,0,17
2025-05-27,0,0,50,20,6,0,0,63,0,18
2025-05-28,0,5,51,43,7,0,0,61,0,0
2025-05-29,4,6,59,20,9,0,0,45,0,12
2025-05-30,0,5,68,23,8,0,0,68,0,0
2025-05-31,0,0,68,20,7,0,0,79,0,0
2025-06-01,0,0,63,19,8,0,0,64,0,19
2025-06-02,5,5,57,15,0,0,0,62,0,38
2025-06-03,6,5,52,18,5,0,0,50,0,45
2025-06-04,0,9,50,39,4,0,0,74,0,47
2025-06-05,5,5,52,16,7,12,0,62,0,55
2025-06-06,0,0,57,17,6,0,0,70,0,59
2025-06-07,6,0,65,14,6,0,0,77,0,66
2025-06-08,0,0,53,12,6,0,0,55,0,72
2025-06-09,0,8,60,11,6,0,0,78,0,64
2025-06-10,0,0,68,12,6,0,0,67,0,58
2025-06-11,4,0,71,39,5,0,0,69,0,77
