date,Hollywoodbets,The Courier Guy,ShopRite,Steers,Betway,Buffalo Logistics,Uber Eats,Bolt,60 sixty,PaymeNow
2023-05-04,5,6,34,11,5,20,12,72,0,50
2023-05-05,4,6,31,16,3,11,0,80,0,52
2023-05-06,7,0,36,13,8,18,0,63,0,52
2023-05-07,4,0,35,11,6,0,0,52,0,43
2023-05-08,5,3,35,9,0,26,0,83,0,49
2023-05-09,6,5,27,9,3,19,0,67,0,53
2023-05-10,6,6,29,24,3,0,0,72,0,49
2023-05-11,4,6,29,10,4,15,0,61,0,61
2023-05-12,4,6,33,17,5,17,0,63,0,75
2023-05-13,4,0,28,13,5,0,0,54,0,60
2023-05-14,3,0,31,12,7,0,0,46,0,74
2023-05-15,4,5,31,9,4,19,0,64,0,99
2023-05-16,0,6,29,9,4,16,0,61,0,60
2023-05-17,5,4,30,29,4,20,0,59,0,71
2023-05-18,4,5,32,7,3,24,0,73,0,35
2023-05-19,5,5,29,11,4,21,0,57,0,47
2023-05-20,4,0,31,14,5,14,0,56,0,31
2023-05-21,4,0,38,9,6,14,0,47,0,27
2023-05-22,5,5,38,8,5,15,0,71,0,0
2023-05-23,6,4,32,8,4,0,0,50,0,13
2023-05-24,4,4,34,27,5,18,0,56,0,0
2023-05-25,4,6,39,19,5,21,0,61,0,0
2023-05-26,3,5,43,19,4,11,0,91,0,0
2023-05-27,3,0,42,19,6,15,0,77,0,0
2023-05-28,6,0,37,10,6,0,0,44,0,0
2023-05-29,3,4,31,9,5,14,0,72,0,0
2023-05-30,4,5,38,10,5,10,0,63,0,14
2023-05-31,4,5,35,35,5,11,0,66,0,13
2023-06-01,4,5,36,12,3,13,0,68,0,21
2023-06-02,4,3,32,19,4,14,0,68,0,44
2023-06-03,4,4,42,13,5,0,0,66,0,56
2023-06-04,4,0,37,10,5,0,0,69,0,37
2023-06-05,5,6,32,4,6,19,0,63,0,53
2023-06-06,3,6,35,6,5,19,0,61,0,56
2023-06-07,4,5,32,27,5,14,0,56,0,53
2023-06-08,4,4,32,10,5,13,0,61,0,55
2023-06-09,6,4,36,14,5,12,0,69,0,61
2023-06-10,6,0,35,10,5,0,0,73,0,64
2023-06-11,5,0,37,10,5,0,0,49,0,50
2023-06-12,5,6,52,8,2,0,0,50,0,67
2023-06-13,5,5,56,8,4,0,16,66,0,66
2023-06-14,4,4,100,25,5,0,0,68,0,69
2023-06-15,4,7,100,13,7,18,12,80,0,89
2023-06-16,6,0,97,16,0,0,0,50,0,58
2023-06-17,6,0,62,12,6,13,0,59,0,52
2023-06-18,3,4,58,8,4,0,0,42,0,50
2023-06-19,3,3,34,6,3,16,0,57,0,35
2023-06-20,7,6,38,8,5,14,0,58,0,37
2023-06-21,3,4,39,28,5,17,0,70,0,23
2023-06-22,4,5,41,6,4,11,0,70,0,18
2023-06-23,5,5,40,16,5,12,0,67,0,14
2023-06-24,0,0,50,18,6,0,0,57,0,13
2023-06-25,7,0,51,10,5,0,0,61,0,0
2023-06-26,4,4,35,9,3,15,0,62,0,14
2023-06-27,4,5,35,11,5,12,0,60,0,0
2023-06-28,5,5,38,38,6,13,0,74,0,13
