date,Hollywoodbets,The Courier Guy,ShopRite,Steers,Betway,Buffalo Logistics,Uber Eats,Bolt,60 sixty,PaymeNow
2023-07-09,5,0,42,15,6,0,0,50,0,60
2023-07-10,4,4,39,10,3,13,0,60,0,50
2023-07-11,5,4,32,13,7,22,0,49,0,48
2023-07-12,8,5,34,38,4,18,0,42,0,67
2023-07-13,6,7,39,13,0,12,0,73,0,63
2023-07-14,5,0,38,17,4,15,0,63,0,100
2023-07-15,0,0,42,20,0,13,0,69,0,96
2023-07-16,7,0,39,7,6,0,0,48,0,50
2023-07-17,5,5,38,10,4,0,0,60,0,51
2023-07-18,5,5,32,7,6,10,0,66,0,45
2023-07-19,4,4,30,27,4,18,0,46,0,26
2023-07-20,5,6,33,9,4,14,0,65,0,20
2023-07-21,0,5,43,20,6,0,0,66,0,19
2023-07-22,0,0,47,14,7,0,0,58,0,0
2023-07-23,4,0,44,11,4,0,0,39,0,13
2023-07-24,3,3,45,10,0,15,0,67,0,11
2023-07-25,6,5,51,14,6,11,0,56,0,16
2023-07-26,5,5,46,39,4,0,0,67,0,0
2023-07-27,6,6,49,13,3,10,0,69,0,10
2023-07-28,0,5,40,21,6,0,0,56,0,10
2023-07-29,6,0,54,15,5,19,0,54,0,0
2023-07-30,6,0,45,9,6,0,0,50,0,14
2023-07-31,0,8,46,11,7,13,0,55,0,20
2023-08-01,6,7,44,14,5,26,0,48,0,25
2023-08-02,4,3,43,34,4,12,0,61,0,32
2023-08-03,7,6,43,14,4,16,0,61,0,29
2023-08-04,7,7,46,21,6,15,0,63,0,48
2023-08-05,6,0,52,18,6,0,0,64,0,53
2023-08-06,4,0,46,9,7,0,0,48,0,59
2023-08-07,7,4,36,8,7,9,0,50,0,64
2023-08-08,5,5,39,13,7,13,0,64,0,59
2023-08-09,5,0,50,25,5,15,0,49,0,50
2023-08-10,5,7,36,11,4,14,0,53,0,48
2023-08-11,5,4,42,15,4,22,0,48,0,62
2023-08-12,0,0,39,15,7,18,0,48,0,60
2023-08-13,4,0,36,13,6,0,0,39,0,72
2023-08-14,5,6,34,14,6,20,0,61,0,49
2023-08-15,3,6,36,13,6,34,0,47,0,82
2023-08-16,6,5,36,29,5,24,0,59,0,48
2023-08-17,6,8,38,14,5,19,0,40,0,51
2023-08-18,4,5,38,17,5,16,0,53,0,43
2023-08-19,0,0,38,14,11,0,0,48,0,35
2023-08-20,6,0,41,10,5,0,0,30,0,31
2023-08-21,3,7,39,7,5,17,0,49,0,22
2023-08-22,4,6,43,10,4,24,0,50,0,0
2023-08-23,5,0,42,29,4,12,0,56,0,15
2023-08-24,5,4,50,12,8,22,0,50,0,0
2023-08-25,8,6,50,20,5,13,0,70,0,0
2023-08-26,4,0,47,20,7,0,0,52,0,0
2023-08-27,6,0,58,14,5,0,0,54,0,0
2023-08-28,0,5,45,7,8,11,0,55,0,12
2023-08-29,5,5,48,13,6,22,0,53,0,15
2023-08-30,5,5,39,32,7,14,0,52,0,10
