date,Hollywoodbets,The Courier Guy,ShopRite,Steers,Betway
2020-07-03,0,13,38,50,0
2020-07-04,0,0,37,35,0
2020-07-05,0,0,37,23,0
2020-07-06,0,9,47,20,0
2020-07-07,0,22,33,24,0
2020-07-08,8,19,33,62,0
2020-07-09,0,13,30,25,0
2020-07-10,0,15,36,35,0
2020-07-11,0,10,28,33,0
2020-07-12,0,0,30,15,0
2020-07-13,0,13,38,14,0
2020-07-14,0,19,37,19,0
2020-07-15,0,20,41,71,0
2020-07-16,0,9,35,19,0
2020-07-17,0,11,39,35,0
2020-07-18,0,8,22,22,0
2020-07-19,0,0,23,26,0
2020-07-20,0,9,53,17,6
2020-07-21,0,10,35,19,0
2020-07-22,0,8,37,65,0
2020-07-23,0,9,43,28,0
2020-07-24,0,11,48,47,0
2020-07-25,0,0,32,43,0
2020-07-26,0,0,44,24,0
2020-07-27,0,11,36,12,0
2020-07-28,0,13,40,22,0
2020-07-29,0,13,33,71,0
2020-07-30,0,0,30,33,0
2020-07-31,0,14,35,50,0
2020-08-01,0,9,35,30,7
2020-08-02,0,0,31,20,0
2020-08-03,0,14,41,15,0
2020-08-04,0,14,37,21,0
2020-08-05,0,14,38,67,0
2020-08-06,0,7,36,28,0
2020-08-07,0,10,34,36,0
2020-08-08,0,0,32,28,0
2020-08-09,0,0,26,26,0
2020-08-10,0,0,35,23,0
2020-08-11,0,10,31,18,7
2020-08-12,0,10,29,51,0
2020-08-13,0,15,39,19,0
2020-08-14,0,13,26,36,0
2020-08-15,0,0,31,27,0
2020-08-16,0,0,30,22,0
2020-08-17,0,13,43,18,0
2020-08-18,0,18,35,17,0
2020-08-19,0,12,25,65,0
2020-08-20,0,12,35,28,0
2020-08-21,0,14,43,33,0
2020-08-22,0,0,35,28,0
2020-08-23,0,0,31,23,0
2020-08-24,0,11,44,17,0
2020-08-25,0,15,59,19,0
2020-08-26,6,8,51,78,0
2020-08-27,0,10,40,26,0
2020-08-28,0,14,45,44,0
2020-08-29,0,8,41,23,0
2020-08-30,0,0,30,23,0
2020-08-31,0,12,40,24,0
2020-09-01,0,0,30,26,0
2020-09-02,0,14,34,63,0
2020-09-03,0,18,36,22,0
2020-09-04,0,10,36,39,0
2020-09-05,8,7,36,29,0
2020-09-06,0,0,37,26,0
2020-09-07,6,8,36,19,0
2020-09-08,0,16,53,20,0
2020-09-09,0,12,38,69,0
2020-09-10,8,12,46,24,0
2020-09-11,0,10,43,37,0
2020-09-12,0,0,34,36,0
2020-09-13,0,0,36,25,0
