date,Hollywoodbets,The Courier Guy,ShopRite,Steers,Betway,Buffalo Logistics,Uber Eats,Bolt,60 sixty,PaymeNow
2021-01-04,0,5,23,10,0,0,0,44,0,0
2021-01-05,0,5,23,10,0,0,0,55,0,0
2021-01-06,0,4,27,31,0,0,0,65,0,0
2021-01-07,0,4,21,12,0,0,0,54,0,0
2021-01-08,0,5,15,14,0,0,0,70,0,0
2021-01-09,0,0,17,13,0,0,0,53,0,0
2021-01-10,0,0,21,9,4,0,0,40,0,0
2021-01-11,0,4,13,6,0,0,0,60,0,0
2021-01-12,4,6,18,11,0,0,0,62,0,0
2021-01-13,0,6,15,32,0,0,0,68,0,0
2021-01-14,0,4,16,15,3,0,0,57,0,0
2021-01-15,0,5,14,20,0,0,0,71,0,0
2021-01-16,0,0,15,18,0,0,0,59,0,0
2021-01-17,0,0,20,12,0,0,0,46,0,0
2021-01-18,0,6,17,9,0,0,0,63,0,0
2021-01-19,0,6,16,7,3,0,0,56,0,0
2021-01-20,0,6,14,32,0,0,0,78,0,0
2021-01-21,0,5,23,10,0,0,0,60,0,0
2021-01-22,0,4,18,19,0,0,0,63,0,0
2021-01-23,0,4,18,15,0,20,0,43,0,0
2021-01-24,4,0,18,11,0,0,0,41,0,0
2021-01-25,0,6,24,12,0,0,0,69,0,0
2021-01-26,0,4,22,15,0,0,0,64,0,0
2021-01-27,0,6,16,38,0,0,0,84,0,0
2021-01-28,0,5,17,13,0,0,0,57,0,0
2021-01-29,0,3,19,22,0,0,0,61,0,0
2021-01-30,0,0,19,19,0,0,0,54,0,0
2021-01-31,0,0,28,16,4,0,0,65,0,0
2021-02-01,0,6,21,10,0,0,0,78,0,0
2021-02-02,0,6,18,9,0,0,0,73,0,0
2021-02-03,0,6,19,39,0,0,0,50,0,0
2021-02-04,0,7,24,11,0,0,0,63,0,0
2021-02-05,0,7,18,22,0,0,0,72,0,0
2021-02-06,0,0,16,15,0,0,0,50,0,0
2021-02-07,0,0,26,10,0,0,0,58,0,0
2021-02-08,0,8,22,6,3,0,0,71,0,0
2021-02-09,0,7,24,10,0,0,0,71,0,0
2021-02-10,4,7,21,33,0,0,0,85,0,0
2021-02-11,0,4,18,12,0,0,0,83,0,0
2021-02-12,0,8,20,18,0,0,0,74,0,0
2021-02-13,0,0,19,15,0,0,0,63,0,0
2021-02-14,0,0,22,16,0,0,0,75,0,0
2021-02-15,0,5,23,10,0,0,0,81,0,0
2021-02-16,0,5,17,11,0,0,0,57,0,0
2021-02-17,0,6,16,28,0,0,0,59,0,0
2021-02-18,0,7,21,12,0,0,0,75,0,0
2021-02-19,0,4,18,19,0,0,0,70,0,0
2021-02-20,4,0,21,12,5,0,0,78,0,0
2021-02-21,0,0,18,12,0,0,0,43,0,0
2021-02-22,0,5,22,8,3,0,0,61,0,0
2021-02-23,0,6,19,11,0,0,0,63,0,0
2021-02-24,0,4,20,33,0,0,0,52,0,0
2021-02-25,0,6,35,15,3,0,0,94,0,0
2021-02-26,0,0,20,32,0,0,0,69,0,0
2021-02-27,0,0,22,20,0,0,0,96,0,0
2021-02-28,0,0,27,13,0,0,0,74,0,0
2021-03-01,0,0,20,12,0,0,0,100,0,0
2021-03-02,0,6,25,11,0,0,0,75,0,0
2021-03-03,0,8,24,36,0,0,0,67,0,0
2021-03-04,0,6,25,14,0,0,0,64,0,0
2021-03-05,0,4,24,24,0,0,0,70,0,0
2021-03-06,0,4,27,13,0,0,0,89,0,0
2021-03-07,0,0,23,10,0,0,0,62,0,0
2021-03-08,0,7,21,6,0,0,0,77,0,0
2021-03-09,0,5,15,8,3,0,0,86,0,0
2021-03-10,3,6,19,33,0,0,0,78,0,0
2021-03-11,0,4,19,13,0,0,0,71,0,0
2021-03-12,0,4,22,18,0,0,0,85,0,0
2021-03-13,0,0,19,13,0,0,0,64,0,0
2021-03-14,0,0,20,13,0,0,0,68,0,0
2021-03-15,0,3,19,12,0,0,0,67,0,0
2021-03-16,0,4,16,9,3,0,0,60,0,0
2021-03-17,0,6,19,33,0,14,0,86,0,0
2021-03-18,0,6,21,10,0,0,0,81,0,0
2021-03-19,0,0,21,19,0,0,0,65,0,0
2021-03-20,0,0,22,15,0,0,0,73,0,0
2021-03-21,0,0,26,8,0,0,0,72,0,0
2021-03-22,0,0,29,10,0,0,0,54,0,0
2021-03-23,0,6,28,11,0,0,0,72,0,0
2021-03-24,0,6,29,32,0,0,0,69,0,0
