date,Hollywoodbets,The Courier Guy,ShopRite,Steers,Betway,Buffalo Logistics,Uber Eats,Bolt,60 sixty,PaymeNow
2024-01-10,8,5,49,30,8,12,0,49,0,77
2024-01-11,7,4,44,13,11,14,0,49,0,70
2024-01-12,6,5,53,13,9,12,0,47,0,89
2024-01-13,6,5,48,16,10,0,0,44,0,91
2024-01-14,6,0,48,11,8,0,0,34,0,89
2024-01-15,0,5,54,17,6,13,0,45,0,69
2024-01-16,4,5,56,9,8,0,0,48,0,59
2024-01-17,0,5,44,29,8,9,0,45,0,39
2024-01-18,5,4,46,9,9,0,0,42,0,36
2024-01-19,5,0,37,20,8,9,0,41,0,39
2024-01-20,6,0,53,17,9,0,0,40,0,41
2024-01-21,4,4,54,10,10,0,0,40,0,30
2024-01-22,0,5,38,10,6,15,0,44,0,23
2024-01-23,5,5,36,8,7,0,0,40,0,20
2024-01-24,5,4,43,34,7,0,0,41,0,17
2024-01-25,6,5,52,19,6,0,0,49,0,10
2024-01-26,5,0,55,19,6,0,0,50,0,0
2024-01-27,6,0,63,21,10,0,0,34,0,14
2024-01-28,5,0,59,19,5,0,0,40,0,0
2024-01-29,5,6,40,11,6,0,0,47,0,0
2024-01-30,5,5,45,10,5,0,0,45,0,14
2024-01-31,4,5,49,43,8,0,0,49,0,16
2024-02-01,8,5,43,15,6,0,0,58,0,27
2024-02-02,6,6,54,19,9,15,0,65,0,54
2024-02-03,0,0,60,20,11,0,0,53,0,58
2024-02-04,0,0,63,15,5,0,0,41,0,70
2024-02-05,5,4,51,8,9,11,0,55,0,52
2024-02-06,5,4,57,18,6,14,0,59,0,65
2024-02-07,4,5,40,35,9,10,0,42,0,71
2024-02-08,5,5,39,16,6,13,0,45,0,66
2024-02-09,6,6,63,23,6,0,0,52,0,69
2024-02-10,0,0,61,14,8,0,0,53,0,76
2024-02-11,5,0,57,18,6,0,0,39,0,60
2024-02-12,6,0,51,9,0,0,0,52,0,82
2024-02-13,0,5,51,13,10,10,0,44,0,82
2024-02-14,4,6,53,42,6,15,0,60,0,88
2024-02-15,0,6,45,19,5,0,0,52,0,87
2024-02-16,5,7,48,19,9,0,0,77,0,38
2024-02-17,0,0,50,16,10,0,0,53,0,28
2024-02-18,0,0,57,10,5,13,0,52,0,33
2024-02-19,0,0,47,14,5,0,0,60,0,27
2024-02-20,8,4,46,11,5,10,0,46,0,28
2024-02-21,4,5,47,32,9,14,0,38,0,23
2024-02-22,0,0,47,14,5,0,0,42,0,18
2024-02-23,6,0,64,27,7,0,0,58,0,0
2024-02-24,0,0,72,22,9,0,0,57,0,12
2024-02-25,0,0,63,18,8,0,0,45,0,0
2024-02-26,6,4,54,12,5,13,0,56,0,0
2024-02-27,0,6,54,18,7,10,0,54,0,0
2024-02-28,6,4,60,48,9,0,0,57,0,13
2024-02-29,4,0,58,20,8,16,0,62,0,19
2024-03-01,5,5,64,28,6,14,0,70,0,23
2024-03-02,5,0,61,23,9,0,0,70,0,39
2024-03-03,0,0,69,18,7,0,0,39,0,34
2024-03-04,5,6,45,9,6,18,0,63,0,46
2024-03-05,5,4,54,14,10,9,0,61,0,48
2024-03-06,4,7,47,38,9,23,0,61,0,60
2024-03-07,5,6,43,14,10,20,0,73,0,52
2024-03-08,4,6,49,18,8,21,0,51,0,52
2024-03-09,0,0,54,17,9,13,0,61,0,57
2024-03-10,5,0,46,13,11,0,0,47,11,58
2024-03-11,7,0,47,10,8,32,0,66,0,65
2024-03-12,4,4,44,13,5,28,0,58,0,64
2024-03-13,5,5,42,40,5,28,0,53,0,59
2024-03-14,0,6,43,12,8,20,0,66,0,94
2024-03-15,0,0,49,24,8,30,0,54,0,67
2024-03-16,0,0,54,19,9,22,0,52,0,54
2024-03-17,6,0,50,11,8,12,0,36,0,41
2024-03-18,0,6,37,14,5,19,0,60,0,37
2024-03-19,4,6,45,15,6,36,0,57,0,28
2024-03-20,5,4,48,50,0,35,0,49,0,30
2024-03-21,5,0,66,15,6,18,0,40,0,18
2024-03-22,6,5,54,20,8,33,0,51,0,16
2024-03-23,6,0,59,21,10,17,0,48,0,0
2024-03-24,0,0,65,11,7,15,0,48,0,0
2024-03-25,5,5,55,18,7,42,0,47,0,22
2024-03-26,0,5,55,17,7,43,0,64,0,11
2024-03-27,5,5,56,45,8,39,0,64,0,15
2024-03-28,5,7,68,24,6,31,0,64,0,0
2024-03-29,7,0,94,20,11,21,0,56,0,15
2024-03-30,7,0,64,21,10,27,0,51,0,22
2024-03-31,5,0,63,17,0,25,0,49,0,22
2024-04-01,5,0,70,13,9,19,0,61,0,55
2024-04-02,4,6,54,12,6,45,0,50,0,57
2024-04-03,4,4,42,37,8,38,0,49,0,60
2024-04-04,0,6,48,13,0,44,0,39,0,64
2024-04-05,0,5,54,21,10,47,0,75,0,69
2024-04-06,9,0,48,17,10,19,0,54,0,83
2024-04-07,0,0,59,18,7,13,0,38,0,64
2024-04-08,4,7,50,10,6,54,0,57,0,63
2024-04-09,4,5,40,11,10,41,0,63,0,67
2024-04-10,4,6,47,36,10,38,0,55,0,65
2024-04-11,0,4,46,14,10,17,0,44,0,84
2024-04-12,7,0,59,19,7,35,0,48,0,77
2024-04-13,0,0,55,19,7,0,0,64,0,100
2024-04-14,0,0,48,13,5,21,0,37,0,83
2024-04-15,0,5,47,10,5,32,0,45,0,87
2024-04-16,5,7,40,12,8,33,0,54,0,53
2024-04-17,6,0,33,30,8,25,0,54,0,29
2024-04-18,0,6,44,15,6,25,0,49,0,28
2024-04-19,0,6,46,19,7,16,0,49,0,25
2024-04-20,5,0,56,16,10,0,0,53,0,40
2024-04-21,0,0,40,16,5,12,0,30,0,15
2024-04-22,0,0,57,9,7,13,0,45,0,20
2024-04-23,5,7,49,16,8,16,0,50,0,12
2024-04-24,0,7,59,38,11,15,0,41,0,16
2024-04-25,4,5,57,23,5,0,0,55,0,21
2024-04-26,5,4,64,31,5,16,0,70,0,0
2024-04-27,0,0,63,23,6,0,0,59,0,0
2024-04-28,0,0,58,14,8,0,0,35,0,0
2024-04-29,7,8,55,14,8,28,0,72,0,14
2024-04-30,4,4,58,21,9,15,0,71,0,17
2024-05-01,0,0,83,33,8,0,0,58,0,40
2024-05-02,0,5,54,17,8,12,0,60,0,42
2024-05-03,0,6,55,28,11,28,0,54,0,56
2024-05-04,6,0,62,22,7,15,0,65,0,59
2024-05-05,4,0,59,14,6,14,0,42,0,58
2024-05-06,0,7,46,12,0,23,0,57,0,47
2024-05-07,7,6,51,13,6,24,0,69,0,57
2024-05-08,0,9,41,35,7,31,0,66,0,50
2024-05-09,6,8,44,16,10,19,0,58,0,58
2024-05-10,4,6,50,22,5,23,0,64,0,74
2024-05-11,0,0,51,19,9,13,0,57,0,65
2024-05-12,0,0,48,15,0,0,0,45,0,60
2024-05-13,4,7,42,10,4,23,0,67,0,65
2024-05-14,0,4,41,8,7,18,0,49,0,63
2024-05-15,6,4,48,36,6,12,0,43,0,83
2024-05-16,5,5,44,19,7,20,0,48,0,26
2024-05-17,0,0,50,26,6,21,0,58,0,35
2024-05-18,6,0,54,13,5,0,0,48,0,30
2024-05-19,0,0,46,14,8,0,0,39,0,35
2024-05-20,5,5,50,9,5,10,0,45,0,26
2024-05-21,0,8,64,14,8,11,0,60,0,20
2024-05-22,4,5,56,44,6,14,0,67,0,12
2024-05-23,0,5,58,19,0,0,0,62,0,19
2024-05-24,5,5,58,25,7,14,0,64,0,0
2024-05-25,0,0,58,23,6,0,0,70,0,0
2024-05-26,5,0,65,21,7,0,0,47,0,16
2024-05-27,0,6,50,19,6,0,0,67,0,14
2024-05-28,0,0,56,19,6,15,0,55,0,0
2024-05-29,0,0,67,43,0,15,0,57,0,14
2024-05-30,0,6,52,12,7,27,0,45,0,0
2024-05-31,0,4,55,29,7,14,0,62,0,14
2024-06-01,5,0,56,23,10,13,0,49,0,23
2024-06-02,0,0,60,17,10,0,0,52,0,55
2024-06-03,5,4,47,11,5,23,0,63,0,39
2024-06-04,5,7,58,12,6,29,0,51,0,51
2024-06-05,0,8,60,43,9,24,0,54,0,55
2024-06-06,4,9,48,15,5,24,0,53,0,47
2024-06-07,0,4,54,23,6,20,0,65,0,43
2024-06-08,0,6,65,25,7,0,0,65,0,78
2024-06-09,0,0,70,13,12,0,0,52,0,67
2024-06-10,0,6,57,7,5,33,0,65,0,60
2024-06-11,5,6,67,11,7,22,0,59,0,69
2024-06-12,0,7,80,41,7,27,0,63,0,57
2024-06-13,5,7,87,15,7,26,0,61,0,73
2024-06-14,6,6,93,26,0,19,0,63,0,61
2024-06-15,6,0,100,17,6,0,0,66,0,61
2024-06-16,5,0,83,20,7,0,0,50,0,43
2024-06-17,0,0,93,11,6,0,0,46,0,43
2024-06-18,4,6,42,14,7,23,0,51,0,29
2024-06-19,4,4,49,31,0,19,0,70,0,23
2024-06-20,0,5,48,21,8,15,0,45,0,25
2024-06-21,0,4,45,23,0,20,0,63,0,13
2024-06-22,0,5,55,17,11,17,0,56,0,16
2024-06-23,0,0,53,18,5,0,0,30,0,0
2024-06-24,0,0,60,12,5,15,0,55,0,15
2024-06-25,0,6,70,23,8,22,0,51,0,20
2024-06-26,0,0,59,55,5,11,0,64,0,0
2024-06-27,6,4,66,20,6,17,0,51,0,17
2024-06-28,0,11,69,32,0,19,0,65,0,13
2024-06-29,0,0,65,23,6,0,0,85,0,14
2024-06-30,0,0,64,16,8,0,0,45,0,0
2024-07-01,6,5,45,13,5,18,0,66,0,23
2024-07-02,6,8,60,14,9,21,0,56,11,46
2024-07-03,8,8,56,52,6,19,0,58,0,49
2024-07-04,0,5,54,17,6,21,0,50,0,51
2024-07-05,6,5,54,22,6,18,0,65,0,55
2024-07-06,5,0,58,19,9,21,0,54,0,70
2024-07-07,0,0,57,21,7,0,0,53,0,48
2024-07-08,0,6,53,10,0,40,0,61,0,69
2024-07-09,4,4,52,13,8,27,0,58,0,61
2024-07-10,4,4,40,45,7,15,0,54,0,64
