date,Sales,Black friday,Sneakers,Online Shopping,Shein,Adidas,Puma,Nike,sportscene,clothing
2024-07-11,0,0,5,1,1,22,12,35,10,32
2024-07-12,0,0,6,1,1,23,10,39,10,31
2024-07-13,0,0,6,1,1,25,12,42,11,31
2024-07-14,0,0,7,1,1,25,13,47,11,28
2024-07-15,1,0,6,1,1,22,11,34,9,28
2024-07-16,0,0,6,1,1,21,11,39,9,28
2024-07-17,0,0,6,1,2,22,15,37,9,29
2024-07-18,0,0,6,1,1,20,17,38,9,29
2024-07-19,0,0,6,2,1,25,13,38,9,32
2024-07-20,0,0,7,1,2,27,16,46,11,28
2024-07-21,0,0,7,1,2,27,19,51,11,34
2024-07-22,0,0,6,1,2,19,13,40,10,27
2024-07-23,0,0,6,1,2,21,11,38,11,27
2024-07-24,0,0,5,2,1,21,13,38,8,31
2024-07-25,0,0,6,2,2,24,18,37,11,32
2024-07-26,0,0,6,2,1,23,17,40,12,30
2024-07-27,0,0,7,2,2,27,18,50,14,28
2024-07-28,0,0,7,1,1,26,15,47,12,29
2024-07-29,0,0,6,1,1,22,14,37,11,28
2024-07-30,0,0,6,2,2,22,17,36,10,28
2024-07-31,0,0,6,2,1,21,17,34,11,27
2024-08-01,0,0,5,2,1,21,13,36,10,28
2024-08-02,0,0,6,1,2,22,14,37,13,28
2024-08-03,0,0,6,1,2,30,16,44,12,29
2024-08-04,0,0,6,1,2,26,18,42,12,29
2024-08-05,0,0,5,2,2,23,13,34,8,26
2024-08-06,0,0,5,1,1,20,10,36,9,26
2024-08-07,0,0,6,1,1,20,12,30,9,28
2024-08-08,0,0,5,1,2,19,11,37,8,26
2024-08-09,0,0,6,1,2,23,13,42,14,28
2024-08-10,0,0,6,1,2,24,12,43,13,27
2024-08-11,0,0,6,1,2,24,12,38,13,28
2024-08-12,0,0,5,1,2,20,11,34,10,25
2024-08-13,0,0,5,1,2,25,10,32,9,30
2024-08-14,0,0,5,1,2,23,10,31,10,26
2024-08-15,0,0,6,1,2,20,10,32,9,28
2024-08-16,0,0,6,1,2,23,11,35,9,29
2024-08-17,0,0,6,1,2,29,13,44,13,29
2024-08-18,0,0,7,1,2,25,13,43,11,28
2024-08-19,0,0,6,1,2,21,12,34,9,29
2024-08-20,0,0,5,1,2,21,9,33,10,31
2024-08-21,0,0,6,1,2,19,10,34,11,32
2024-08-22,0,0,5,1,2,20,9,35,10,31
2024-08-23,0,0,6,1,2,23,11,38,12,30
2024-08-24,0,0,7,1,2,27,13,44,13,31
2024-08-25,0,1,7,2,2,27,14,46,15,35
2024-08-26,0,0,6,1,2,21,13,37,12,31
2024-08-27,0,0,6,2,2,21,11,36,10,33
2024-08-28,0,0,5,2,2,22,10,34,11,31
2024-08-29,0,0,6,1,2,20,10,37,10,34
2024-08-30,0,0,6,2,1,24,11,39,12,32
2024-08-31,0,0,6,2,2,24,11,42,13,28
2024-09-01,0,0,6,1,2,26,13,45,12,32
2024-09-02,0,0,5,1,2,21,11,35,10,29
2024-09-03,0,0,6,2,1,21,11,34,9,31
2024-09-04,0,0,6,2,2,21,10,34,9,31
2024-09-05,0,0,6,1,2,21,11,34,10,32
2024-09-06,0,0,6,1,2,20,9,35,9,34
2024-09-07,0,0,7,1,2,27,13,45,11,30
2024-09-08,0,0,7,1,2,27,13,46,12,31
2024-09-09,0,0,6,1,2,22,9,32,9,30
2024-09-10,1,0,5,2,2,19,9,33,11,29
2024-09-11,0,0,6,2,2,20,9,35,11,32
2024-09-12,0,0,6,2,2,22,12,37,14,34
2024-09-13,0,0,6,1,2,24,12,37,13,29
2024-09-14,0,0,6,1,2,25,12,38,11,29
2024-09-15,0,0,6,1,2,23,10,43,12,32
2024-09-16,0,0,6,1,2,21,10,38,9,29
2024-09-17,0,0,6,1,2,19,10,35,10,29
2024-09-18,0,0,5,1,2,18,9,36,11,27
2024-09-19,0,0,6,1,1,21,10,37,11,31
2024-09-20,0,0,6,1,1,20,9,36,10,26
2024-09-21,0,0,6,1,2,24,13,41,12,29
2024-09-22,0,1,7,1,2,24,14,43,13,30
2024-09-23,0,0,7,1,2,23,12,44,12,30
2024-09-24,0,0,7,1,2,25,14,43,12,32
2024-09-25,0,0,7,1,2,24,10,42,12,29
2024-09-26,0,0,6,1,2,22,12,41,11,30
2024-09-27,0,0,7,1,2,22,13,41,12,33
2024-09-28,0,0,6,1,1,23,14,40,11,30
2024-09-29,0,1,7,1,1,24,13,43,14,27
2024-09-30,0,1,6,1,2,21,11,39,12,26
2024-10-01,0,0,6,2,2,22,12,39,13,30
2024-10-02,0,1,6,2,2,20,10,34,11,31
2024-10-03,1,1,6,2,1,21,10,36,10,30
2024-10-04,0,1,6,2,1,21,13,40,13,32
2024-10-05,0,1,6,1,1,23,12,40,14,30
2024-10-06,0,1,6,1,2,24,12,48,12,31
2024-10-07,0,1,6,2,2,20,10,37,12,30
2024-10-08,0,1,6,1,2,22,11,35,12,29
2024-10-09,0,1,6,1,2,21,10,38,13,29
2024-10-10,0,1,6,1,2,19,11,39,10,32
2024-10-11,0,1,6,2,2,21,12,37,11,30
2024-10-12,0,1,7,1,2,26,13,49,12,30
2024-10-13,0,1,7,1,2,27,13,47,11,32
2024-10-14,0,1,6,2,2,21,9,36,10,30
2024-10-15,1,1,6,1,2,21,11,37,11,29
2024-10-16,0,2,7,2,2,21,14,42,11,30
2024-10-17,0,2,6,2,2,22,11,41,12,30
2024-10-18,0,2,7,2,2,25,11,42,12,29
2024-10-19,0,1,7,1,2,25,12,47,14,28
2024-10-20,0,1,7,1,2,24,14,50,14,25
2024-10-21,0,2,6,2,2,23,12,39,12,27
2024-10-22,0,3,6,1,2,22,10,39,11,27
2024-10-23,0,3,6,2,2,22,10,40,11,30
2024-10-24,0,3,6,2,2,23,11,40,12,32
2024-10-25,0,4,7,2,1,26,15,45,13,32
2024-10-26,1,3,8,1,2,28,14,49,13,31
2024-10-27,0,4,8,2,2,28,15,49,15,31
2024-10-28,1,5,6,2,2,23,12,44,11,32
2024-10-29,0,6,6,2,2,21,11,39,12,27
2024-10-30,0,6,6,2,1,21,12,40,12,31
2024-10-31,0,6,6,2,2,21,12,40,13,31
2024-11-01,0,8,7,2,2,26,14,45,12,34
2024-11-02,0,6,7,1,2,26,14,46,14,33
2024-11-03,0,6,7,2,2,26,17,50,13,31
2024-11-04,0,8,6,1,2,23,13,42,11,29
2024-11-05,0,7,6,1,2,19,12,39,12,28
2024-11-06,0,7,6,1,1,22,13,38,11,30
2024-11-07,1,8,6,2,2,21,12,41,13,33
2024-11-08,1,9,7,2,2,25,12,42,12,32
2024-11-09,0,7,8,1,1,28,14,50,13,32
2024-11-10,0,7,8,1,2,26,15,58,13,27
2024-11-11,1,10,7,2,2,23,18,45,12,30
2024-11-12,0,12,7,2,2,24,15,49,13,28
2024-11-13,0,13,7,2,2,21,14,42,14,32
2024-11-14,0,14,7,2,2,26,14,46,14,33
2024-11-15,1,16,8,2,1,26,15,46,13,33
2024-11-16,0,12,8,2,2,30,19,54,15,30
2024-11-17,1,13,8,1,1,31,17,65,15,29
2024-11-18,0,17,7,2,2,24,16,54,14,31
2024-11-19,1,19,8,2,2,28,14,52,15,34
2024-11-20,1,19,7,2,2,31,14,52,15,35
2024-11-21,1,23,8,2,2,35,15,55,15,33
2024-11-22,1,25,8,2,1,34,16,57,18,32
2024-11-23,0,17,8,2,2,35,18,60,17,33
2024-11-24,0,20,9,2,2,36,20,70,20,33
2024-11-25,1,35,9,2,2,37,21,64,21,40
2024-11-26,1,42,10,2,2,37,20,62,22,36
2024-11-27,1,53,10,2,1,40,22,71,27,37
2024-11-28,1,81,11,3,1,52,25,81,34,43
2024-11-29,1,100,12,3,2,56,32,100,39,45
2024-11-30,0,30,9,2,1,41,24,75,23,38
2024-12-01,1,15,9,2,1,37,23,65,23,39
2024-12-02,1,6,9,2,1,32,18,64,17,38
2024-12-03,0,3,8,2,1,31,18,62,15,38
2024-12-04,1,2,8,2,1,30,16,64,18,38
2024-12-05,0,2,8,2,1,28,17,56,18,39
2024-12-06,0,1,8,2,1,29,18,59,15,34
2024-12-07,0,1,8,2,1,33,17,57,16,33
2024-12-08,0,1,8,2,1,33,18,60,17,38
2024-12-09,0,1,8,2,1,28,17,55,15,35
2024-12-10,0,1,8,2,1,28,16,54,16,33
2024-12-11,0,1,8,2,1,28,15,53,16,35
2024-12-12,0,1,8,2,1,30,16,59,16,34
2024-12-13,0,1,8,1,1,31,22,62,19,37
2024-12-14,0,1,8,2,0,33,19,58,20,38
2024-12-15,0,0,9,2,1,32,22,68,18,36
2024-12-16,0,1,8,2,1,29,20,65,18,40
2024-12-17,0,1,8,2,1,33,18,62,17,37
2024-12-18,0,0,8,2,1,33,17,63,15,37
2024-12-19,0,0,9,2,1,34,25,65,20,37
2024-12-20,0,0,9,2,1,34,23,67,21,40
2024-12-21,0,0,8,1,1,37,18,66,18,38
2024-12-22,0,0,8,1,1,32,19,59,18,35
2024-12-23,0,0,8,2,1,33,18,66,19,38
2024-12-24,0,0,7,1,1,29,18,55,17,35
2024-12-25,0,0,7,1,1,29,14,51,15,30
2024-12-26,0,0,6,1,1,28,12,43,10,28
2024-12-27,0,0,6,2,1,28,15,46,13,31
2024-12-28,0,0,6,1,1,26,14,41,9,26
2024-12-29,0,0,5,1,1,20,11,36,9,26
2024-12-30,0,0,6,1,1,22,13,40,10,27
2024-12-31,0,0,5,1,1,21,10,36,10,23
2025-01-01,0,0,5,1,1,18,11,41,7,24
2025-01-02,0,0,5,1,1,25,13,41,10,27
2025-01-03,0,0,5,1,1,21,11,42,8,22
2025-01-04,0,0,5,1,1,21,9,38,7,21
2025-01-05,0,0,4,1,1,20,9,37,8,25
2025-01-06,0,0,4,1,1,20,10,35,8,23
2025-01-07,0,0,4,1,1,20,9,35,8,23
2025-01-08,0,0,4,1,1,20,10,32,8,23
2025-01-09,0,0,4,1,1,20,10,33,7,22
2025-01-10,0,0,5,1,1,19,11,37,7,23
2025-01-11,0,0,5,1,1,23,10,41,8,23
