date,Sales,Black friday,Sneakers,Online Shopping,Shein,Adidas,Puma,Nike,sportscene,clothing
2020-07-03,0,0,2,2,0,20,10,41,26,38
2020-07-04,0,0,3,2,0,24,12,49,26,40
2020-07-05,0,0,3,2,0,23,13,43,24,44
2020-07-06,0,0,3,2,0,19,12,35,20,35
2020-07-07,1,0,2,2,0,20,13,37,21,36
2020-07-08,0,0,2,2,0,21,13,38,22,35
2020-07-09,0,0,2,2,0,20,10,40,20,37
2020-07-10,1,0,2,2,0,19,10,37,23,36
2020-07-11,0,0,3,2,0,23,13,45,22,41
2020-07-12,0,0,3,1,0,24,13,41,18,37
2020-07-13,0,0,2,2,0,18,13,35,19,34
2020-07-14,0,0,2,2,0,18,13,36,21,33
2020-07-15,1,0,2,2,0,20,10,37,21,35
2020-07-16,1,0,2,1,0,22,13,45,22,35
2020-07-17,0,0,2,1,0,18,14,41,18,36
2020-07-18,0,0,3,1,0,26,14,49,25,40
2020-07-19,0,0,3,1,0,24,14,44,22,33
2020-07-20,0,0,2,1,0,20,10,36,22,33
2020-07-21,0,0,2,1,0,19,12,37,19,35
2020-07-22,0,0,2,2,0,19,11,38,19,33
2020-07-23,1,0,2,1,0,19,13,41,24,37
2020-07-24,0,0,3,2,0,21,12,56,29,36
2020-07-25,0,0,3,2,0,28,15,60,29,43
2020-07-26,0,0,3,2,0,26,18,56,27,40
2020-07-27,0,0,2,2,0,22,13,40,28,38
2020-07-28,0,0,2,1,0,23,12,48,24,39
2020-07-29,1,0,2,1,0,17,15,39,25,39
2020-07-30,0,0,3,1,0,21,15,43,25,36
2020-07-31,0,0,2,1,0,20,15,45,28,35
2020-08-01,0,0,3,1,0,23,16,56,26,36
2020-08-02,0,0,3,1,0,23,16,55,27,38
2020-08-03,0,0,2,1,0,22,13,46,24,45
2020-08-04,0,0,3,1,0,23,14,43,22,57
2020-08-05,1,0,3,1,0,25,12,43,21,37
2020-08-06,1,0,3,1,0,24,15,49,25,39
2020-08-07,0,0,3,1,0,23,16,44,22,36
2020-08-08,0,0,3,1,0,26,16,52,27,39
2020-08-09,0,0,3,1,0,26,17,52,25,42
2020-08-10,0,0,3,1,0,25,17,49,26,34
2020-08-11,1,0,2,1,0,21,12,41,23,35
2020-08-12,0,0,2,1,0,21,11,39,20,33
2020-08-13,1,0,2,1,0,21,13,42,20,36
2020-08-14,0,0,2,1,0,19,13,42,19,37
2020-08-15,0,0,3,1,0,23,14,45,24,36
2020-08-16,0,0,3,1,0,25,15,46,27,37
2020-08-17,1,0,2,1,0,18,13,41,19,30
2020-08-18,1,0,2,1,0,21,12,36,20,34
2020-08-19,0,0,2,1,0,18,13,40,22,35
2020-08-20,1,0,2,1,0,20,13,47,20,34
2020-08-21,0,0,3,1,0,20,11,47,20,38
2020-08-22,0,0,4,1,0,23,16,62,28,36
2020-08-23,0,0,3,1,0,24,15,54,22,36
2020-08-24,0,0,2,1,0,17,12,44,24,32
2020-08-25,1,0,3,1,0,19,12,42,23,35
2020-08-26,0,0,2,1,0,19,11,42,24,33
2020-08-27,0,0,2,1,0,20,12,40,23,32
2020-08-28,0,0,2,1,0,22,13,45,25,35
2020-08-29,0,0,3,1,0,25,15,51,30,39
2020-08-30,0,0,3,1,0,22,16,44,26,37
2020-08-31,0,0,2,1,0,21,13,41,28,35
2020-09-01,0,0,2,2,0,20,12,39,25,42
2020-09-02,0,0,2,1,0,17,12,37,25,38
2020-09-03,0,0,2,1,0,18,10,38,23,37
2020-09-04,0,0,2,1,0,22,13,39,24,42
2020-09-05,0,0,2,1,0,22,13,47,19,42
2020-09-06,0,0,3,1,0,23,15,45,22,44
2020-09-07,1,0,2,1,0,18,11,35,21,35
2020-09-08,0,0,2,1,0,16,12,36,18,35
2020-09-09,0,0,2,1,0,15,9,36,22,40
2020-09-10,0,0,2,1,0,21,13,41,22,42
2020-09-11,0,0,2,1,0,20,12,36,22,40
2020-09-12,0,0,2,1,0,22,17,47,25,42
2020-09-13,0,0,2,1,0,20,13,44,21,43
2020-09-14,0,0,2,1,0,20,12,34,20,38
2020-09-15,0,0,2,1,0,19,12,35,17,36
2020-09-16,0,0,2,2,0,17,10,34,19,36
2020-09-17,0,0,2,1,0,16,10,40,18,42
2020-09-18,0,0,2,1,0,15,11,40,19,44
2020-09-19,1,0,3,1,0,23,13,45,21,49
2020-09-20,0,0,3,1,0,23,11,43,22,47
2020-09-21,1,0,2,1,0,18,10,36,22,44
2020-09-22,0,0,2,1,0,19,12,36,19,46
2020-09-23,0,0,2,2,0,19,14,35,23,44
2020-09-24,0,0,3,1,0,22,11,45,23,42
2020-09-25,0,0,2,1,0,21,10,39,24,41
2020-09-26,0,0,3,1,0,22,14,47,24,50
2020-09-27,0,1,3,1,0,23,13,50,22,40
2020-09-28,0,0,2,1,0,21,13,37,21,41
2020-09-29,0,0,2,1,0,22,12,36,25,43
2020-09-30,0,0,2,1,0,20,9,36,21,37
2020-10-01,0,1,2,1,0,20,10,40,20,45
2020-10-02,0,1,3,1,0,21,11,45,25,41
2020-10-03,0,0,3,1,0,24,15,47,23,39
2020-10-04,0,1,3,1,0,21,11,44,22,40
2020-10-05,0,1,2,1,0,20,13,39,21,37
2020-10-06,0,1,3,1,0,21,12,38,22,45
2020-10-07,0,1,3,1,0,18,10,38,22,39
2020-10-08,0,1,3,1,0,19,12,42,21,39
2020-10-09,0,1,3,1,0,18,12,38,21,41
2020-10-10,0,1,3,1,0,23,15,54,23,46
2020-10-11,0,1,3,2,0,26,14,50,25,43
2020-10-12,0,1,3,1,0,20,12,43,23,44
2020-10-13,0,1,2,2,0,18,10,40,20,42
2020-10-14,0,1,2,1,0,18,12,34,23,45
2020-10-15,0,2,3,1,0,19,11,44,23,43
2020-10-16,0,1,3,1,0,19,11,40,21,43
2020-10-17,0,1,3,1,0,19,11,48,24,42
2020-10-18,0,1,3,1,0,22,15,44,23,45
2020-10-19,0,2,2,1,0,19,11,36,22,40
2020-10-20,0,2,2,1,0,18,10,36,22,44
2020-10-21,0,2,2,1,0,19,12,41,19,45
2020-10-22,0,2,2,1,0,20,12,40,24,47
2020-10-23,0,3,2,2,0,23,13,36,21,44
2020-10-24,0,2,3,1,0,23,13,48,24,43
2020-10-25,0,2,3,1,0,26,14,49,28,52
2020-10-26,0,3,3,1,0,22,12,41,23,43
2020-10-27,0,3,3,1,0,22,12,39,25,45
2020-10-28,1,4,2,1,0,20,13,40,21,48
2020-10-29,1,4,3,2,0,29,13,47,23,44
2020-10-30,0,5,3,1,0,28,15,41,25,44
2020-10-31,0,3,3,2,0,23,11,47,24,45
2020-11-01,0,7,2,2,0,22,12,49,25,51
2020-11-02,1,14,3,1,0,21,12,42,24,39
2020-11-03,0,10,2,1,0,19,12,40,23,43
2020-11-04,0,8,2,1,0,18,10,32,18,38
2020-11-05,0,8,2,1,0,17,10,38,20,42
2020-11-06,0,8,2,1,0,18,11,41,22,42
2020-11-07,0,5,3,1,0,22,12,47,24,43
2020-11-08,0,6,3,1,0,21,10,46,23,42
2020-11-09,0,8,3,1,0,20,13,41,21,40
2020-11-10,0,9,3,1,0,21,12,39,25,38
2020-11-11,1,8,2,1,0,21,25,37,23,43
2020-11-12,1,8,3,2,0,21,14,43,24,42
2020-11-13,1,8,3,1,0,21,14,42,24,46
2020-11-14,0,6,3,2,0,25,16,47,22,43
2020-11-15,0,8,3,2,0,25,16,49,23,45
2020-11-16,0,10,3,1,0,17,14,38,24,42
2020-11-17,1,11,3,2,0,18,13,42,23,43
2020-11-18,1,13,3,1,0,22,13,43,26,46
2020-11-19,1,18,3,1,0,20,12,45,25,42
2020-11-20,1,21,3,2,0,25,14,46,30,44
2020-11-21,1,17,3,2,0,27,18,52,29,50
2020-11-22,1,20,3,2,0,32,26,62,38,55
2020-11-23,1,38,3,2,0,60,23,61,58,49
2020-11-24,1,50,3,2,0,64,20,67,61,52
2020-11-25,1,64,4,2,0,44,23,68,67,56
2020-11-26,1,78,4,3,0,55,29,87,96,61
2020-11-27,1,100,5,3,0,61,32,98,100,67
2020-11-28,0,22,4,2,0,41,26,78,55,60
2020-11-29,0,10,4,2,0,37,24,61,46,61
2020-11-30,0,5,3,2,0,33,19,60,47,48
2020-12-01,0,2,3,2,0,27,15,50,36,50
2020-12-02,1,2,3,2,0,28,15,52,38,47
2020-12-03,0,1,3,2,0,26,16,57,32,48
2020-12-04,0,1,4,2,0,22,14,50,35,49
2020-12-05,0,1,4,1,0,25,19,62,32,51
2020-12-06,0,1,4,2,0,25,17,61,34,52
2020-12-07,0,1,3,1,0,24,15,52,34,48
2020-12-08,0,1,4,1,0,25,18,52,32,44
2020-12-09,0,1,3,1,0,23,17,52,31,45
2020-12-10,1,1,3,1,0,25,18,53,31,50
2020-12-11,0,1,4,2,0,22,19,53,29,45
2020-12-12,0,0,4,1,0,24,15,58,32,51
2020-12-13,0,0,3,2,0,25,17,59,31,49
2020-12-14,0,1,4,2,0,24,16,58,35,47
2020-12-15,0,0,4,2,0,27,17,62,37,48
2020-12-16,0,0,4,1,0,32,18,65,38,54
2020-12-17,0,0,4,2,0,26,18,66,39,49
2020-12-18,0,0,4,2,0,31,18,65,38,50
2020-12-19,0,0,4,2,0,27,15,66,38,48
2020-12-20,0,0,4,2,0,25,18,74,38,48
2020-12-21,0,0,4,2,0,30,18,62,38,52
2020-12-22,0,0,4,2,0,28,20,61,41,52
2020-12-23,0,0,4,2,0,28,15,65,33,45
2020-12-24,0,0,3,1,0,28,13,61,31,44
2020-12-25,0,0,3,1,0,20,14,55,24,37
2020-12-26,1,0,2,1,0,21,24,49,29,44
2020-12-27,0,0,3,1,0,24,13,47,25,42
2020-12-28,1,0,2,1,0,21,11,41,20,37
2020-12-29,0,0,2,1,0,18,10,39,25,34
2020-12-30,0,0,2,2,0,17,11,39,23,35
2020-12-31,0,0,2,1,0,16,10,39,18,31
2021-01-01,0,0,2,1,0,17,14,39,19,36
2021-01-02,0,0,2,1,0,19,13,47,22,42
2021-01-03,0,0,3,1,0,22,13,39,21,39
