date,Sales,Black friday,Sneakers,Online Shopping,Shein,Adidas,Puma,Nike,sportscene,clothing
2023-01-08,4,2,56,23,20,34,17,68,23,61
2023-01-09,5,0,45,19,18,33,16,60,26,55
2023-01-10,7,4,46,21,18,29,18,55,25,61
2023-01-11,6,0,42,19,19,28,15,52,23,51
2023-01-12,4,2,41,17,17,30,15,52,22,48
2023-01-13,4,2,46,21,19,31,14,51,22,58
2023-01-14,4,2,47,17,17,36,22,66,27,56
2023-01-15,5,0,50,21,19,33,16,61,23,61
2023-01-16,5,0,37,16,15,30,15,46,21,51
2023-01-17,4,2,38,16,15,31,14,48,20,56
2023-01-18,5,0,36,16,14,26,14,49,20,48
2023-01-19,4,0,35,17,15,24,13,42,23,54
2023-01-20,2,0,41,16,16,26,15,45,25,53
2023-01-21,4,0,46,23,21,32,18,63,24,61
2023-01-22,4,2,49,20,19,38,19,64,26,54
2023-01-23,4,2,41,17,17,30,14,51,21,60
2023-01-24,4,0,41,22,14,28,13,45,22,63
2023-01-25,5,0,40,22,17,29,15,49,26,56
2023-01-26,6,0,41,21,18,30,17,50,27,59
2023-01-27,4,0,44,24,21,31,15,58,26,61
2023-01-28,4,2,54,19,19,36,22,68,25,66
2023-01-29,4,0,50,26,21,36,19,71,27,71
2023-01-30,5,0,43,20,17,29,18,51,25,57
2023-01-31,5,2,45,21,16,25,18,48,25,56
2023-02-01,3,3,40,18,17,27,15,50,26,60
2023-02-02,6,0,44,19,18,29,15,55,28,61
2023-02-03,4,0,47,20,21,28,19,56,30,64
2023-02-04,5,0,57,18,20,38,21,73,26,63
2023-02-05,4,0,50,22,22,36,20,74,33,68
2023-02-06,6,0,40,23,19,29,15,48,24,58
2023-02-07,5,2,38,17,18,29,14,50,23,59
2023-02-08,5,0,40,18,20,28,17,54,25,59
2023-02-09,4,2,42,18,20,28,16,51,25,62
2023-02-10,5,2,53,19,21,32,16,60,25,66
2023-02-11,3,0,56,18,24,34,18,68,26,66
2023-02-12,0,0,51,20,25,37,19,74,30,64
2023-02-13,4,3,40,19,16,26,15,49,24,58
2023-02-14,4,0,47,15,19,31,17,59,26,56
2023-02-15,4,0,44,20,22,27,19,55,24,56
2023-02-16,4,3,47,17,20,31,16,52,28,58
2023-02-17,4,2,48,18,23,29,17,60,24,58
2023-02-18,4,0,57,19,24,36,19,72,34,59
2023-02-19,3,0,52,17,23,35,17,73,29,62
2023-02-20,5,0,45,21,19,30,17,51,25,62
2023-02-21,7,0,45,17,22,31,17,51,25,60
2023-02-22,6,3,43,22,20,31,16,50,24,62
2023-02-23,5,2,43,21,22,26,19,54,30,64
2023-02-24,6,0,51,21,22,35,19,61,32,65
2023-02-25,5,0,51,19,22,36,15,70,36,70
2023-02-26,3,2,55,23,25,38,21,69,37,65
2023-02-27,6,0,45,19,21,32,15,56,29,66
2023-02-28,4,0,45,23,22,27,16,55,33,65
2023-03-01,4,2,50,21,22,27,18,58,31,61
2023-03-02,5,2,45,25,21,31,16,54,31,64
2023-03-03,5,2,51,20,20,34,16,58,34,67
2023-03-04,0,0,54,25,22,33,19,69,34,70
2023-03-05,3,0,52,23,22,37,19,70,36,69
2023-03-06,4,0,45,21,18,28,18,52,28,60
2023-03-07,5,0,43,19,25,28,16,56,26,63
2023-03-08,5,0,43,23,21,28,16,52,25,62
2023-03-09,4,0,46,24,20,28,19,53,28,64
2023-03-10,4,2,51,22,23,30,20,59,35,68
2023-03-11,2,0,51,20,26,37,24,74,34,67
2023-03-12,4,2,55,20,27,34,25,74,32,64
2023-03-13,4,0,45,20,20,32,20,59,28,58
2023-03-14,5,0,51,22,19,30,15,55,27,58
2023-03-15,4,0,44,19,22,31,17,56,30,60
2023-03-16,5,0,48,21,20,29,17,63,30,60
2023-03-17,5,2,52,20,23,32,21,56,31,65
2023-03-18,3,0,62,20,23,33,17,71,37,74
2023-03-19,3,0,63,22,28,44,26,84,36,71
2023-03-20,3,2,53,23,24,51,21,68,34,75
2023-03-21,4,2,58,25,26,53,19,77,38,78
2023-03-22,5,0,54,22,21,37,15,57,30,66
2023-03-23,5,0,53,24,21,35,21,61,28,68
2023-03-24,5,3,53,22,21,36,24,63,29,72
2023-03-25,6,0,68,29,28,43,24,92,39,87
2023-03-26,4,0,69,28,23,47,24,86,37,81
2023-03-27,6,0,57,20,23,34,24,69,33,80
2023-03-28,6,0,58,25,23,39,21,74,37,91
2023-03-29,4,0,62,26,20,36,22,70,32,82
2023-03-30,6,0,63,24,21,36,24,68,35,80
2023-03-31,3,2,58,22,23,38,23,73,40,87
2023-04-01,5,0,63,28,19,42,22,76,34,86
2023-04-02,4,0,64,26,21,43,23,83,38,77
2023-04-03,4,0,52,26,20,33,20,70,32,74
2023-04-04,6,0,53,19,18,28,24,67,34,73
2023-04-05,4,0,57,22,17,36,31,67,30,76
2023-04-06,6,0,54,18,20,37,33,76,34,69
2023-04-07,4,0,64,19,16,41,27,87,37,75
2023-04-08,3,0,57,20,19,36,30,78,29,71
2023-04-09,3,0,63,22,21,39,26,82,34,75
2023-04-10,6,0,62,25,22,35,29,77,32,84
2023-04-11,5,2,48,23,21,31,26,64,32,78
2023-04-12,5,0,52,22,19,31,26,60,31,81
2023-04-13,5,3,52,22,19,31,23,60,24,72
2023-04-14,4,0,55,21,16,31,28,65,25,78
2023-04-15,4,0,63,22,17,35,29,80,31,79
2023-04-16,4,0,69,21,20,41,30,87,33,86
2023-04-17,6,0,53,19,17,33,28,64,23,72
2023-04-18,5,0,53,22,18,32,24,64,26,68
2023-04-19,5,0,51,23,15,31,26,61,27,70
2023-04-20,5,2,54,23,18,34,32,69,24,81
2023-04-21,4,0,58,22,19,32,27,69,27,82
2023-04-22,5,0,66,23,19,40,32,79,38,85
2023-04-23,5,0,64,21,21,43,28,81,36,83
2023-04-24,5,0,57,23,19,32,26,62,31,81
2023-04-25,5,0,53,24,18,33,28,63,31,81
