date,Sales,Black friday,Sneakers,Online Shopping,Shein,Adidas,Puma,Nike,sportscene,clothing
2020-01-02,8,5,39,22,0,21,7,34,17,30
2020-01-03,11,6,39,19,0,20,9,32,17,33
2020-01-04,10,7,45,21,0,17,9,36,19,32
2020-01-05,7,0,43,16,0,19,8,38,15,31
2020-01-06,12,5,33,14,0,17,6,27,13,34
2020-01-07,10,4,26,16,0,15,6,32,14,27
2020-01-08,8,5,37,16,0,18,8,30,13,29
2020-01-09,11,5,42,11,0,21,6,31,13,34
2020-01-10,10,0,37,15,0,17,8,32,11,33
2020-01-11,8,5,48,16,0,21,9,34,14,35
2020-01-12,8,0,43,15,0,21,8,44,15,33
2020-01-13,14,3,37,17,0,18,7,29,11,33
2020-01-14,9,0,28,15,0,16,8,25,13,33
2020-01-15,9,5,28,17,0,14,4,24,9,29
2020-01-16,15,0,38,16,0,20,5,24,11,35
2020-01-17,11,5,39,15,0,24,8,26,10,32
2020-01-18,10,5,52,21,0,50,9,36,15,35
2020-01-19,7,0,48,22,0,30,9,42,12,32
2020-01-20,14,0,38,17,0,25,7,28,14,33
2020-01-21,14,4,44,14,0,17,9,26,14,30
2020-01-22,13,6,48,14,0,22,8,29,14,32
2020-01-23,11,4,40,18,0,21,6,29,14,35
2020-01-24,11,0,41,19,0,21,8,33,16,31
2020-01-25,11,0,45,20,0,27,10,43,18,39
2020-01-26,11,5,46,18,0,25,8,43,18,38
2020-01-27,7,0,39,16,0,21,8,32,13,33
2020-01-28,11,0,35,20,0,19,7,29,12,35
2020-01-29,10,6,42,17,0,22,9,29,13,36
2020-01-30,9,4,42,14,0,19,9,26,13,38
2020-01-31,11,0,45,21,0,18,10,28,15,35
2020-02-01,10,5,45,25,4,20,7,41,14,39
2020-02-02,0,0,44,25,0,23,9,42,17,36
2020-02-03,14,0,39,20,5,18,7,29,12,31
2020-02-04,10,0,36,19,4,18,10,30,17,27
2020-02-05,10,0,39,20,0,16,8,27,15,34
2020-02-06,12,0,42,22,6,20,7,29,15,35
2020-02-07,11,0,42,23,0,20,7,29,12,32
2020-02-08,9,5,56,20,0,24,10,45,18,38
2020-02-09,6,0,48,24,5,21,7,41,19,33
2020-02-10,9,0,37,19,5,14,11,29,13,37
2020-02-11,9,6,47,24,5,16,9,30,16,35
2020-02-12,9,4,43,23,5,18,7,31,16,35
2020-02-13,11,4,42,24,6,17,7,32,16,39
2020-02-14,6,0,45,16,4,16,9,30,15,33
2020-02-15,10,6,46,14,0,21,12,41,18,34
2020-02-16,8,6,57,23,6,20,7,48,17,33
2020-02-17,8,0,37,15,5,16,8,30,13,31
2020-02-18,9,3,45,19,4,18,10,28,14,34
2020-02-19,12,5,38,20,0,17,11,27,13,37
2020-02-20,13,3,44,19,4,18,9,35,18,37
2020-02-21,9,0,46,23,0,18,8,31,18,36
2020-02-22,8,0,48,21,0,21,9,43,20,36
2020-02-23,8,5,52,24,5,20,9,45,18,39
2020-02-24,9,5,37,25,6,19,9,28,16,37
2020-02-25,9,0,41,26,6,20,10,27,18,42
2020-02-26,7,0,43,24,8,21,9,34,16,35
2020-02-27,11,0,50,22,6,20,10,33,18,37
2020-02-28,10,4,53,24,0,20,10,36,19,36
2020-02-29,7,5,50,22,0,24,12,38,18,36
2020-03-01,11,0,48,24,6,23,12,45,20,39
2020-03-02,10,0,45,23,0,18,10,32,17,37
2020-03-03,9,0,40,24,4,18,8,30,19,37
2020-03-04,7,4,45,19,0,18,9,31,15,37
2020-03-05,10,0,41,20,0,18,10,30,14,34
2020-03-06,8,0,46,21,0,18,10,27,17,35
2020-03-07,5,0,44,18,0,22,9,41,19,33
2020-03-08,9,0,44,27,0,22,11,45,19,40
2020-03-09,11,0,40,20,6,17,9,30,17,32
2020-03-10,9,4,38,23,0,15,8,26,14,33
2020-03-11,9,0,35,17,0,17,9,27,14,31
2020-03-12,9,0,43,17,4,15,8,28,14,37
2020-03-13,11,0,48,13,0,17,10,32,18,35
2020-03-14,9,0,44,18,0,19,10,40,18,36
2020-03-15,6,0,50,27,4,18,10,38,16,34
2020-03-16,8,0,29,37,4,13,8,25,10,24
2020-03-17,8,0,36,31,0,13,7,27,14,28
2020-03-18,12,0,38,30,4,15,8,30,13,32
2020-03-19,9,4,33,26,0,15,7,25,14,27
2020-03-20,7,4,35,33,0,16,9,30,16,27
2020-03-21,9,0,45,30,0,20,12,36,17,28
2020-03-22,6,0,41,36,4,18,7,40,17,30
2020-03-23,8,3,28,51,0,11,6,24,13,24
2020-03-24,9,0,30,57,0,11,6,21,9,20
2020-03-25,10,0,28,42,0,12,5,23,12,23
2020-03-26,24,0,21,36,0,10,6,22,8,19
2020-03-27,9,0,30,49,0,10,7,21,10,20
2020-03-28,0,4,31,88,0,10,7,26,12,17
2020-03-29,15,0,35,72,0,10,9,28,9,22
2020-03-30,20,0,28,78,0,10,7,22,8,16
2020-03-31,14,4,34,78,0,11,6,26,11,20
2020-04-01,15,0,41,61,0,9,9,25,13,22
2020-04-02,19,0,36,61,0,13,7,27,12,26
2020-04-03,16,0,34,52,0,12,10,28,12,26
2020-04-04,19,0,39,50,0,14,10,32,12,29
2020-04-05,19,0,37,42,0,13,7,34,10,23
2020-04-06,17,0,28,40,0,9,8,25,10,23
2020-04-07,14,0,28,32,0,12,7,25,12,27
2020-04-08,14,0,29,31,0,12,5,22,10,25
2020-04-09,17,0,29,32,0,11,6,22,12,25
2020-04-10,19,0,33,36,0,11,6,21,9,31
2020-04-11,13,0,34,29,0,12,6,25,11,28
2020-04-12,16,0,39,32,0,12,10,29,10,30
2020-04-13,23,0,38,32,0,16,8,26,10,36
2020-04-14,19,0,29,36,0,10,7,22,8,26
2020-04-15,20,0,28,32,0,10,6,22,8,26
2020-04-16,17,5,32,34,0,11,5,21,12,26
2020-04-17,20,0,37,26,0,12,5,26,11,26
2020-04-18,10,0,35,25,0,13,9,28,9,32
2020-04-19,9,0,39,30,0,15,7,29,10,29
2020-04-20,11,0,31,33,0,11,6,25,10,23
2020-04-21,9,4,22,26,5,12,5,22,7,24
2020-04-22,8,0,30,34,0,12,6,23,9,29
2020-04-23,9,0,28,29,0,13,5,21,9,27
2020-04-24,12,0,31,36,0,13,8,23,12,30
2020-04-25,10,0,39,43,0,15,8,27,13,38
2020-04-26,9,0,41,39,0,13,9,34,13,39
2020-04-27,6,0,37,35,0,15,8,28,13,38
2020-04-28,11,0,33,45,0,11,6,29,13,40
2020-04-29,45,0,31,48,0,11,6,26,13,46
2020-04-30,36,0,31,66,0,12,7,29,15,61
2020-05-01,32,4,45,87,0,18,8,38,31,100
2020-05-02,18,0,51,91,0,19,11,44,32,81
2020-05-03,19,0,58,76,0,18,9,44,28,68
2020-05-04,31,0,44,68,0,20,8,35,22,52
2020-05-05,22,0,58,73,0,19,10,39,26,52
2020-05-06,25,0,43,66,0,22,10,40,22,59
2020-05-07,22,0,43,62,0,18,9,33,24,54
2020-05-08,15,0,50,65,0,20,9,39,23,46
2020-05-09,16,0,51,61,0,22,12,42,23,53
