date,Lottostar (Pty) Ltd,Daily Lotto,DIY kits,art supplies
2024-01-10,0,93,0,0
2024-01-11,0,80,0,0
2024-01-12,0,89,0,0
2024-01-13,0,97,0,0
2024-01-14,0,80,0,0
2024-01-15,0,77,0,0
2024-01-16,0,81,0,0
2024-01-17,0,81,0,0
2024-01-18,0,77,0,0
2024-01-19,0,77,0,0
2024-01-20,0,91,0,0
2024-01-21,0,81,0,0
2024-01-22,0,63,0,0
2024-01-23,0,65,0,0
2024-01-24,0,71,0,0
2024-01-25,0,77,0,0
2024-01-26,0,82,0,0
2024-01-27,0,90,0,0
2024-01-28,0,75,0,0
2024-01-29,0,68,0,0
2024-01-30,0,65,0,0
2024-01-31,0,72,0,0
2024-02-01,0,71,0,0
2024-02-02,0,77,0,0
2024-02-03,0,82,0,0
2024-02-04,0,71,0,0
2024-02-05,0,68,0,0
2024-02-06,0,74,0,0
2024-02-07,0,75,0,0
2024-02-08,0,75,0,0
2024-02-09,0,70,0,0
2024-02-10,0,85,0,0
2024-02-11,0,71,0,0
2024-02-12,0,62,0,0
2024-02-13,0,70,0,0
2024-02-14,0,74,0,0
2024-02-15,0,71,0,0
2024-02-16,0,76,0,0
2024-02-17,0,78,0,0
2024-02-18,0,74,0,0
2024-02-19,0,64,0,0
2024-02-20,0,63,0,0
2024-02-21,0,64,0,0
2024-02-22,0,66,0,0
2024-02-23,0,81,0,0
2024-02-24,0,83,0,0
2024-02-25,0,77,0,0
2024-02-26,0,64,0,0
2024-02-27,0,75,0,0
2024-02-28,0,71,0,0
2024-02-29,0,80,0,0
2024-03-01,0,88,0,0
2024-03-02,0,82,0,0
2024-03-03,0,69,0,0
2024-03-04,0,66,0,0
2024-03-05,0,69,0,0
2024-03-06,0,73,0,0
2024-03-07,0,75,0,0
2024-03-08,0,82,0,0
2024-03-09,0,77,0,0
2024-03-10,0,68,0,0
2024-03-11,0,67,0,0
2024-03-12,0,74,0,0
2024-03-13,0,73,0,0
2024-03-14,0,73,0,0
2024-03-15,0,79,0,0
2024-03-16,0,89,0,0
2024-03-17,0,71,0,0
2024-03-18,0,63,0,0
2024-03-19,0,77,0,0
2024-03-20,0,83,0,0
2024-03-21,0,75,0,0
2024-03-22,0,74,0,0
2024-03-23,0,84,0,0
2024-03-24,0,79,0,0
2024-03-25,0,66,0,0
2024-03-26,0,81,0,0
2024-03-27,0,81,0,0
2024-03-28,0,80,0,0
2024-03-29,0,85,0,0
2024-03-30,0,84,0,0
2024-03-31,0,79,0,0
2024-04-01,0,74,0,0
2024-04-02,0,69,0,0
2024-04-03,0,73,0,0
2024-04-04,0,74,0,0
2024-04-05,0,80,0,0
2024-04-06,0,78,0,0
2024-04-07,0,74,0,0
2024-04-08,0,67,0,0
2024-04-09,0,69,0,0
2024-04-10,0,79,0,0
2024-04-11,0,83,0,0
2024-04-12,0,77,0,0
2024-04-13,0,84,0,0
2024-04-14,0,75,0,0
2024-04-15,0,68,0,0
2024-04-16,0,70,0,0
2024-04-17,0,73,0,0
2024-04-18,0,72,0,0
2024-04-19,0,80,0,0
2024-04-20,0,81,0,0
2024-04-21,0,66,0,0
2024-04-22,0,70,0,0
2024-04-23,0,68,0,0
2024-04-24,0,71,0,0
2024-04-25,0,70,0,0
2024-04-26,0,79,0,0
2024-04-27,0,87,0,0
2024-04-28,0,76,0,0
2024-04-29,0,69,0,0
2024-04-30,0,81,0,0
2024-05-01,0,86,0,0
2024-05-02,0,77,0,0
2024-05-03,0,85,0,0
2024-05-04,0,90,0,0
2024-05-05,0,82,0,0
2024-05-06,0,86,0,0
2024-05-07,0,87,0,0
2024-05-08,0,79,0,0
2024-05-09,0,83,0,0
2024-05-10,0,80,0,0
2024-05-11,0,86,0,0
2024-05-12,0,79,0,0
2024-05-13,0,68,0,0
2024-05-14,0,72,0,0
2024-05-15,0,76,0,0
2024-05-16,0,81,0,0
2024-05-17,0,81,0,0
2024-05-18,0,81,0,0
2024-05-19,0,69,0,0
2024-05-20,0,71,0,0
2024-05-21,0,74,0,0
2024-05-22,0,81,0,0
2024-05-23,0,75,0,0
2024-05-24,0,75,0,0
2024-05-25,0,90,0,0
2024-05-26,0,84,0,0
2024-05-27,0,76,0,0
2024-05-28,0,83,0,0
2024-05-29,0,87,0,0
2024-05-30,0,72,0,0
2024-05-31,0,80,0,0
2024-06-01,0,81,0,0
2024-06-02,0,85,0,0
2024-06-03,0,76,0,0
2024-06-04,0,84,0,0
2024-06-05,0,88,0,0
2024-06-06,0,88,0,0
2024-06-07,0,84,0,0
2024-06-08,0,92,0,0
2024-06-09,0,95,0,0
2024-06-10,0,71,0,0
2024-06-11,0,74,0,0
2024-06-12,0,89,0,0
2024-06-13,0,80,0,0
2024-06-14,0,81,0,0
2024-06-15,0,90,0,0
2024-06-16,0,89,0,0
2024-06-17,0,77,0,0
2024-06-18,0,68,0,0
2024-06-19,0,73,0,0
2024-06-20,0,73,0,0
2024-06-21,0,79,0,0
2024-06-22,0,95,0,0
2024-06-23,0,91,0,0
2024-06-24,0,72,0,0
2024-06-25,0,75,0,0
2024-06-26,0,82,0,0
2024-06-27,0,91,0,0
2024-06-28,0,93,0,0
2024-06-29,0,100,0,0
2024-06-30,0,88,0,0
2024-07-01,0,74,0,0
2024-07-02,0,83,0,0
2024-07-03,0,91,0,0
2024-07-04,0,85,0,0
2024-07-05,0,94,0,0
2024-07-06,0,98,0,0
2024-07-07,0,90,0,0
2024-07-08,0,76,0,0
2024-07-09,0,81,0,0
2024-07-10,0,75,0,0
