date,Lottostar (Pty) Ltd,Daily Lotto,DIY kits,art supplies
2019-07-01,0,72,0,0
2019-07-02,0,83,0,0
2019-07-03,0,93,0,0
2019-07-04,0,98,0,0
2019-07-05,0,92,0,0
2019-07-06,0,91,0,0
2019-07-07,0,83,0,0
2019-07-08,0,73,0,0
2019-07-09,0,78,0,0
2019-07-10,0,84,0,3
2019-07-11,0,87,0,0
2019-07-12,0,85,0,0
2019-07-13,0,100,0,0
2019-07-14,0,76,0,0
2019-07-15,0,61,0,0
2019-07-16,0,73,0,0
2019-07-17,0,83,0,0
2019-07-18,0,86,0,0
2019-07-19,0,83,0,0
2019-07-20,0,97,0,0
2019-07-21,0,83,0,0
2019-07-22,0,66,0,0
2019-07-23,0,76,0,0
2019-07-24,0,74,0,0
2019-07-25,0,75,0,0
2019-07-26,0,84,0,2
2019-07-27,0,88,0,0
2019-07-28,0,83,0,0
2019-07-29,0,70,0,0
2019-07-30,0,76,2,0
2019-07-31,0,81,0,0
2019-08-01,0,82,0,0
2019-08-02,0,93,0,0
2019-08-03,0,93,0,0
2019-08-04,0,82,0,0
2019-08-05,0,73,0,0
2019-08-06,0,87,0,0
2019-08-07,0,85,0,0
2019-08-08,0,85,0,0
2019-08-09,0,92,0,0
2019-08-10,0,82,0,0
2019-08-11,0,73,0,0
2019-08-12,0,69,0,0
2019-08-13,0,77,0,0
2019-08-14,0,82,0,0
2019-08-15,0,77,0,0
2019-08-16,0,86,0,0
2019-08-17,0,99,0,0
2019-08-18,0,77,0,0
2019-08-19,0,71,0,0
2019-08-20,0,81,0,0
2019-08-21,0,78,0,0
2019-08-22,0,74,0,0
2019-08-23,0,78,0,0
2019-08-24,0,91,0,0
2019-08-25,0,77,0,0
2019-08-26,0,67,0,0
2019-08-27,0,77,0,0
2019-08-28,0,77,0,0
2019-08-29,0,75,0,0
2019-08-30,0,81,0,0
2019-08-31,0,91,0,0
2019-09-01,0,75,0,0
2019-09-02,0,68,0,0
2019-09-03,0,90,0,0
2019-09-04,0,83,0,0
2019-09-05,0,79,0,0
2019-09-06,0,82,0,0
2019-09-07,0,94,0,0
2019-09-08,0,80,0,0
2019-09-09,0,74,0,0
2019-09-10,0,78,0,0
2019-09-11,0,78,0,0
2019-09-12,0,80,0,0
2019-09-13,0,84,0,0
2019-09-14,0,87,0,0
2019-09-15,0,83,0,0
2019-09-16,0,71,0,0
2019-09-17,0,81,0,0
2019-09-18,0,79,0,0
