date,Lottostar (Pty) Ltd,Daily Lotto,DIY kits,art supplies
2023-01-08,0,76,0,0
2023-01-09,0,68,0,0
2023-01-10,0,72,0,0
2023-01-11,0,74,0,0
2023-01-12,0,70,0,0
2023-01-13,0,79,0,0
2023-01-14,0,84,0,0
2023-01-15,0,81,0,0
2023-01-16,0,66,0,0
2023-01-17,0,69,0,0
2023-01-18,0,78,0,0
2023-01-19,0,70,0,0
2023-01-20,0,71,0,0
2023-01-21,0,76,0,0
2023-01-22,0,67,0,0
2023-01-23,0,56,0,0
2023-01-24,0,54,0,0
2023-01-25,0,56,0,0
2023-01-26,0,62,0,0
2023-01-27,0,65,0,0
2023-01-28,0,77,0,0
2023-01-29,0,59,0,0
2023-01-30,0,54,0,0
2023-01-31,0,64,0,0
2023-02-01,0,62,0,0
2023-02-02,0,58,0,0
2023-02-03,0,62,0,0
2023-02-04,0,75,0,0
2023-02-05,0,65,0,0
2023-02-06,0,62,0,0
2023-02-07,0,58,0,0
2023-02-08,0,61,0,0
2023-02-09,0,67,0,0
2023-02-10,0,60,0,0
2023-02-11,0,71,0,0
2023-02-12,0,55,0,0
2023-02-13,0,51,0,0
2023-02-14,0,56,0,0
2023-02-15,0,72,0,0
2023-02-16,0,68,0,0
2023-02-17,0,75,0,0
2023-02-18,0,84,0,0
2023-02-19,0,76,0,0
2023-02-20,0,62,0,0
2023-02-21,0,68,0,0
2023-02-22,0,66,0,0
2023-02-23,0,69,0,0
2023-02-24,0,74,0,0
2023-02-25,0,77,0,0
2023-02-26,0,68,0,0
2023-02-27,0,70,0,0
2023-02-28,0,65,0,0
2023-03-01,0,68,0,0
2023-03-02,0,69,0,0
2023-03-03,0,77,0,0
2023-03-04,0,79,0,0
2023-03-05,0,75,0,0
2023-03-06,0,67,0,0
2023-03-07,0,70,0,0
2023-03-08,0,78,0,0
2023-03-09,0,72,0,0
2023-03-10,0,77,0,0
2023-03-11,0,79,0,0
2023-03-12,0,67,0,0
2023-03-13,0,63,0,0
2023-03-14,0,68,0,0
2023-03-15,0,79,0,0
2023-03-16,0,80,0,0
2023-03-17,0,74,0,0
2023-03-18,0,77,0,0
2023-03-19,0,72,0,0
2023-03-20,0,65,0,0
2023-03-21,0,72,0,0
2023-03-22,0,69,0,0
2023-03-23,0,66,0,0
2023-03-24,0,71,0,0
2023-03-25,0,82,0,0
2023-03-26,0,82,0,0
2023-03-27,0,71,0,0
2023-03-28,0,82,0,0
2023-03-29,0,89,0,0
2023-03-30,0,88,0,0
2023-03-31,0,88,0,0
2023-04-01,0,81,0,0
2023-04-02,0,77,0,0
2023-04-03,0,68,0,0
2023-04-04,0,78,0,0
2023-04-05,0,89,0,0
2023-04-06,0,80,0,0
2023-04-07,0,82,0,0
2023-04-08,0,75,0,0
2023-04-09,0,72,0,0
2023-04-10,0,68,0,0
2023-04-11,0,69,0,0
2023-04-12,0,72,0,2
2023-04-13,0,73,0,0
2023-04-14,0,76,0,0
2023-04-15,0,78,0,0
2023-04-16,0,74,0,0
2023-04-17,0,65,0,0
2023-04-18,0,79,0,0
2023-04-19,0,72,0,0
2023-04-20,0,70,0,0
2023-04-21,0,69,0,0
2023-04-22,0,72,0,0
2023-04-23,0,69,0,0
2023-04-24,0,63,0,0
2023-04-25,0,67,0,0
2023-04-26,0,77,0,0
2023-04-27,0,75,0,0
2023-04-28,0,75,0,0
2023-04-29,0,77,0,0
2023-04-30,0,74,0,0
2023-05-01,0,64,0,0
2023-05-02,0,66,0,0
2023-05-03,0,67,0,0
2023-05-04,0,80,0,0
2023-05-05,0,84,0,0
2023-05-06,0,77,0,0
2023-05-07,0,70,0,0
2023-05-08,0,62,0,0
2023-05-09,0,71,0,0
2023-05-10,0,75,0,0
2023-05-11,0,70,0,0
2023-05-12,0,79,0,0
2023-05-13,0,77,0,0
2023-05-14,0,67,0,0
2023-05-15,0,59,0,0
2023-05-16,0,68,0,0
2023-05-17,0,70,2,0
2023-05-18,0,65,0,0
2023-05-19,0,73,0,0
2023-05-20,0,78,0,0
2023-05-21,0,65,0,0
2023-05-22,0,62,0,0
2023-05-23,0,65,0,0
2023-05-24,0,71,0,0
2023-05-25,0,75,0,0
2023-05-26,0,70,0,0
2023-05-27,0,85,0,0
2023-05-28,0,74,0,0
2023-05-29,0,67,0,0
2023-05-30,0,66,0,0
2023-05-31,0,73,0,0
2023-06-01,0,84,0,0
2023-06-02,0,81,0,0
2023-06-03,0,85,0,0
2023-06-04,0,79,0,0
2023-06-05,0,69,0,0
2023-06-06,0,79,0,0
2023-06-07,0,82,0,0
2023-06-08,0,85,0,0
2023-06-09,0,84,0,0
2023-06-10,0,85,0,0
2023-06-11,0,75,0,0
2023-06-12,0,65,0,0
2023-06-13,0,79,0,0
2023-06-14,0,84,0,0
2023-06-15,0,74,0,0
2023-06-16,0,78,0,0
2023-06-17,0,80,0,0
2023-06-18,0,75,0,0
2023-06-19,0,68,0,0
2023-06-20,0,69,0,0
2023-06-21,0,71,0,0
2023-06-22,0,75,0,0
2023-06-23,0,70,2,0
2023-06-24,0,91,0,0
2023-06-25,0,89,0,0
2023-06-26,0,69,0,0
2023-06-27,0,78,0,0
2023-06-28,0,83,0,0
2023-06-29,0,83,0,0
2023-06-30,0,78,0,0
2023-07-01,0,83,0,0
2023-07-02,0,89,0,0
2023-07-03,0,81,0,0
2023-07-04,0,84,0,0
2023-07-05,0,92,0,0
2023-07-06,0,92,0,0
2023-07-07,0,91,0,0
2023-07-08,0,100,0,0
