date,Kaizer Chiefs,Orlando Pirates,Sundowns,Premier League,Soccer Laduma,FIFA World Cup,Gambling,Tickets,Arsenal Store,Football
2023-07-09,6,2,2,2,2,1,0,4,0,10
2023-07-10,7,3,2,2,2,1,0,3,0,7
2023-07-11,6,3,2,2,2,1,0,2,0,8
2023-07-12,8,3,2,2,2,1,0,2,0,8
2023-07-13,8,7,2,2,2,1,0,3,0,8
2023-07-14,6,4,3,2,2,1,0,3,0,9
2023-07-15,6,5,2,2,1,1,0,3,0,9
2023-07-16,6,4,2,2,2,1,0,4,0,10
2023-07-17,6,3,2,2,2,1,0,2,0,8
2023-07-18,7,3,2,1,2,1,0,2,0,7
2023-07-19,6,4,2,2,2,2,0,3,0,8
2023-07-20,6,3,2,1,2,10,0,3,0,8
2023-07-21,7,2,2,2,2,8,0,3,0,10
2023-07-22,16,2,3,3,2,12,0,3,0,13
2023-07-23,8,2,4,3,1,14,0,3,0,14
2023-07-24,6,2,3,2,2,10,0,2,0,11
2023-07-25,7,3,3,1,2,7,0,3,0,8
2023-07-26,8,3,2,1,2,7,0,4,0,9
2023-07-27,6,3,2,2,2,11,0,4,0,9
2023-07-28,6,3,3,2,1,15,0,6,0,11
2023-07-29,14,3,2,2,2,13,0,6,0,11
2023-07-30,6,2,2,3,1,13,0,4,0,12
2023-07-31,6,2,2,2,2,12,0,3,0,9
2023-08-01,7,2,3,2,2,12,0,3,0,11
2023-08-02,7,2,2,2,2,35,0,4,0,100
2023-08-03,7,3,3,2,2,19,0,3,0,15
2023-08-04,7,3,27,4,2,8,0,4,0,10
2023-08-05,9,26,9,6,2,15,0,5,0,15
2023-08-06,40,10,3,6,2,20,0,3,0,17
2023-08-07,9,3,3,3,1,14,0,2,0,12
2023-08-08,9,26,4,4,2,11,0,3,0,11
2023-08-09,54,10,60,7,2,5,0,3,0,10
2023-08-10,8,3,5,6,1,4,0,2,0,10
2023-08-11,6,3,4,19,1,9,0,3,0,13
2023-08-12,9,37,37,35,2,13,0,3,0,18
2023-08-13,60,9,6,26,2,4,0,3,0,15
2023-08-14,9,4,4,12,1,4,0,2,0,11
2023-08-15,8,32,30,10,2,7,0,2,0,11
2023-08-16,9,8,6,6,1,9,0,2,0,10
2023-08-17,6,2,3,5,1,3,0,2,0,9
2023-08-18,6,4,3,11,1,3,0,2,0,9
2023-08-19,8,18,27,37,1,6,0,2,0,15
2023-08-20,47,5,8,25,1,13,0,2,0,17
2023-08-21,8,4,3,11,1,2,0,3,0,9
2023-08-22,6,5,3,7,1,1,0,2,0,9
2023-08-23,7,3,14,6,1,1,0,2,0,8
2023-08-24,5,3,4,4,1,1,0,2,0,7
2023-08-25,5,15,3,10,1,0,0,3,0,9
2023-08-26,55,8,5,36,1,1,0,4,0,13
2023-08-27,12,4,4,31,1,0,0,3,0,14
2023-08-28,6,3,3,9,1,0,0,3,0,8
2023-08-29,6,27,4,7,2,0,0,3,0,9
2023-08-30,24,9,15,7,1,0,0,4,0,9
2023-08-31,10,3,5,5,1,0,0,3,0,9
2023-09-01,7,3,5,9,1,0,0,4,0,11
2023-09-02,86,5,100,32,1,0,0,6,0,14
2023-09-03,9,49,9,33,1,0,0,3,0,14
2023-09-04,5,5,4,8,1,0,0,2,0,10
2023-09-05,5,3,3,4,1,1,0,2,0,10
2023-09-06,5,2,3,3,1,0,0,2,0,9
2023-09-07,4,2,2,3,1,1,0,2,0,12
2023-09-08,4,2,3,3,1,1,0,3,0,14
2023-09-09,5,2,3,5,1,1,0,3,0,17
2023-09-10,5,3,2,3,1,1,0,3,0,12
2023-09-11,5,2,2,2,1,0,0,2,0,10
2023-09-12,4,2,2,2,1,0,0,2,0,14
2023-09-13,4,2,2,3,1,0,0,2,0,10
2023-09-14,4,2,3,4,1,0,0,2,0,7
2023-09-15,5,4,12,6,1,0,0,3,0,8
2023-09-16,41,6,5,38,1,0,0,3,0,15
2023-09-17,8,19,3,25,1,0,0,2,0,13
2023-09-18,5,5,3,8,1,0,0,3,0,7
2023-09-19,6,4,4,6,1,0,0,3,0,9
2023-09-20,37,33,47,6,2,0,0,4,0,10
2023-09-21,12,6,10,4,1,0,0,2,0,8
2023-09-22,7,3,5,7,1,0,0,4,0,8
2023-09-23,66,5,75,27,2,1,0,3,0,12
2023-09-24,7,44,8,30,1,0,0,4,0,13
2023-09-25,5,4,4,9,1,0,0,4,0,9
2023-09-26,6,3,4,7,1,0,0,3,0,8
2023-09-27,36,4,20,7,1,0,0,4,0,9
2023-09-28,13,4,7,6,1,0,0,5,0,8
2023-09-29,6,17,5,7,1,0,0,6,0,8
2023-09-30,7,7,13,45,1,0,0,4,0,13
2023-10-01,6,4,5,17,1,1,0,3,0,11
2023-10-02,6,3,3,9,1,0,0,2,0,7
2023-10-03,35,3,3,7,1,1,0,2,0,8
2023-10-04,10,3,3,6,1,1,0,2,0,9
2023-10-05,3,2,3,5,1,1,0,2,0,9
2023-10-06,3,3,4,7,1,1,0,3,0,8
2023-10-07,5,60,98,29,1,0,0,3,0,14
2023-10-08,4,9,14,33,1,1,0,2,0,13
2023-10-09,4,3,4,8,1,0,0,2,0,9
2023-10-10,3,3,3,4,1,0,0,2,0,10
2023-10-11,3,2,2,3,1,0,0,2,0,8
2023-10-12,3,2,2,2,1,1,0,1,0,11
2023-10-13,3,2,2,3,1,1,0,2,0,16
2023-10-14,4,2,2,5,1,0,0,2,0,15
2023-10-15,3,2,3,4,1,1,0,3,0,13
2023-10-16,3,2,2,3,1,1,0,3,0,11
2023-10-17,3,2,2,2,1,1,0,2,0,13
2023-10-18,4,2,54,3,1,1,0,2,0,10
2023-10-19,4,3,17,4,1,0,0,2,0,7
2023-10-20,4,28,4,6,1,1,0,3,0,10
2023-10-21,49,7,19,40,1,1,0,4,0,18
2023-10-22,9,3,5,18,1,1,0,4,0,14
2023-10-23,9,3,3,8,1,0,0,3,0,9
2023-10-24,6,22,25,6,1,0,0,3,0,13
2023-10-25,5,6,6,4,1,0,0,4,0,11
2023-10-26,4,2,3,4,1,0,0,4,0,10
2023-10-27,4,19,3,10,1,1,0,3,0,8
2023-10-28,39,5,6,23,1,1,0,5,0,14
2023-10-29,5,2,28,28,1,1,0,3,0,17
2023-10-30,4,2,4,7,1,1,0,2,0,9
2023-10-31,4,2,4,4,1,1,0,2,0,10
2023-11-01,4,27,28,5,1,1,0,3,0,16
2023-11-02,4,6,11,5,1,1,0,3,0,11
2023-11-03,4,2,4,7,1,1,0,3,0,8
2023-11-04,5,31,6,29,1,0,0,3,0,14
2023-11-05,4,4,25,23,1,0,0,2,0,16
2023-11-06,4,2,10,11,1,1,0,2,0,9
2023-11-07,4,19,4,10,1,0,0,3,0,10
2023-11-08,37,6,4,6,1,0,0,3,0,9
2023-11-09,11,2,4,4,1,0,0,3,0,8
2023-11-10,5,3,3,6,1,0,0,4,0,8
2023-11-11,63,55,7,32,1,0,0,5,0,15
2023-11-12,5,5,66,33,1,1,0,3,0,27
2023-11-13,4,2,8,9,1,1,0,2,0,11
2023-11-14,3,2,4,4,1,1,0,2,0,10
2023-11-15,3,2,6,3,1,1,0,2,0,11
2023-11-16,4,1,3,2,1,2,0,2,0,13
2023-11-17,4,1,2,4,1,2,0,3,0,13
2023-11-18,5,2,3,5,1,3,0,3,0,17
2023-11-19,3,1,7,4,1,3,0,2,0,15
2023-11-20,4,1,3,3,1,2,0,2,0,11
2023-11-21,4,1,2,2,1,3,0,3,0,12
2023-11-22,4,2,2,3,1,2,0,2,0,9
2023-11-23,3,2,2,4,1,1,0,3,0,6
2023-11-24,3,1,3,5,1,1,0,4,0,7
2023-11-25,6,18,5,37,1,1,0,3,0,14
2023-11-26,39,3,20,26,1,1,0,3,0,11
2023-11-27,6,2,4,9,1,0,0,3,0,7
2023-11-28,4,2,3,5,1,1,0,3,0,8
2023-11-29,4,1,21,4,1,0,0,3,0,8
2023-11-30,3,1,6,4,1,0,0,3,0,8
2023-12-01,3,1,3,6,1,0,0,3,0,8
2023-12-02,4,2,28,31,1,1,0,4,0,13
2023-12-03,4,1,5,39,1,1,0,3,0,13
2023-12-04,3,1,3,11,1,0,0,4,0,8
2023-12-05,4,20,3,14,1,0,0,3,0,11
2023-12-06,4,6,22,24,1,0,0,3,0,10
2023-12-07,4,1,5,22,1,0,0,4,0,9
2023-12-08,4,2,3,14,1,0,0,4,0,8
2023-12-09,18,18,5,43,1,0,0,6,0,14
2023-12-10,5,6,19,33,1,1,0,4,0,12
2023-12-11,3,2,4,9,1,1,0,3,0,7
2023-12-12,3,2,3,5,1,1,0,4,0,9
2023-12-13,3,2,19,5,1,1,0,3,0,8
2023-12-14,3,1,5,5,1,0,0,3,0,7
2023-12-15,3,2,3,12,1,2,0,5,0,8
2023-12-16,4,2,4,32,1,1,0,5,0,11
2023-12-17,4,24,5,39,1,1,0,4,0,13
2023-12-18,3,4,3,11,1,2,0,3,0,7
2023-12-19,3,2,25,6,1,3,0,3,0,7
2023-12-20,3,2,5,5,1,1,0,4,0,8
2023-12-21,3,1,2,8,1,1,0,4,0,9
2023-12-22,4,2,3,11,1,3,0,4,0,8
2023-12-23,17,27,4,37,1,2,0,5,0,12
2023-12-24,6,5,34,21,1,1,0,4,0,10
2023-12-25,3,2,5,10,1,0,0,3,0,8
2023-12-26,3,2,3,34,1,1,0,4,0,14
2023-12-27,3,1,19,27,1,1,0,4,0,10
2023-12-28,3,2,5,25,1,0,0,5,0,10
2023-12-29,4,25,3,19,1,0,0,4,0,10
2023-12-30,32,8,16,37,1,0,0,5,0,13
2023-12-31,7,1,3,29,1,0,0,4,0,10
2024-01-01,3,2,2,22,1,1,0,4,0,11
2024-01-02,3,1,2,16,1,0,0,3,0,10
2024-01-03,3,1,2,9,1,0,0,3,0,8
2024-01-04,3,1,1,6,1,0,0,3,0,8
2024-01-05,3,1,1,6,1,0,0,3,0,9
2024-01-06,4,2,1,8,1,0,0,4,0,12
2024-01-07,3,1,1,8,1,1,0,3,0,12
2024-01-08,2,1,1,4,1,0,0,3,0,8
2024-01-09,2,1,1,4,1,0,0,3,0,10
