date,Kaizer Chiefs,Orlando Pirates,Sundowns,Premier League,Soccer Laduma,FIFA World Cup,Gambling,Tickets,Arsenal Store,Football
2021-01-04,5,2,2,12,2,0,0,4,0,48
2021-01-05,20,3,7,12,2,0,0,4,0,45
2021-01-06,9,2,3,6,2,0,0,3,0,58
2021-01-07,4,2,2,6,2,0,0,0,0,47
2021-01-08,6,2,2,6,2,0,0,3,0,50
2021-01-09,28,3,16,10,2,0,0,5,0,59
2021-01-10,7,20,3,8,2,0,0,0,0,58
2021-01-11,3,4,2,5,1,0,0,0,0,44
2021-01-12,5,2,2,14,2,0,0,3,0,58
2021-01-13,37,18,2,21,2,0,0,2,0,56
2021-01-14,6,3,2,11,2,0,0,0,0,46
2021-01-15,5,2,2,9,2,0,0,3,0,44
2021-01-16,38,4,19,24,2,0,0,0,0,68
2021-01-17,8,27,3,35,2,0,0,0,0,71
2021-01-18,5,3,2,14,2,0,0,3,0,47
2021-01-19,38,3,17,16,2,2,0,3,0,47
2021-01-20,9,19,4,20,2,0,0,4,0,56
2021-01-21,4,3,2,18,2,0,0,3,0,54
2021-01-22,4,3,2,13,1,0,0,3,0,47
2021-01-23,21,22,24,14,2,0,0,4,0,61
2021-01-24,4,3,3,11,1,0,0,3,0,68
2021-01-25,3,2,2,7,1,0,0,3,0,46
2021-01-26,16,21,2,15,2,0,0,0,0,52
2021-01-27,4,4,20,22,2,0,0,2,0,54
2021-01-28,3,2,4,19,2,0,0,0,0,46
2021-01-29,5,4,2,14,1,3,0,2,0,49
2021-01-30,50,44,3,27,2,4,0,3,0,72
2021-01-31,6,6,22,30,2,0,0,0,0,63
2021-02-01,3,3,2,11,1,0,0,3,0,45
2021-02-02,5,22,2,19,2,0,0,2,0,54
2021-02-03,4,5,12,23,1,2,0,3,0,48
2021-02-04,4,2,3,17,2,14,0,3,0,47
2021-02-05,3,2,2,12,1,12,0,3,0,42
2021-02-06,5,19,2,26,2,3,0,4,0,67
2021-02-07,21,4,2,30,2,7,0,0,0,68
2021-02-08,4,2,2,10,2,29,0,0,0,44
2021-02-09,4,21,2,9,2,7,0,4,0,51
2021-02-10,4,5,2,7,1,3,0,3,0,52
2021-02-11,4,2,2,6,2,12,0,4,0,43
2021-02-12,5,2,2,8,1,8,0,3,0,38
2021-02-13,8,4,11,29,2,4,0,3,0,66
2021-02-14,5,11,5,27,2,3,0,4,0,59
2021-02-15,4,4,2,12,1,0,0,3,0,36
2021-02-16,7,2,2,9,2,0,0,0,0,46
2021-02-17,36,2,16,12,2,3,0,0,0,50
2021-02-18,6,2,3,8,2,0,0,2,0,47
2021-02-19,4,2,2,8,1,0,0,0,0,40
2021-02-20,32,3,3,26,2,0,0,3,0,64
2021-02-21,5,10,2,29,2,0,0,0,0,66
2021-02-22,4,3,2,10,1,0,0,3,0,37
2021-02-23,20,3,2,8,2,0,0,0,0,41
2021-02-24,8,14,2,7,2,0,0,3,0,43
2021-02-25,3,3,1,4,1,0,0,4,0,40
2021-02-26,3,2,2,5,1,3,0,4,0,38
2021-02-27,7,23,4,21,1,0,0,3,0,55
2021-02-28,36,4,23,26,2,0,0,4,0,63
2021-03-01,7,2,3,11,2,0,0,4,0,37
2021-03-02,5,17,3,12,2,0,0,3,0,39
2021-03-03,4,4,3,13,2,0,0,5,0,46
2021-03-04,4,2,2,16,2,0,0,4,0,42
2021-03-05,4,2,3,12,1,0,0,3,0,39
2021-03-06,37,21,23,21,2,0,0,6,0,54
2021-03-07,11,3,5,29,2,0,0,0,0,65
2021-03-08,5,2,3,15,1,0,0,5,0,41
2021-03-09,6,3,3,8,1,0,0,3,0,41
2021-03-10,29,16,12,10,2,0,0,3,0,47
2021-03-11,6,7,3,7,1,0,0,4,0,48
2021-03-12,4,2,3,8,2,0,0,4,0,40
2021-03-13,5,3,14,24,2,0,0,3,0,59
2021-03-14,4,3,4,27,1,0,0,4,0,54
2021-03-15,4,3,4,11,1,0,0,3,0,41
2021-03-16,24,3,22,7,2,0,0,4,0,45
2021-03-17,6,24,5,4,2,0,0,3,0,37
2021-03-18,4,5,2,5,1,0,0,2,0,44
2021-03-19,4,3,2,7,2,0,0,4,0,48
2021-03-20,8,6,3,13,1,0,0,0,0,63
2021-03-21,50,36,20,18,2,0,0,0,0,73
2021-03-22,6,3,5,8,1,0,0,4,0,46
2021-03-23,4,2,2,4,1,0,0,4,0,47
2021-03-24,4,1,2,2,1,7,0,5,0,60
2021-03-25,3,1,1,2,2,9,0,4,0,73
2021-03-26,3,1,1,2,1,7,0,5,0,48
2021-03-27,4,1,2,3,1,11,0,3,0,74
2021-03-28,3,1,1,2,2,15,0,4,0,80
2021-03-29,3,1,1,2,1,6,0,4,0,45
2021-03-30,3,1,1,2,1,9,0,4,0,46
2021-03-31,3,1,2,2,2,8,0,4,0,49
2021-04-01,4,2,2,3,2,4,0,6,0,44
2021-04-02,6,2,19,6,2,4,0,5,0,47
2021-04-03,48,4,5,24,2,0,0,5,0,69
2021-04-04,12,22,2,25,2,0,0,7,0,66
2021-04-05,6,8,2,12,2,0,0,5,0,49
2021-04-06,14,2,19,7,1,0,0,6,0,46
2021-04-07,5,3,4,4,2,0,0,2,0,48
2021-04-08,4,2,3,4,2,0,0,4,0,41
2021-04-09,6,2,20,7,1,0,0,4,0,44
2021-04-10,43,5,4,25,2,0,0,4,0,70
2021-04-11,20,28,3,24,2,0,0,4,0,60
2021-04-12,7,7,20,11,2,0,0,0,0,39
2021-04-13,5,2,4,5,2,0,0,4,0,46
2021-04-14,6,4,4,4,2,3,0,3,0,47
2021-04-15,16,29,43,6,2,0,0,3,0,46
2021-04-16,5,5,10,8,1,0,0,2,0,41
2021-04-17,4,3,4,19,2,0,0,3,0,64
2021-04-18,5,15,32,23,2,0,0,4,0,68
2021-04-19,4,5,6,12,2,0,0,3,0,70
2021-04-20,5,3,4,11,2,0,0,4,0,57
2021-04-21,25,16,22,14,2,0,0,5,0,57
2021-04-22,6,4,3,10,1,0,0,5,0,43
2021-04-23,4,2,2,10,1,0,0,5,0,43
2021-04-24,7,23,6,23,2,0,0,0,0,65
2021-04-25,52,5,49,22,2,0,0,7,0,70
2021-04-26,9,3,7,9,2,0,0,4,0,43
2021-04-27,7,3,3,9,1,0,0,6,0,44
2021-04-28,35,13,21,9,2,0,0,4,0,47
2021-04-29,6,12,4,5,1,0,0,5,0,44
2021-04-30,5,3,3,9,2,0,0,3,0,40
2021-05-01,38,5,6,22,2,0,0,6,0,61
2021-05-02,6,31,42,26,2,0,0,4,0,86
2021-05-03,5,5,7,10,2,0,0,4,0,40
2021-05-04,43,3,4,8,2,0,0,4,0,49
2021-05-05,7,5,23,7,2,0,0,0,0,46
2021-05-06,4,22,3,7,2,0,0,3,0,47
2021-05-07,4,5,2,9,1,0,0,5,0,40
2021-05-08,5,2,4,26,2,0,0,0,0,61
2021-05-09,5,2,23,25,1,0,0,4,0,67
2021-05-10,5,3,4,12,2,0,0,3,0,45
2021-05-11,7,17,4,18,2,0,0,3,0,51
2021-05-12,29,3,3,17,2,0,0,0,0,49
2021-05-13,7,2,2,16,2,0,0,4,0,47
2021-05-14,8,2,4,15,2,0,0,0,0,48
2021-05-15,62,5,52,18,2,0,0,4,0,70
2021-05-16,12,26,19,22,2,0,0,3,0,63
2021-05-17,6,3,3,10,1,0,0,0,0,40
2021-05-18,6,2,2,18,1,0,0,4,0,51
2021-05-19,7,2,3,20,2,0,0,4,0,54
2021-05-20,6,2,2,11,2,0,0,4,0,46
2021-05-21,9,2,4,7,2,0,0,3,0,41
2021-05-22,68,6,38,11,2,0,0,4,0,60
2021-05-23,12,42,7,34,2,0,0,5,0,73
2021-05-24,7,5,3,8,2,0,0,3,0,43
2021-05-25,7,3,3,4,2,0,0,4,0,42
2021-05-26,36,3,20,7,2,0,0,0,0,55
2021-05-27,8,21,5,5,2,0,0,3,0,47
2021-05-28,10,5,2,4,2,0,0,3,0,45
2021-05-29,10,4,19,7,2,0,0,6,0,80
2021-05-30,7,23,4,5,2,0,0,4,0,58
2021-05-31,9,3,2,2,2,0,0,3,0,46
2021-06-01,10,2,2,2,2,0,0,3,0,49
2021-06-02,46,13,13,7,3,0,0,4,0,65
2021-06-03,14,4,4,3,2,0,0,0,0,64
2021-06-04,9,2,2,2,2,0,0,6,0,58
2021-06-05,42,14,17,8,2,0,0,5,0,60
2021-06-06,11,5,4,3,2,0,0,5,0,72
2021-06-07,8,2,2,2,2,0,0,4,0,49
2021-06-08,8,2,2,1,2,3,0,6,0,52
2021-06-09,9,2,2,1,2,0,0,4,0,56
2021-06-10,8,2,2,1,2,0,0,5,0,55
2021-06-11,7,2,2,1,2,3,0,3,0,65
2021-06-12,7,2,2,2,2,3,0,0,0,100
2021-06-13,6,2,2,2,2,0,0,6,0,93
2021-06-14,8,2,1,1,2,0,0,3,0,72
2021-06-15,7,2,2,1,2,3,0,4,0,76
2021-06-16,7,2,1,3,2,0,0,4,0,77
2021-06-17,7,2,1,3,2,2,0,4,0,63
2021-06-18,10,3,2,2,2,0,0,4,0,69
2021-06-19,70,3,2,2,3,6,0,5,0,96
2021-06-20,26,3,1,2,2,0,0,4,0,69
2021-06-21,10,2,1,2,3,0,0,5,0,60
2021-06-22,8,3,1,2,2,3,0,4,0,60
2021-06-23,7,2,1,1,2,2,0,0,0,69
2021-06-24,7,2,1,1,2,2,0,4,0,57
2021-06-25,10,2,1,2,2,0,0,3,0,41
2021-06-26,100,2,2,2,3,4,0,5,0,66
2021-06-27,18,2,2,3,2,5,0,6,0,77
2021-06-28,9,2,1,1,2,3,0,5,0,77
2021-06-29,7,2,1,1,2,4,0,5,0,76
2021-06-30,8,2,1,2,3,0,0,3,0,51
2021-07-01,12,3,2,2,3,0,0,5,0,45
2021-07-02,12,2,2,2,3,4,0,4,0,68
2021-07-03,9,2,1,2,2,4,0,4,0,81
2021-07-04,8,2,1,3,2,0,0,6,0,59
