date,Clicks,Dischem,Avon,CeraVe,Perfume,Hair,Makeup,Cosmetics,Beauty Salon
2023-07-09,56,29,12,9,55,63,7,2,0
2023-07-10,48,23,17,7,51,53,5,3,0
2023-07-11,50,29,17,8,44,57,5,3,1
2023-07-12,52,25,17,11,52,59,5,3,1
2023-07-13,59,33,18,7,55,65,6,4,2
2023-07-14,54,27,19,12,67,66,6,3,0
2023-07-15,58,30,14,13,62,72,5,3,0
2023-07-16,58,28,15,8,56,80,7,4,0
2023-07-17,56,30,22,7,57,74,6,3,1
2023-07-18,48,27,18,7,54,58,5,3,1
2023-07-19,50,26,18,8,47,58,5,2,2
2023-07-20,45,23,22,11,52,49,6,3,1
2023-07-21,49,23,19,11,58,57,5,4,1
2023-07-22,58,30,12,10,63,67,6,4,0
2023-07-23,59,31,13,9,64,70,6,4,0
2023-07-24,62,30,20,14,47,55,5,3,2
2023-07-25,65,35,20,8,62,56,6,3,1
2023-07-26,60,34,22,12,54,57,5,5,2
2023-07-27,58,28,20,8,59,63,5,2,1
2023-07-28,56,28,18,8,63,62,4,3,1
2023-07-29,61,35,13,12,59,71,6,4,1
2023-07-30,59,34,17,13,59,67,5,3,0
2023-07-31,56,27,30,7,52,53,6,3,0
2023-08-01,59,25,25,10,55,51,6,3,1
2023-08-02,53,29,20,12,51,52,5,3,2
2023-08-03,59,28,15,15,55,58,5,2,1
2023-08-04,57,24,12,10,53,64,5,3,1
2023-08-05,53,32,10,10,53,70,5,4,2
2023-08-06,51,28,12,8,60,61,6,2,2
2023-08-07,50,29,12,10,44,54,5,3,1
2023-08-08,49,19,15,7,52,53,6,2,1
2023-08-09,56,29,12,9,55,62,5,3,0
2023-08-10,54,27,18,7,52,55,5,3,0
2023-08-11,61,24,18,10,47,60,6,3,1
2023-08-12,60,26,12,11,53,68,5,4,0
2023-08-13,67,32,12,10,50,61,6,3,1
2023-08-14,60,28,20,10,51,54,5,2,0
2023-08-15,50,24,18,6,56,52,5,4,1
2023-08-16,50,22,21,6,57,54,6,3,1
2023-08-17,53,25,21,9,54,58,5,2,1
2023-08-18,52,25,18,10,61,60,4,3,1
2023-08-19,58,28,13,12,54,67,6,3,1
2023-08-20,65,30,11,10,52,64,6,3,1
2023-08-21,52,26,27,7,62,55,4,3,2
2023-08-22,50,24,18,11,55,55,5,2,0
2023-08-23,54,30,17,11,63,54,6,3,2
2023-08-24,49,28,19,12,52,58,4,3,2
2023-08-25,60,25,22,10,64,65,6,3,0
2023-08-26,62,30,17,10,56,70,6,2,1
