date,Clicks,Dischem,Avon,CeraVe,Perfume,Hair,Makeup,Cosmetics,Beauty Salon
2020-01-02,47,29,30,0,35,75,8,2,2
2020-01-03,46,24,29,0,41,78,9,2,2
2020-01-04,44,29,18,9,37,74,8,2,0
2020-01-05,54,24,21,0,39,69,9,2,0
2020-01-06,45,27,31,0,31,64,8,1,1
2020-01-07,37,25,37,0,30,65,8,1,2
2020-01-08,45,25,32,0,36,62,8,2,1
2020-01-09,40,22,36,0,28,66,8,3,0
2020-01-10,42,28,37,0,35,71,8,2,2
2020-01-11,48,25,15,0,31,77,8,2,2
2020-01-12,40,24,19,0,38,74,9,2,0
2020-01-13,44,23,30,0,37,66,8,2,1
2020-01-14,36,27,22,0,38,69,8,2,1
2020-01-15,31,20,31,0,33,59,7,2,2
2020-01-16,40,23,26,0,37,54,7,3,1
2020-01-17,40,21,28,0,31,63,10,1,1
2020-01-18,43,24,27,0,34,68,10,0,0
2020-01-19,42,24,18,0,35,60,11,3,0
2020-01-20,32,20,34,0,34,52,7,2,1
2020-01-21,37,20,36,0,37,59,7,3,1
2020-01-22,36,24,31,0,32,59,9,3,1
2020-01-23,36,21,35,0,44,55,8,2,2
2020-01-24,49,30,30,0,45,67,9,3,2
2020-01-25,49,24,24,0,41,74,11,3,0
2020-01-26,61,28,13,0,39,66,8,2,0
2020-01-27,37,31,33,0,31,57,7,2,0
2020-01-28,45,19,47,0,43,61,9,3,1
2020-01-29,45,26,34,0,42,61,8,3,1
2020-01-30,44,28,32,0,37,65,8,2,1
2020-01-31,39,21,38,0,36,64,10,3,2
2020-02-01,38,24,27,0,36,76,8,2,1
2020-02-02,46,36,23,0,33,75,9,0,2
2020-02-03,40,17,48,0,29,61,8,2,1
2020-02-04,42,24,41,0,39,52,6,2,2
2020-02-05,34,21,37,0,32,58,7,2,1
2020-02-06,40,30,37,0,46,61,8,2,0
2020-02-07,49,27,40,0,33,64,8,3,2
2020-02-08,45,29,23,0,38,71,9,3,0
2020-02-09,49,28,15,0,37,71,10,2,0
2020-02-10,48,26,43,0,45,53,8,2,1
2020-02-11,44,23,40,0,42,60,8,2,2
2020-02-12,39,29,38,0,50,56,8,2,2
2020-02-13,42,24,33,0,53,58,9,3,2
2020-02-14,51,27,32,0,65,53,8,2,1
2020-02-15,51,22,22,0,51,69,10,2,2
2020-02-16,44,29,21,0,39,68,10,2,2
2020-02-17,40,24,44,0,33,57,8,2,0
2020-02-18,46,23,35,0,41,56,8,2,1
2020-02-19,46,23,33,0,42,59,9,2,1
2020-02-20,39,26,34,0,38,57,8,2,1
2020-02-21,37,26,38,0,44,63,8,2,0
2020-02-22,39,38,25,0,41,77,9,3,0
2020-02-23,51,30,22,0,38,74,10,2,0
2020-02-24,53,28,41,0,44,61,8,2,1
2020-02-25,46,31,42,0,48,60,9,3,1
2020-02-26,58,37,44,0,48,60,8,3,1
2020-02-27,38,29,39,0,45,66,9,3,2
2020-02-28,42,38,41,0,45,69,8,3,1
2020-02-29,48,34,41,0,48,70,11,2,0
2020-03-01,54,31,23,0,35,68,10,2,0
2020-03-02,42,27,50,0,39,57,8,2,1
2020-03-03,38,23,35,0,43,62,9,3,1
2020-03-04,46,25,41,0,38,60,8,3,0
2020-03-05,41,21,33,0,41,60,8,2,0
2020-03-06,44,25,35,0,43,63,7,3,0
2020-03-07,47,25,22,0,41,70,8,3,2
2020-03-08,44,24,19,0,41,70,9,3,0
2020-03-09,45,26,45,0,30,58,9,2,2
2020-03-10,40,22,45,0,30,51,9,1,0
2020-03-11,40,27,36,0,41,50,7,2,0
2020-03-12,40,33,38,0,37,48,6,3,1
2020-03-13,35,22,26,0,29,54,7,2,2
2020-03-14,40,25,21,0,36,74,10,2,0
2020-03-15,41,30,22,0,36,57,8,2,0
2020-03-16,35,26,35,0,31,44,7,2,0
2020-03-17,38,23,40,0,29,45,6,1,0
2020-03-18,30,21,37,0,25,52,7,1,0
2020-03-19,41,22,38,0,31,55,7,2,1
2020-03-20,42,23,38,0,28,61,6,2,1
2020-03-21,47,27,21,0,37,73,8,0,2
2020-03-22,42,21,22,0,26,56,7,0,0
2020-03-23,36,19,36,0,23,38,5,1,0
2020-03-24,37,24,39,0,27,47,5,0,0
2020-03-25,38,28,26,0,22,44,6,1,0
2020-03-26,42,13,25,0,15,43,6,2,0
2020-03-27,35,14,17,0,22,43,6,0,0
2020-03-28,26,14,15,0,17,48,6,2,0
2020-03-29,35,21,11,0,14,53,8,1,0
2020-03-30,32,18,22,0,14,52,8,1,0
2020-03-31,36,20,24,0,14,50,8,1,0
2020-04-01,37,14,27,0,17,59,7,1,0
2020-04-02,41,21,19,0,16,54,9,2,0
2020-04-03,44,19,25,0,19,55,7,2,0
2020-04-04,50,29,18,0,19,65,9,2,0
2020-04-05,41,21,20,0,18,68,10,2,0
2020-04-06,48,26,17,0,13,65,10,1,0
2020-04-07,48,25,20,0,16,66,9,0,0
2020-04-08,44,22,15,0,19,64,10,0,0
2020-04-09,43,18,16,0,17,54,7,2,0
2020-04-10,48,20,17,0,18,65,10,2,0
