date,Clicks,Dischem,Avon,CeraVe,Perfume,Hair,Makeup,Cosmetics,Beauty Salon
2022-07-07,59,29,22,5,46,60,6,3,1
2022-07-08,46,18,17,5,53,60,7,3,0
2022-07-09,63,25,21,7,47,71,8,4,0
2022-07-10,50,24,20,6,48,68,8,2,0
2022-07-11,54,24,23,8,51,59,7,3,0
2022-07-12,59,25,18,6,52,58,6,3,1
2022-07-13,53,26,21,4,49,58,6,3,1
2022-07-14,53,28,16,5,52,65,7,3,1
2022-07-15,58,28,16,6,50,68,8,4,1
2022-07-16,66,28,22,5,60,76,7,2,1
2022-07-17,60,32,15,6,59,75,7,2,1
2022-07-18,55,29,25,7,51,71,7,3,1
2022-07-19,49,26,26,8,54,58,5,3,1
2022-07-20,49,25,23,4,53,52,7,3,1
2022-07-21,56,26,25,7,49,57,6,3,1
2022-07-22,54,31,22,7,53,58,6,3,0
2022-07-23,68,29,18,7,62,66,8,3,0
2022-07-24,61,30,21,11,59,65,7,3,1
2022-07-25,57,26,26,5,56,56,6,2,2
2022-07-26,58,25,32,10,62,62,5,3,0
2022-07-27,59,28,26,7,60,57,5,3,1
2022-07-28,66,30,28,4,57,57,6,3,1
2022-07-29,65,31,31,8,55,59,7,3,2
2022-07-30,63,30,25,8,62,75,7,4,0
2022-07-31,63,29,24,7,55,66,8,3,0
2022-08-01,48,29,33,7,55,52,5,3,1
2022-08-02,54,22,21,8,50,53,5,2,2
2022-08-03,50,22,28,8,56,52,6,3,2
2022-08-04,45,21,21,8,51,57,6,3,2
2022-08-05,49,23,18,7,47,61,5,2,1
2022-08-06,55,24,13,11,46,63,7,3,1
2022-08-07,55,25,17,11,49,61,6,3,0
2022-08-08,53,24,22,12,49,63,5,2,0
2022-08-09,54,28,17,9,51,65,5,3,1
2022-08-10,50,21,18,4,48,50,4,3,1
2022-08-11,51,22,21,6,49,55,7,3,1
2022-08-12,47,28,23,8,57,58,7,3,1
2022-08-13,52,22,15,10,49,57,7,2,2
2022-08-14,50,25,16,5,51,64,7,2,0
2022-08-15,43,19,24,6,52,49,4,2,1
2022-08-16,46,22,23,8,51,50,6,3,2
2022-08-17,51,24,18,7,48,51,6,3,1
2022-08-18,47,22,20,8,53,53,5,2,1
2022-08-19,56,25,22,8,57,56,6,3,1
2022-08-20,56,29,13,10,52,68,7,2,0
2022-08-21,62,35,17,9,57,61,7,2,0
2022-08-22,55,24,21,7,47,55,6,3,1
2022-08-23,55,31,20,7,47,56,6,2,1
2022-08-24,62,33,20,9,54,59,6,2,1
2022-08-25,69,29,26,8,54,61,5,3,1
2022-08-26,67,36,18,10,56,67,7,3,1
2022-08-27,64,34,23,9,51,71,7,3,1
2022-08-28,64,38,11,13,64,68,6,2,0
2022-08-29,56,30,24,5,53,55,6,3,1
2022-08-30,51,35,39,8,53,52,6,3,1
2022-08-31,61,38,34,11,53,53,5,3,1
2022-09-01,55,40,26,8,68,54,6,3,1
2022-09-02,60,32,19,7,61,62,7,3,2
2022-09-03,50,29,9,7,55,60,7,2,0
2022-09-04,62,29,15,8,57,62,7,3,1
2022-09-05,48,29,25,7,49,57,5,2,1
2022-09-06,52,25,21,7,49,55,5,3,1
2022-09-07,45,26,17,4,51,52,6,3,1
2022-09-08,49,29,18,5,44,55,6,2,1
2022-09-09,44,23,19,8,40,59,6,2,1
2022-09-10,48,26,15,7,57,66,9,2,1
2022-09-11,51,28,10,9,45,60,6,2,1
2022-09-12,48,23,23,5,48,50,6,2,1
2022-09-13,43,22,20,4,51,49,6,2,1
2022-09-14,44,23,22,4,59,53,6,3,1
2022-09-15,56,22,22,5,54,52,6,2,1
2022-09-16,54,24,23,10,59,58,7,3,2
2022-09-17,52,28,16,7,60,65,8,3,1
2022-09-18,59,23,14,8,57,61,6,2,0
2022-09-19,48,23,22,4,46,52,5,3,0
2022-09-20,52,28,19,5,52,56,7,3,1
2022-09-21,49,24,18,8,50,58,7,2,1
2022-09-22,53,22,22,6,49,59,8,2,2
2022-09-23,60,26,17,8,58,62,9,3,1
2022-09-24,58,24,18,6,57,71,9,3,0
2022-09-25,58,32,16,7,58,66,6,3,1
2022-09-26,57,23,23,8,52,61,6,3,1
2022-09-27,58,30,22,6,58,61,7,2,2
2022-09-28,63,29,22,10,55,65,6,4,1
2022-09-29,59,29,30,6,64,67,8,3,2
2022-09-30,54,28,31,4,58,67,7,3,2
2022-10-01,67,25,21,5,52,70,8,2,0
2022-10-02,62,31,18,5,50,64,8,2,0
2022-10-03,56,25,26,8,53,60,5,2,1
2022-10-04,51,20,24,9,57,58,6,3,2
2022-10-05,54,25,18,6,58,60,6,3,2
2022-10-06,61,24,23,6,49,63,6,3,1
2022-10-07,51,24,19,7,48,71,6,3,2
2022-10-08,57,27,12,8,52,72,8,3,1
2022-10-09,56,23,13,7,56,70,6,3,0
2022-10-10,55,22,20,6,54,68,5,2,1
2022-10-11,53,26,23,6,53,51,5,3,1
2022-10-12,54,27,24,6,55,53,6,2,1
2022-10-13,50,26,15,3,58,52,6,2,1
2022-10-14,49,19,21,5,58,56,7,3,1
2022-10-15,52,26,14,5,55,65,8,3,1
2022-10-16,54,25,12,8,53,59,6,2,0
2022-10-17,49,24,25,6,49,48,6,3,1
2022-10-18,50,19,21,6,51,52,6,3,0
2022-10-19,46,21,23,7,49,49,6,2,1
2022-10-20,47,24,23,4,53,54,7,3,1
2022-10-21,61,19,25,4,56,59,7,2,2
2022-10-22,48,24,13,6,56,61,7,3,0
2022-10-23,64,25,19,7,64,62,6,2,0
2022-10-24,51,24,23,6,52,55,7,3,1
2022-10-25,52,32,25,8,54,60,6,3,1
2022-10-26,56,31,27,5,53,60,7,2,1
2022-10-27,59,25,25,4,60,59,8,3,1
2022-10-28,60,24,28,8,63,63,9,2,0
2022-10-29,56,21,16,5,51,70,12,2,0
2022-10-30,59,27,18,4,51,71,7,2,1
2022-10-31,52,25,35,5,58,57,7,2,1
2022-11-01,48,22,34,6,52,54,5,3,1
2022-11-02,52,24,23,5,66,53,4,2,1
2022-11-03,50,20,25,8,61,55,5,3,1
2022-11-04,58,29,24,6,68,65,8,3,1
2022-11-05,58,27,15,5,64,71,9,3,1
2022-11-06,53,23,13,5,59,64,5,2,1
2022-11-07,46,24,24,4,58,58,5,3,0
2022-11-08,50,24,23,6,55,56,5,4,1
2022-11-09,54,26,18,0,54,56,6,3,0
2022-11-10,52,24,21,6,52,58,6,3,2
2022-11-11,55,20,22,5,58,63,7,4,0
2022-11-12,54,19,14,0,60,63,7,3,1
2022-11-13,55,24,18,8,64,61,8,3,1
2022-11-14,54,25,24,5,62,61,5,3,1
2022-11-15,58,26,27,5,63,64,6,3,1
2022-11-16,53,28,25,4,67,64,6,2,1
2022-11-17,56,27,29,5,66,65,7,3,0
2022-11-18,53,27,26,10,66,68,6,3,0
2022-11-19,68,24,13,5,67,75,7,2,0
2022-11-20,49,29,15,9,65,70,7,2,2
