date,Clicks,Dischem,Avon,CeraVe,Perfume,Hair,Makeup,Cosmetics,Beauty Salon
2021-01-04,76,40,37,0,41,76,8,3,2
2021-01-05,80,40,32,0,55,78,8,3,0
2021-01-06,84,29,31,0,45,73,8,3,0
2021-01-07,68,39,33,0,54,73,10,2,0
2021-01-08,70,37,36,0,51,81,9,3,2
2021-01-09,78,33,27,0,47,88,8,2,0
2021-01-10,69,44,23,0,55,84,9,3,0
2021-01-11,67,33,28,0,40,67,7,3,0
2021-01-12,69,41,35,0,54,75,7,2,0
2021-01-13,70,37,35,0,51,76,8,3,0
2021-01-14,64,38,42,0,53,75,9,3,2
2021-01-15,85,32,31,0,44,82,9,2,0
2021-01-16,76,39,33,0,49,84,10,3,0
2021-01-17,81,36,26,0,43,82,9,2,0
2021-01-18,66,34,30,0,44,75,8,3,0
2021-01-19,61,39,35,0,46,69,8,4,2
2021-01-20,69,31,38,0,45,76,9,3,0
2021-01-21,67,30,39,0,45,79,7,2,0
2021-01-22,70,38,40,0,51,82,8,3,1
2021-01-23,69,31,23,0,48,90,9,2,0
2021-01-24,61,48,20,0,50,80,10,3,0
2021-01-25,74,39,37,0,52,74,8,4,0
2021-01-26,64,36,41,0,51,78,8,2,1
2021-01-27,66,40,43,0,49,80,9,3,2
2021-01-28,74,39,39,0,47,82,8,2,0
2021-01-29,80,44,45,0,55,84,10,3,0
2021-01-30,77,37,30,0,60,88,11,3,2
2021-01-31,76,43,35,0,61,90,6,3,0
2021-02-01,63,32,49,0,54,74,8,2,0
2021-02-02,62,31,48,0,58,73,8,3,0
2021-02-03,65,35,43,6,52,74,7,4,1
2021-02-04,70,31,31,0,53,82,7,4,1
2021-02-05,74,31,37,0,62,81,8,4,0
2021-02-06,69,49,28,0,54,89,11,3,0
2021-02-07,60,37,16,0,56,92,8,3,0
2021-02-08,69,31,43,0,57,79,10,4,0
2021-02-09,69,30,41,0,55,80,7,4,0
2021-02-10,72,33,40,0,60,80,6,4,2
2021-02-11,64,28,42,0,77,76,9,2,2
2021-02-12,72,35,34,0,70,91,8,3,2
2021-02-13,79,36,17,0,71,87,10,3,0
2021-02-14,63,39,21,0,78,84,10,3,0
2021-02-15,61,21,37,6,62,74,6,4,0
2021-02-16,54,34,35,0,53,70,6,2,2
2021-02-17,56,33,31,0,42,69,7,3,0
2021-02-18,53,35,35,0,56,69,7,3,2
2021-02-19,62,42,30,0,55,79,8,2,0
2021-02-20,73,39,31,0,56,83,8,2,0
2021-02-21,70,36,22,0,44,83,8,3,0
2021-02-22,56,44,38,0,51,67,7,1,0
2021-02-23,52,31,38,0,45,68,7,2,0
2021-02-24,63,34,32,0,48,67,8,2,0
2021-02-25,64,38,42,0,65,80,8,3,2
2021-02-26,69,47,48,0,51,81,8,3,0
2021-02-27,72,35,26,0,65,90,9,4,2
2021-02-28,69,39,43,0,49,83,7,3,0
2021-03-01,74,37,51,0,46,72,7,3,1
2021-03-02,65,36,47,0,54,66,7,2,1
2021-03-03,69,30,35,0,44,72,7,3,0
2021-03-04,60,30,40,0,46,73,8,3,1
2021-03-05,63,27,38,0,50,79,9,3,2
2021-03-06,58,34,27,0,52,80,9,3,2
2021-03-07,59,36,14,0,46,80,9,5,2
2021-03-08,61,34,44,0,42,68,8,3,0
2021-03-09,65,39,30,0,45,67,7,3,0
2021-03-10,61,32,38,0,38,63,6,2,1
2021-03-11,56,37,31,0,45,68,8,3,2
2021-03-12,63,31,37,7,49,70,8,3,0
2021-03-13,69,32,27,0,51,79,10,2,0
2021-03-14,55,31,25,0,44,85,10,2,0
2021-03-15,51,30,37,0,46,66,6,3,0
2021-03-16,69,29,40,0,46,67,8,3,2
2021-03-17,53,29,34,6,48,62,5,2,0
