date,Clicks,Dischem,Avon,CeraVe,Perfume,Hair,Makeup,Cosmetics,Beauty Salon
2022-01-06,72,36,27,0,54,70,6,3,3
2022-01-07,65,29,17,0,49,83,9,2,0
2022-01-08,67,38,12,0,72,92,9,4,4
2022-01-09,71,35,16,0,51,91,8,3,2
2022-01-10,69,27,29,0,53,81,7,2,2
2022-01-11,58,35,27,0,55,78,7,3,0
2022-01-12,59,26,26,0,53,70,7,2,0
2022-01-13,62,44,23,0,52,73,6,2,0
2022-01-14,68,30,43,0,50,70,8,3,2
2022-01-15,70,33,22,0,73,95,7,2,2
2022-01-16,87,44,23,0,76,80,11,0,0
2022-01-17,58,25,31,0,55,67,6,3,0
2022-01-18,55,26,28,0,50,65,9,3,2
2022-01-19,56,27,28,0,56,63,8,2,2
2022-01-20,56,30,28,0,55,67,8,3,2
2022-01-21,61,23,24,0,55,70,6,4,0
2022-01-22,68,34,19,0,52,74,10,4,0
2022-01-23,82,36,15,0,58,79,8,3,1
2022-01-24,65,32,31,0,60,69,6,3,0
2022-01-25,69,36,31,0,68,69,7,3,2
2022-01-26,70,34,34,0,63,71,7,3,1
2022-01-27,76,39,28,0,70,80,7,3,2
2022-01-28,73,36,33,0,55,83,9,3,2
2022-01-29,80,43,26,0,59,95,10,3,0
2022-01-30,74,41,21,0,67,87,8,4,0
2022-01-31,58,35,42,0,63,67,7,3,0
2022-02-01,58,37,43,0,52,69,7,4,2
2022-02-02,57,36,32,0,62,66,7,3,2
2022-02-03,57,25,32,0,67,71,7,4,1
2022-02-04,65,32,25,0,59,76,7,4,0
2022-02-05,71,38,26,0,70,82,10,3,2
2022-02-06,69,31,28,0,66,80,6,2,0
2022-02-07,64,31,39,0,61,66,6,2,2
2022-02-08,62,29,26,0,72,65,7,3,2
2022-02-09,65,29,33,0,71,64,7,4,2
2022-02-10,63,27,30,0,70,68,5,4,0
2022-02-11,61,29,22,0,77,73,8,3,2
2022-02-12,75,29,19,0,81,86,10,3,2
2022-02-13,67,31,21,0,81,84,9,3,1
2022-02-14,58,28,22,0,90,58,7,3,1
2022-02-15,59,33,28,0,84,68,7,3,0
2022-02-16,57,27,35,0,69,60,7,4,0
2022-02-17,76,33,31,0,61,70,7,4,2
2022-02-18,72,41,24,5,66,74,7,3,2
2022-02-19,71,38,25,0,67,85,9,3,2
2022-02-20,72,40,19,0,67,83,8,3,1
2022-02-21,58,30,33,0,51,65,6,3,2
2022-02-22,70,36,38,0,71,69,7,4,2
2022-02-23,55,33,29,0,50,63,6,3,1
2022-02-24,61,32,32,0,69,63,7,4,1
2022-02-25,70,40,30,0,65,77,8,4,0
2022-02-26,80,38,24,0,66,91,10,4,1
2022-02-27,75,46,24,0,84,85,7,3,0
2022-02-28,71,42,46,4,68,65,7,3,2
2022-03-01,62,33,40,0,58,70,6,3,2
2022-03-02,62,33,32,0,64,66,6,3,2
2022-03-03,61,38,26,0,66,72,7,3,2
2022-03-04,64,35,24,0,67,77,7,3,1
2022-03-05,79,38,18,0,66,85,9,2,1
2022-03-06,59,28,20,0,69,83,7,3,0
2022-03-07,59,37,30,5,58,65,6,4,1
2022-03-08,52,29,32,0,61,62,7,3,0
2022-03-09,64,31,28,5,56,61,6,3,1
2022-03-10,64,34,29,5,61,69,8,3,2
2022-03-11,68,34,22,6,59,78,8,3,2
2022-03-12,82,40,23,6,75,90,9,4,1
2022-03-13,67,38,19,0,61,81,10,3,1
2022-03-14,64,30,32,5,57,68,7,3,2
2022-03-15,61,28,30,5,56,66,8,3,2
2022-03-16,69,30,28,4,59,71,8,3,2
2022-03-17,75,32,36,0,60,78,7,4,2
2022-03-18,77,31,30,0,67,79,10,2,1
2022-03-19,90,32,26,0,65,91,9,4,0
2022-03-20,70,36,21,0,69,86,11,2,1
2022-03-21,88,44,28,0,66,88,11,4,2
2022-03-22,77,34,33,0,59,83,8,3,2
2022-03-23,76,37,34,0,67,74,10,3,2
2022-03-24,82,45,30,12,64,79,10,3,2
2022-03-25,77,34,34,8,72,84,8,5,1
2022-03-26,100,56,27,5,82,99,12,4,1
2022-03-27,95,51,18,0,81,98,11,3,1
2022-03-28,79,33,41,4,68,81,8,2,1
2022-03-29,85,33,40,4,69,81,11,4,2
2022-03-30,83,42,36,0,73,80,10,3,2
2022-03-31,82,33,43,0,71,91,10,4,2
2022-04-01,78,35,35,6,77,86,9,3,1
2022-04-02,88,40,17,8,66,93,12,3,0
2022-04-03,85,39,18,5,74,89,12,4,1
2022-04-04,78,37,33,0,56,83,9,3,2
2022-04-05,70,32,30,6,67,70,8,4,2
2022-04-06,63,31,24,6,59,66,7,3,1
2022-04-07,65,38,33,0,71,71,8,4,2
2022-04-08,69,33,26,4,58,68,8,3,1
2022-04-09,59,35,18,0,65,76,8,3,1
2022-04-10,67,35,19,6,66,65,8,3,1
2022-04-11,59,24,30,8,60,60,7,2,1
2022-04-12,57,26,21,5,55,62,8,2,0
2022-04-13,60,32,25,8,70,65,8,3,1
2022-04-14,68,35,24,8,57,72,7,3,0
2022-04-15,72,27,21,9,65,79,9,2,0
2022-04-16,66,38,16,10,67,74,10,2,0
2022-04-17,66,37,15,12,79,74,9,3,0
2022-04-18,81,37,18,12,66,84,10,4,0
2022-04-19,64,34,34,11,57,63,9,4,1
2022-04-20,64,39,26,8,55,62,7,4,1
2022-04-21,64,31,23,0,67,69,7,3,2
2022-04-22,72,27,26,13,63,79,9,4,1
2022-04-23,90,36,25,13,78,87,11,5,1
2022-04-24,78,43,21,8,71,84,10,4,2
2022-04-25,64,39,36,7,63,65,8,4,1
2022-04-26,82,41,37,11,72,79,8,4,2
2022-04-27,78,46,27,11,77,84,10,5,2
2022-04-28,80,40,33,8,68,79,9,3,2
2022-04-29,86,36,29,8,67,78,11,3,1
2022-04-30,94,53,28,13,80,100,12,4,2
2022-05-01,92,46,25,12,76,91,11,3,2
2022-05-02,92,40,26,10,69,97,10,2,1
2022-05-03,67,35,35,6,64,68,8,4,1
2022-05-04,65,35,28,0,67,67,8,3,1
2022-05-05,80,41,33,5,73,68,9,2,1
2022-05-06,63,31,23,6,62,70,8,5,1
2022-05-07,80,46,11,8,81,87,11,3,2
2022-05-08,71,35,14,12,82,71,9,3,0
2022-05-09,60,40,27,0,58,65,8,4,1
2022-05-10,62,35,27,9,62,67,9,3,1
2022-05-11,72,35,31,6,52,66,8,3,2
2022-05-12,62,30,28,8,61,68,7,3,2
2022-05-13,57,28,26,6,70,72,9,3,0
2022-05-14,65,30,17,0,72,77,10,4,0
2022-05-15,77,36,23,11,66,75,8,3,0
2022-05-16,62,33,28,5,59,64,9,5,0
2022-05-17,80,32,32,10,70,67,8,3,1
2022-05-18,56,24,33,5,67,63,8,3,1
2022-05-19,69,30,31,5,64,63,8,4,2
2022-05-20,57,30,26,5,68,70,8,3,2
2022-05-21,71,37,25,6,76,79,9,3,0
2022-05-22,59,31,19,6,66,71,7,4,0
2022-05-23,66,36,29,6,61,67,7,4,0
2022-05-24,69,33,34,9,72,68,7,3,1
2022-05-25,79,37,42,10,82,72,7,3,0
2022-05-26,76,35,34,6,74,75,8,5,2
2022-05-27,84,37,31,8,75,83,9,4,1
2022-05-28,80,38,20,11,75,93,9,4,0
2022-05-29,84,35,21,9,81,95,9,4,0
2022-05-30,73,37,31,10,66,68,10,4,1
2022-05-31,80,39,40,0,76,67,7,2,2
2022-06-01,62,33,43,8,79,67,7,4,0
2022-06-02,82,35,30,9,69,73,9,3,2
2022-06-03,78,36,29,8,73,81,7,3,2
2022-06-04,84,41,21,9,78,90,9,4,0
2022-06-05,81,35,18,14,78,85,11,3,0
2022-06-06,66,30,31,8,65,68,6,2,0
2022-06-07,73,38,32,10,60,72,8,3,2
2022-06-08,66,30,36,8,75,70,7,3,2
2022-06-09,72,32,27,9,76,71,8,3,2
2022-06-10,64,34,26,5,75,76,7,3,1
2022-06-11,75,41,20,13,84,87,9,3,0
2022-06-12,81,37,21,9,75,87,9,6,0
2022-06-13,68,29,32,6,63,65,7,3,2
2022-06-14,70,31,30,8,72,72,6,4,0
2022-06-15,60,27,27,6,66,68,8,5,1
2022-06-16,78,36,19,10,80,87,8,3,0
2022-06-17,65,31,30,5,66,78,8,4,0
2022-06-18,77,35,21,0,76,90,10,5,0
2022-06-19,79,35,12,11,68,82,9,2,1
2022-06-20,78,32,37,9,63,69,7,4,0
