date,PS5 games,Powerball,Xbox games,video games,Mobile app,Genshin Impact,Lotto,Game,Betfred
2023-07-09,0,26,1,0,0,0,100,20,3
2023-07-10,0,22,1,0,0,0,59,18,4
2023-07-11,0,47,1,0,0,0,58,16,4
2023-07-12,1,62,1,0,0,1,81,19,5
2023-07-13,0,24,1,0,0,0,87,18,4
2023-07-14,1,52,0,0,0,0,55,17,4
2023-07-15,0,63,1,0,0,0,86,19,5
2023-07-16,0,27,0,0,0,0,95,22,5
2023-07-17,0,20,1,0,0,0,57,17,5
2023-07-18,0,54,0,0,0,0,57,13,4
2023-07-19,0,56,0,0,0,0,71,15,4
2023-07-20,0,22,0,0,0,0,75,13,4
2023-07-21,0,55,1,0,0,1,51,15,4
2023-07-22,0,66,1,0,0,0,80,20,5
2023-07-23,0,24,1,0,0,1,89,18,4
2023-07-24,0,21,0,0,0,1,53,14,5
2023-07-25,0,47,1,0,0,0,58,14,4
2023-07-26,0,58,1,0,0,0,77,15,4
2023-07-27,0,24,0,0,0,0,78,15,3
2023-07-28,0,55,1,0,0,0,51,15,4
2023-07-29,0,63,1,0,0,1,84,18,4
2023-07-30,0,23,1,0,0,1,80,18,4
2023-07-31,0,21,1,0,0,0,57,15,5
2023-08-01,0,51,0,0,0,0,57,14,5
2023-08-02,0,58,1,0,0,0,74,14,4
2023-08-03,0,24,0,0,0,0,81,15,4
2023-08-04,0,57,0,0,0,1,52,17,5
2023-08-05,0,77,1,1,0,1,86,22,5
2023-08-06,0,24,1,0,0,0,89,18,4
2023-08-07,0,24,0,0,0,0,60,14,4
2023-08-08,0,53,0,0,0,1,56,19,4
2023-08-09,0,69,1,1,0,0,71,17,4
2023-08-10,0,31,1,0,0,0,77,16,4
2023-08-11,0,54,1,1,0,0,49,16,4
2023-08-12,0,65,1,0,0,1,79,23,4
2023-08-13,0,23,1,1,1,0,85,18,4
2023-08-14,0,21,1,0,0,0,54,15,5
2023-08-15,0,48,1,0,0,0,51,16,4
2023-08-16,0,70,0,0,0,1,72,14,3
2023-08-17,0,26,0,0,0,1,81,14,4
2023-08-18,0,52,1,0,0,0,52,16,5
2023-08-19,0,67,1,0,1,0,77,22,3
2023-08-20,0,22,1,0,0,1,80,17,4
2023-08-21,0,22,0,0,0,1,55,15,5
2023-08-22,0,45,0,0,0,0,50,14,3
2023-08-23,0,63,0,0,0,1,66,15,3
2023-08-24,0,22,0,0,0,1,70,16,3
2023-08-25,0,51,0,0,0,1,46,17,4
2023-08-26,0,64,1,0,0,0,73,18,5
2023-08-27,1,25,0,0,0,1,87,16,4
2023-08-28,0,22,1,0,0,0,57,15,5
2023-08-29,0,50,1,0,0,0,53,17,4
2023-08-30,0,65,1,0,0,1,75,13,4
2023-08-31,0,23,1,0,0,0,78,14,5
2023-09-01,0,58,0,0,0,1,55,16,5
2023-09-02,0,74,1,0,0,1,82,20,5
2023-09-03,0,24,1,0,0,0,81,22,3
2023-09-04,0,22,1,0,0,0,58,14,5
2023-09-05,0,54,0,0,0,1,60,13,5
2023-09-06,0,74,1,0,0,0,75,14,5
2023-09-07,0,26,0,0,0,0,82,13,4
2023-09-08,0,64,0,0,0,0,55,15,4
2023-09-09,0,78,1,0,0,0,84,18,5
2023-09-10,0,24,1,0,0,0,87,18,3
2023-09-11,0,23,0,0,0,0,58,13,4
2023-09-12,0,49,1,0,0,0,56,14,4
2023-09-13,0,78,0,0,0,1,72,14,4
2023-09-14,0,26,0,0,0,1,80,14,3
2023-09-15,0,57,0,0,0,1,52,16,4
2023-09-16,0,72,1,0,0,1,74,19,4
2023-09-17,0,23,1,0,0,0,81,19,4
2023-09-18,0,24,1,0,0,1,60,13,4
2023-09-19,0,49,0,0,0,0,53,15,4
2023-09-20,0,65,0,0,0,0,64,16,4
2023-09-21,0,25,0,0,0,1,71,17,4
2023-09-22,0,60,1,0,0,0,52,16,4
2023-09-23,0,67,1,0,0,0,76,20,4
2023-09-24,0,25,1,0,0,0,75,26,4
2023-09-25,1,22,1,0,0,0,54,17,4
2023-09-26,0,53,1,0,0,1,53,15,4
2023-09-27,0,66,1,0,0,1,69,16,4
2023-09-28,0,26,1,0,0,1,77,16,4
2023-09-29,0,61,1,0,0,0,53,21,4
2023-09-30,0,79,1,0,0,0,82,18,4
2023-10-01,0,28,1,0,0,1,83,20,4
2023-10-02,0,23,1,0,0,1,57,16,5
2023-10-03,0,62,0,0,0,0,59,16,4
2023-10-04,0,79,1,0,0,0,81,16,5
2023-10-05,0,28,1,0,1,1,85,17,4
2023-10-06,0,72,1,0,0,1,60,17,4
2023-10-07,0,85,0,0,0,0,93,23,5
2023-10-08,0,31,1,0,1,1,87,17,4
2023-10-09,0,27,1,0,0,0,58,15,4
2023-10-10,0,67,1,0,0,0,64,14,5
2023-10-11,0,87,0,0,0,0,82,14,4
2023-10-12,0,31,0,0,0,0,80,14,4
2023-10-13,0,76,1,0,0,1,63,16,4
2023-10-14,0,100,0,0,0,0,89,18,5
2023-10-15,0,29,1,0,0,0,85,16,5
2023-10-16,0,26,0,1,0,0,58,13,5
2023-10-17,0,69,0,0,0,0,58,15,4
2023-10-18,0,99,1,0,0,0,92,13,4
2023-10-19,0,33,0,0,0,0,88,15,4
2023-10-20,0,64,0,0,0,1,53,21,4
2023-10-21,0,69,1,0,0,1,74,17,5
2023-10-22,0,26,0,0,0,0,80,18,5
2023-10-23,0,24,0,0,0,1,55,14,5
2023-10-24,0,50,1,0,0,1,52,15,5
2023-10-25,0,62,0,0,0,0,70,13,5
2023-10-26,0,25,0,0,0,0,78,13,4
2023-10-27,0,54,1,0,0,1,52,18,5
2023-10-28,0,62,0,0,0,0,71,17,5
