date,PS5 games,Powerball,Xbox games,video games,Mobile app,Genshin Impact,Lotto,Game,Betfred
2025-01-12,0,27,1,0,0,1,75,41,9
2025-01-13,0,23,2,0,0,0,50,21,8
2025-01-14,0,49,0,0,0,0,47,21,7
2025-01-15,0,64,0,0,0,0,65,17,8
2025-01-16,0,27,0,0,0,0,73,17,8
2025-01-17,0,64,1,0,0,0,51,21,8
2025-01-18,0,77,0,0,0,0,82,35,9
2025-01-19,0,26,0,1,1,0,76,23,10
2025-01-20,0,23,1,0,0,0,48,18,8
2025-01-21,0,53,0,0,0,0,49,18,8
2025-01-22,0,68,0,0,0,0,60,17,8
2025-01-23,0,30,0,0,0,0,69,20,7
2025-01-24,0,71,0,0,0,0,53,22,8
2025-01-25,0,90,1,0,0,0,88,25,9
2025-01-26,0,35,1,0,0,1,81,33,9
2025-01-27,0,29,1,0,0,0,54,19,10
2025-01-28,0,63,0,0,0,0,57,17,7
2025-01-29,0,67,0,0,0,0,76,17,8
2025-01-30,0,28,0,1,0,0,77,19,8
2025-01-31,0,64,0,1,0,0,52,21,10
2025-02-01,0,71,1,0,1,0,83,41,8
2025-02-02,0,27,1,0,0,1,79,24,9
2025-02-03,0,24,0,0,0,0,57,20,8
2025-02-04,0,53,0,0,0,0,53,18,8
2025-02-05,0,67,0,0,0,0,76,23,8
2025-02-06,0,29,0,0,0,0,80,19,8
2025-02-07,0,63,0,0,0,0,51,21,7
2025-02-08,0,75,1,0,0,0,80,35,9
2025-02-09,0,26,0,0,0,0,79,24,8
2025-02-10,0,23,0,0,1,0,53,17,7
2025-02-11,0,54,0,0,0,0,52,19,7
2025-02-12,0,66,0,0,0,0,69,18,9
2025-02-13,0,29,0,0,0,0,73,17,6
2025-02-14,0,63,1,0,0,0,53,20,7
2025-02-15,0,72,0,0,0,0,76,38,8
2025-02-16,0,27,1,0,0,0,78,24,7
2025-02-17,0,24,0,0,0,0,49,19,7
2025-02-18,0,47,0,0,0,0,51,20,7
2025-02-19,0,57,0,0,0,0,59,24,7
2025-02-20,0,25,0,0,0,0,65,18,7
2025-02-21,0,53,1,0,0,0,46,22,7
2025-02-22,0,59,0,0,0,0,70,38,8
2025-02-23,0,24,0,0,0,0,70,22,6
