date,PS5 games,Powerball,Xbox games,video games,Mobile app,Genshin Impact,Lotto,Game,Betfred
2021-07-05,0,24,1,0,0,1,60,13,0
2021-07-06,0,65,1,0,0,0,62,14,0
2021-07-07,0,77,1,0,0,1,78,13,0
2021-07-08,0,28,1,0,0,0,79,14,0
2021-07-09,0,70,1,0,0,2,64,14,0
2021-07-10,0,90,1,0,0,1,100,17,0
2021-07-11,0,26,1,0,0,1,94,15,0
2021-07-12,0,20,0,0,0,1,51,12,0
2021-07-13,0,48,1,0,0,1,54,13,0
2021-07-14,0,62,1,0,0,1,70,12,0
2021-07-15,0,26,1,0,0,0,76,13,0
2021-07-16,0,64,1,0,0,1,54,14,0
2021-07-17,0,71,1,0,0,1,85,15,0
2021-07-18,0,27,1,0,0,1,82,16,0
2021-07-19,0,24,1,0,0,1,56,13,0
2021-07-20,0,58,1,0,0,1,60,14,0
2021-07-21,0,74,1,0,0,1,78,15,0
2021-07-22,0,27,1,0,0,2,75,13,0
2021-07-23,0,71,1,0,0,1,59,14,0
2021-07-24,0,91,1,0,0,1,94,17,0
2021-07-25,0,28,1,0,0,1,90,15,0
2021-07-26,0,23,1,0,0,1,56,12,0
2021-07-27,0,71,1,0,0,1,66,13,0
2021-07-28,0,100,0,0,0,1,94,12,0
2021-07-29,0,35,1,0,0,1,86,12,0
2021-07-30,0,62,1,0,0,1,57,13,0
2021-07-31,0,68,1,1,0,1,88,17,0
2021-08-01,0,27,1,0,1,1,84,15,0
2021-08-02,0,23,1,0,0,1,60,11,0
2021-08-03,0,56,1,0,0,0,65,11,0
2021-08-04,0,63,0,0,0,1,80,12,0
2021-08-05,0,24,1,0,0,1,79,13,0
2021-08-06,0,57,1,0,0,1,54,13,0
2021-08-07,0,63,0,0,0,2,86,14,0
2021-08-08,0,23,1,0,0,1,85,16,0
2021-08-09,0,19,0,0,0,1,52,13,0
2021-08-10,0,52,0,0,0,1,56,11,0
2021-08-11,0,57,0,0,0,1,74,11,0
2021-08-12,0,22,0,0,0,1,79,12,0
2021-08-13,0,54,0,0,0,1,54,14,0
2021-08-14,0,57,0,0,0,1,75,18,0
2021-08-15,0,24,1,0,0,1,81,13,0
2021-08-16,0,19,0,0,0,1,55,11,0
2021-08-17,0,48,1,0,0,1,55,11,0
2021-08-18,0,58,0,0,0,1,73,12,1
2021-08-19,0,21,0,0,0,1,70,12,0
2021-08-20,0,50,1,0,0,1,47,13,0
2021-08-21,0,59,1,0,0,1,80,16,0
2021-08-22,0,21,1,0,0,1,73,14,0
2021-08-23,0,21,0,0,0,1,44,13,0
2021-08-24,0,59,0,0,0,0,45,12,0
2021-08-25,0,54,0,0,0,1,72,12,0
2021-08-26,0,21,1,0,0,1,74,12,0
2021-08-27,0,55,0,0,0,1,51,13,0
2021-08-28,0,64,0,0,0,0,78,15,0
2021-08-29,0,25,1,0,0,1,84,14,0
2021-08-30,0,23,0,0,0,1,54,12,0
2021-08-31,0,50,1,0,0,1,60,12,0
2021-09-01,0,61,0,0,0,1,76,11,0
2021-09-02,0,24,0,0,0,1,77,11,0
2021-09-03,0,58,0,0,0,1,58,13,0
