date,PS5 games,Powerball,Xbox games,video games,Mobile app,Genshin Impact,Lotto,Game,Betfred
2022-11-10,0,29,1,0,0,0,75,12,1
2022-11-11,0,73,1,0,0,1,54,14,1
2022-11-12,0,77,1,0,0,1,81,21,2
2022-11-13,0,31,1,0,0,1,91,15,1
2022-11-14,0,28,1,0,0,1,59,13,1
2022-11-15,0,69,0,0,0,1,59,13,1
2022-11-16,0,84,1,0,0,1,75,13,1
2022-11-17,0,33,0,0,1,1,84,14,1
2022-11-18,0,73,0,0,0,0,56,15,1
2022-11-19,0,91,1,0,0,1,84,17,2
2022-11-20,0,28,1,0,0,0,83,18,1
2022-11-21,0,27,1,0,0,0,52,14,1
2022-11-22,0,57,1,0,0,0,50,15,1
2022-11-23,0,77,1,0,0,0,69,15,1
2022-11-24,0,28,1,0,0,0,69,19,1
2022-11-25,0,67,1,0,1,1,48,26,1
2022-11-26,0,87,2,0,0,0,83,21,2
2022-11-27,0,32,1,0,1,0,85,19,1
2022-11-28,0,28,1,0,0,1,55,16,1
2022-11-29,0,59,1,0,0,1,57,15,1
2022-11-30,0,69,1,0,0,0,76,16,1
2022-12-01,0,29,1,0,0,0,78,15,1
2022-12-02,0,61,0,0,0,0,56,17,1
2022-12-03,0,72,0,0,0,0,88,18,1
2022-12-04,0,31,1,1,0,0,86,19,1
2022-12-05,0,23,1,0,0,0,55,17,1
2022-12-06,0,52,1,0,0,0,55,17,1
2022-12-07,0,71,1,0,0,1,73,17,1
2022-12-08,0,29,1,0,0,1,84,16,2
2022-12-09,0,60,1,0,0,1,51,17,1
2022-12-10,0,64,1,0,1,1,74,18,1
2022-12-11,0,28,1,1,0,1,86,19,1
2022-12-12,0,24,1,0,0,1,56,16,1
2022-12-13,0,55,1,0,0,0,53,19,1
2022-12-14,0,64,1,0,0,1,70,18,1
2022-12-15,0,28,1,0,0,1,75,19,1
2022-12-16,0,58,1,1,0,0,53,20,1
2022-12-17,0,65,2,0,0,1,81,20,2
2022-12-18,0,25,1,0,0,1,80,19,1
2022-12-19,0,24,1,0,0,1,59,21,1
2022-12-20,0,60,1,0,0,0,57,19,1
2022-12-21,0,71,1,0,0,1,78,20,1
2022-12-22,1,28,1,0,0,0,83,21,1
2022-12-23,0,66,1,0,0,0,56,23,1
2022-12-24,0,70,1,0,0,0,85,20,1
2022-12-25,0,27,2,0,0,1,84,24,0
2022-12-26,0,20,2,0,0,0,59,21,1
2022-12-27,0,61,2,0,1,1,62,21,1
2022-12-28,0,63,1,0,0,1,79,19,2
2022-12-29,0,27,1,0,0,1,80,20,1
2022-12-30,0,58,1,0,0,0,54,21,1
2022-12-31,0,74,1,0,0,1,81,20,1
2023-01-01,0,24,1,0,0,0,81,21,1
2023-01-02,0,23,1,0,0,0,57,20,1
2023-01-03,0,54,1,1,0,1,51,17,1
2023-01-04,1,61,1,0,0,1,73,17,1
2023-01-05,0,24,0,0,0,1,70,17,1
2023-01-06,0,64,1,0,0,1,48,17,1
2023-01-07,0,76,1,0,0,1,78,19,1
