date,PS5 games,Powerball,Xbox games,video games,Mobile app,Genshin Impact,Lotto,Game,Betfred
2024-07-11,0,30,0,0,0,0,67,15,6
2024-07-12,0,67,1,0,0,0,44,19,7
2024-07-13,0,83,0,0,0,1,73,19,7
2024-07-14,0,30,0,0,0,0,71,18,6
2024-07-15,0,24,0,0,0,0,44,15,6
2024-07-16,0,59,0,0,0,0,44,14,7
2024-07-17,0,71,0,0,0,0,63,17,7
2024-07-18,1,29,0,0,0,0,65,15,7
2024-07-19,0,57,1,0,0,0,44,18,7
2024-07-20,0,72,1,0,0,0,70,19,7
2024-07-21,0,30,0,0,0,0,76,17,6
2024-07-22,0,22,0,0,0,0,44,14,7
2024-07-23,0,52,0,0,0,0,44,15,6
2024-07-24,0,63,0,0,0,0,56,15,5
2024-07-25,0,30,0,0,0,0,64,15,6
2024-07-26,0,68,0,0,0,0,46,17,8
2024-07-27,0,80,1,0,0,0,80,20,9
2024-07-28,0,29,1,0,0,0,83,18,7
2024-07-29,0,27,1,0,0,0,50,14,7
2024-07-30,0,62,1,0,1,0,46,14,6
2024-07-31,0,73,0,0,0,0,71,13,8
2024-08-01,0,29,0,0,0,0,77,14,7
2024-08-02,0,66,0,0,1,0,50,16,7
2024-08-03,0,84,1,0,0,0,93,23,8
2024-08-04,0,33,0,0,0,0,100,17,7
2024-08-05,0,26,0,0,0,0,56,14,7
2024-08-06,0,60,0,0,0,1,50,14,7
2024-08-07,0,78,0,0,0,0,66,14,8
2024-08-08,0,29,2,0,0,0,68,15,8
2024-08-09,0,68,0,1,0,0,51,18,9
2024-08-10,0,74,0,0,0,0,68,20,8
2024-08-11,0,28,0,0,0,0,68,18,7
2024-08-12,0,26,0,0,0,0,47,14,7
2024-08-13,0,59,1,0,0,0,46,14,7
2024-08-14,0,70,0,0,0,0,58,15,7
2024-08-15,0,29,0,0,0,0,63,13,7
2024-08-16,0,66,0,0,0,0,45,16,7
2024-08-17,0,70,0,0,0,0,66,19,8
2024-08-18,0,29,0,0,0,1,68,19,8
2024-08-19,0,23,0,0,0,0,44,14,7
2024-08-20,0,59,0,0,0,1,47,14,6
2024-08-21,0,74,1,0,0,1,59,14,6
2024-08-22,0,28,1,0,0,0,59,15,6
2024-08-23,0,62,0,0,0,0,40,24,7
2024-08-24,0,69,0,0,0,0,63,19,8
2024-08-25,0,27,1,0,0,0,69,18,8
2024-08-26,0,24,1,0,0,0,46,13,7
2024-08-27,0,60,0,0,0,0,48,16,7
2024-08-28,0,72,0,0,0,0,62,20,8
2024-08-29,0,28,0,0,0,0,64,14,7
2024-08-30,0,70,0,0,0,0,45,17,7
2024-08-31,0,78,0,0,0,0,69,26,9
2024-09-01,0,32,1,0,0,0,72,18,9
2024-09-02,0,28,0,0,0,0,48,14,8
2024-09-03,0,68,1,0,0,0,48,14,7
2024-09-04,0,80,0,0,0,1,64,14,8
2024-09-05,0,32,1,0,0,0,72,14,7
2024-09-06,0,79,0,0,0,0,50,16,7
2024-09-07,0,100,0,0,0,0,77,18,10
2024-09-08,0,33,0,0,0,0,76,19,7
2024-09-09,0,29,0,0,0,0,48,16,8
2024-09-10,0,67,0,0,0,0,49,13,8
2024-09-11,0,90,0,0,0,0,66,15,7
2024-09-12,0,34,0,0,0,1,68,15,7
2024-09-13,0,83,1,0,0,1,46,17,8
2024-09-14,0,100,0,0,0,1,69,24,9
2024-09-15,0,37,1,0,0,0,69,18,7
2024-09-16,0,31,0,0,0,0,46,15,8
2024-09-17,0,58,0,0,0,0,42,16,7
2024-09-18,0,71,0,0,0,0,56,22,7
2024-09-19,0,29,0,0,0,0,58,16,7
2024-09-20,1,65,0,0,0,0,42,18,6
2024-09-21,0,71,1,0,0,0,59,24,7
2024-09-22,0,32,1,0,0,1,69,19,8
2024-09-23,0,23,0,0,0,0,42,17,8
2024-09-24,0,60,0,1,0,0,45,23,8
2024-09-25,1,59,0,0,0,0,55,16,6
2024-09-26,0,28,0,0,0,1,60,16,8
2024-09-27,0,66,1,0,0,1,43,18,8
2024-09-28,0,69,1,0,1,0,59,18,7
2024-09-29,0,28,1,0,0,0,68,26,7
2024-09-30,0,24,1,0,0,1,43,16,7
2024-10-01,0,58,0,0,0,0,45,14,8
2024-10-02,0,74,1,0,0,0,64,13,9
2024-10-03,0,30,0,0,0,1,73,14,8
2024-10-04,0,71,1,0,0,0,47,17,9
2024-10-05,0,81,0,0,0,0,69,35,10
2024-10-06,0,33,0,0,0,0,78,19,9
2024-10-07,0,27,0,0,0,1,46,13,8
2024-10-08,0,60,1,0,0,0,47,14,7
2024-10-09,0,84,1,0,0,0,68,15,7
2024-10-10,1,31,0,0,0,0,65,15,7
2024-10-11,0,72,0,0,0,0,46,15,7
2024-10-12,0,88,1,0,1,0,74,20,8
2024-10-13,0,32,0,0,0,0,78,18,8
2024-10-14,0,25,0,0,0,0,46,12,7
2024-10-15,0,55,1,0,0,0,41,14,8
2024-10-16,0,73,0,0,1,0,63,14,7
2024-10-17,0,31,0,0,0,0,64,14,7
2024-10-18,0,65,1,0,0,0,42,16,8
2024-10-19,1,71,1,0,0,0,66,37,8
2024-10-20,0,29,1,1,0,0,67,17,7
2024-10-21,0,23,0,0,1,0,43,13,7
2024-10-22,0,52,0,0,0,0,43,20,6
2024-10-23,0,67,0,0,0,0,59,15,7
2024-10-24,0,28,0,0,0,0,62,16,7
2024-10-25,0,66,0,0,0,0,43,21,7
2024-10-26,0,76,1,0,0,0,72,20,8
2024-10-27,0,30,1,0,0,0,74,17,8
2024-10-28,0,27,0,0,0,0,50,14,8
2024-10-29,0,62,0,0,0,0,46,22,7
2024-10-30,0,71,0,1,0,0,68,17,7
2024-10-31,0,32,0,0,0,0,81,14,7
2024-11-01,0,74,0,0,0,0,50,18,7
2024-11-02,0,87,1,0,0,0,71,18,8
2024-11-03,0,32,1,0,0,0,73,20,9
2024-11-04,0,27,0,0,0,0,48,16,8
2024-11-05,0,58,0,0,0,0,43,23,7
2024-11-06,0,80,1,0,0,0,56,14,8
2024-11-07,0,32,0,0,0,0,64,15,7
2024-11-08,0,72,0,0,0,1,49,16,6
2024-11-09,0,89,1,0,0,1,68,20,8
2024-11-10,0,32,0,0,0,0,64,18,8
2024-11-11,0,28,0,0,0,0,47,14,8
2024-11-12,0,63,0,0,0,0,45,17,6
2024-11-13,0,78,0,0,0,0,59,15,6
2024-11-14,0,31,1,0,0,0,62,16,6
2024-11-15,0,69,0,0,0,0,44,18,7
2024-11-16,0,82,0,0,0,0,67,21,8
2024-11-17,0,32,0,0,0,0,73,20,7
2024-11-18,0,26,0,0,0,0,46,17,8
2024-11-19,0,57,1,0,0,0,46,18,6
2024-11-20,0,75,1,0,0,1,59,19,7
2024-11-21,0,28,1,0,0,1,61,17,6
2024-11-22,0,63,1,0,0,0,39,19,6
2024-11-23,0,73,0,0,0,0,59,19,7
2024-11-24,0,28,0,0,0,0,62,20,6
2024-11-25,0,25,1,0,0,0,41,19,7
2024-11-26,0,53,1,0,0,0,42,24,7
2024-11-27,0,69,1,0,0,0,56,22,7
2024-11-28,0,29,1,0,0,1,61,20,7
2024-11-29,1,68,1,0,0,0,46,26,9
2024-11-30,0,73,1,0,0,0,67,22,7
2024-12-01,0,29,1,0,0,0,68,30,7
2024-12-02,0,28,1,1,0,0,46,21,8
2024-12-03,0,61,1,0,0,0,50,19,7
2024-12-04,0,74,0,0,0,1,61,18,7
2024-12-05,0,32,0,0,0,0,66,18,7
2024-12-06,0,67,1,0,0,0,42,21,8
2024-12-07,0,78,1,0,0,0,68,29,8
2024-12-08,0,32,1,0,0,0,72,20,7
2024-12-09,0,24,0,0,0,0,41,19,7
2024-12-10,0,57,1,0,0,0,45,19,7
2024-12-11,0,69,0,0,0,1,58,19,7
2024-12-12,1,29,1,1,0,0,61,20,7
2024-12-13,1,65,0,0,0,0,40,22,7
2024-12-14,0,71,1,0,1,0,63,27,9
2024-12-15,0,30,1,0,0,0,64,24,7
2024-12-16,0,25,2,0,0,0,45,22,9
2024-12-17,1,53,1,1,0,0,43,21,7
2024-12-18,1,68,0,0,0,0,58,20,7
2024-12-19,0,29,1,0,0,0,61,22,8
2024-12-20,0,66,1,0,0,0,44,21,7
2024-12-21,0,73,0,0,0,0,70,26,8
2024-12-22,0,29,1,0,0,0,70,25,7
2024-12-23,0,27,2,0,0,0,48,26,8
2024-12-24,0,57,1,0,0,0,44,32,8
2024-12-25,1,77,3,1,0,0,58,26,7
2024-12-26,0,38,2,0,0,0,61,23,8
2024-12-27,0,64,2,0,0,0,48,23,7
2024-12-28,1,66,1,0,0,0,67,23,7
2024-12-29,0,28,1,0,0,1,62,29,9
2024-12-30,0,27,1,0,0,0,45,24,9
2024-12-31,0,66,0,0,0,0,46,22,8
2025-01-01,0,71,0,0,0,1,60,24,8
2025-01-02,0,37,0,0,0,0,56,20,7
2025-01-03,0,66,1,0,0,0,43,23,6
2025-01-04,0,71,0,0,0,0,63,28,6
2025-01-05,0,28,1,0,0,0,60,21,6
2025-01-06,0,24,0,0,0,0,39,19,7
2025-01-07,0,55,0,0,0,0,43,19,7
2025-01-08,0,66,0,0,0,0,57,25,7
2025-01-09,0,29,0,0,0,0,63,18,8
2025-01-10,1,69,0,0,0,0,41,17,6
2025-01-11,0,81,2,0,0,0,66,20,7
