date,Dog Food,Puppies for Sale,Pet shop
2023-07-09,69,70,0
2023-07-10,80,46,0
2023-07-11,84,55,0
2023-07-12,86,57,0
2023-07-13,85,41,0
2023-07-14,85,49,0
2023-07-15,52,62,28
2023-07-16,95,72,0
2023-07-17,83,75,23
2023-07-18,83,0,0
2023-07-19,56,44,0
2023-07-20,72,42,0
2023-07-21,54,57,0
2023-07-22,72,66,0
2023-07-23,92,56,0
2023-07-24,71,47,0
2023-07-25,86,46,0
2023-07-26,78,47,0
2023-07-27,81,48,0
2023-07-28,70,59,0
2023-07-29,70,54,0
2023-07-30,77,46,36
2023-07-31,70,48,0
2023-08-01,55,46,0
2023-08-02,64,24,0
2023-08-03,65,37,0
2023-08-04,60,50,0
2023-08-05,93,51,0
2023-08-06,70,60,25
2023-08-07,78,66,0
2023-08-08,78,56,27
2023-08-09,88,42,0
2023-08-10,53,34,0
2023-08-11,57,53,0
2023-08-12,74,76,0
2023-08-13,58,74,0
2023-08-14,66,41,0
2023-08-15,54,50,0
2023-08-16,66,53,0
2023-08-17,75,49,0
2023-08-18,90,53,0
2023-08-19,78,44,0
2023-08-20,90,58,0
2023-08-21,74,58,0
2023-08-22,67,44,0
2023-08-23,68,42,0
2023-08-24,85,33,0
2023-08-25,62,29,25
2023-08-26,79,66,29
2023-08-27,81,48,0
2023-08-28,58,47,0
2023-08-29,73,57,0
2023-08-30,83,35,0
2023-08-31,62,53,0
2023-09-01,75,42,0
2023-09-02,61,58,0
2023-09-03,61,56,0
2023-09-04,66,45,0
2023-09-05,60,38,0
2023-09-06,63,55,0
2023-09-07,69,56,0
2023-09-08,31,45,31
2023-09-09,56,62,0
2023-09-10,63,71,25
2023-09-11,65,45,0
2023-09-12,56,34,0
2023-09-13,64,42,0
2023-09-14,69,32,24
2023-09-15,67,46,0
2023-09-16,59,42,0
2023-09-17,62,31,0
2023-09-18,64,51,0
2023-09-19,71,34,0
2023-09-20,52,57,0
2023-09-21,58,21,0
2023-09-22,93,44,0
2023-09-23,81,56,0
2023-09-24,54,41,0
2023-09-25,68,72,0
2023-09-26,74,49,0
2023-09-27,59,43,25
2023-09-28,65,51,0
2023-09-29,60,45,0
2023-09-30,57,50,0
2023-10-01,100,42,26
2023-10-02,79,39,22
2023-10-03,65,46,0
2023-10-04,76,38,0
2023-10-05,64,50,23
2023-10-06,60,57,0
2023-10-07,66,33,0
2023-10-08,71,81,0
2023-10-09,72,42,0
2023-10-10,61,31,0
2023-10-11,75,62,0
2023-10-12,82,30,0
2023-10-13,54,47,0
2023-10-14,74,48,0
2023-10-15,48,54,25
2023-10-16,60,34,0
2023-10-17,74,45,0
2023-10-18,62,35,0
2023-10-19,71,42,0
2023-10-20,53,41,0
2023-10-21,45,47,26
2023-10-22,51,59,0
2023-10-23,85,43,0
2023-10-24,82,46,0
2023-10-25,75,39,0
2023-10-26,67,37,0
2023-10-27,53,34,0
2023-10-28,68,34,0
2023-10-29,64,60,31
2023-10-30,62,28,0
2023-10-31,72,38,0
2023-11-01,63,38,0
2023-11-02,50,33,0
2023-11-03,70,41,0
2023-11-04,65,54,0
2023-11-05,58,35,0
2023-11-06,55,42,0
2023-11-07,77,33,0
2023-11-08,50,45,0
2023-11-09,63,50,0
2023-11-10,92,45,0
2023-11-11,60,40,0
2023-11-12,56,48,0
2023-11-13,71,46,0
2023-11-14,32,41,0
2023-11-15,62,29,0
2023-11-16,64,50,0
2023-11-17,62,64,0
2023-11-18,98,61,0
2023-11-19,70,55,0
2023-11-20,73,65,0
2023-11-21,65,46,0
2023-11-22,70,35,0
2023-11-23,75,34,23
2023-11-24,80,32,30
2023-11-25,77,56,0
2023-11-26,82,48,0
2023-11-27,68,49,0
2023-11-28,67,44,0
2023-11-29,69,38,0
2023-11-30,50,40,0
2023-12-01,55,42,0
2023-12-02,89,46,0
2023-12-03,44,27,0
2023-12-04,42,37,0
2023-12-05,80,45,20
2023-12-06,39,47,0
2023-12-07,67,46,0
2023-12-08,57,70,0
2023-12-09,53,50,0
2023-12-10,56,71,22
2023-12-11,71,44,0
2023-12-12,62,61,28
2023-12-13,52,49,0
2023-12-14,47,51,0
2023-12-15,60,58,0
2023-12-16,93,62,0
2023-12-17,72,58,0
2023-12-18,76,43,0
2023-12-19,71,52,0
2023-12-20,76,48,34
2023-12-21,78,45,0
2023-12-22,63,54,0
2023-12-23,46,56,27
2023-12-24,60,56,0
2023-12-25,47,45,40
2023-12-26,59,70,0
2023-12-27,95,55,28
2023-12-28,78,46,0
2023-12-29,72,49,0
2023-12-30,72,57,0
2023-12-31,50,39,0
2024-01-01,72,50,0
2024-01-02,78,43,0
2024-01-03,83,56,0
2024-01-04,87,71,0
2024-01-05,63,69,0
2024-01-06,70,67,0
2024-01-07,69,50,0
2024-01-08,70,60,0
2024-01-09,69,63,0
