date,mp3 download,YouTube,Tubidy download,Netflix,Goojara movies,Netnaija movies,Disney+,canvas prints,digital art
2023-01-08,83,73,24,30,7,57,82,0,0
2023-01-09,65,61,19,21,4,52,64,0,0
2023-01-10,63,59,19,19,4,51,61,0,0
2023-01-11,62,66,19,19,4,51,55,0,0
2023-01-12,62,64,19,20,4,45,60,0,0
2023-01-13,74,67,21,21,4,49,52,0,0
2023-01-14,80,77,23,23,4,46,70,0,0
2023-01-15,79,68,24,26,4,42,70,0,0
2023-01-16,58,56,18,17,4,43,48,0,0
2023-01-17,58,57,18,17,4,42,47,0,0
2023-01-18,56,54,16,16,4,44,45,0,0
2023-01-19,57,57,16,16,4,41,43,0,5
2023-01-20,74,61,21,17,4,47,50,0,0
2023-01-21,83,66,25,23,4,45,67,0,0
2023-01-22,77,61,21,23,4,37,67,0,0
2023-01-23,55,57,14,16,3,46,50,0,0
2023-01-24,53,60,13,16,4,40,52,0,0
2023-01-25,56,57,14,17,4,44,46,0,0
2023-01-26,62,57,14,17,4,44,46,0,0
2023-01-27,78,66,19,21,4,46,43,0,0
2023-01-28,79,68,21,26,5,56,58,0,0
2023-01-29,76,69,20,26,5,50,79,0,0
2023-01-30,54,58,14,18,4,44,52,0,0
2023-01-31,54,58,14,17,4,56,46,0,0
2023-02-01,56,59,14,18,4,49,58,0,0
2023-02-02,60,64,14,18,5,49,51,0,0
2023-02-03,68,70,18,22,5,66,68,0,0
2023-02-04,76,72,20,25,5,53,91,0,0
2023-02-05,79,73,24,29,6,59,92,0,0
2023-02-06,58,61,18,18,4,52,53,0,0
2023-02-07,62,60,18,17,5,45,46,0,0
2023-02-08,59,61,18,17,5,54,49,0,0
2023-02-09,63,65,18,18,4,52,49,0,0
2023-02-10,68,70,19,23,5,53,65,0,0
2023-02-11,76,71,23,28,6,47,76,0,0
2023-02-12,68,72,23,25,5,51,80,0,0
2023-02-13,54,61,16,16,4,47,41,0,0
2023-02-14,54,67,15,15,4,51,42,0,0
2023-02-15,64,67,19,16,4,41,45,0,0
2023-02-16,64,62,21,16,4,42,44,0,0
2023-02-17,80,81,26,19,5,47,79,0,0
2023-02-18,85,77,27,24,6,46,66,0,0
2023-02-19,72,70,26,23,7,40,71,0,0
2023-02-20,55,60,17,16,5,40,50,0,0
2023-02-21,59,65,18,16,5,46,42,0,0
2023-02-22,60,59,19,14,4,38,44,0,0
2023-02-23,64,61,20,15,5,43,45,0,0
2023-02-24,86,71,26,18,5,46,54,0,0
2023-02-25,82,70,28,22,5,35,64,0,0
2023-02-26,79,65,25,23,5,50,61,0,0
2023-02-27,60,62,20,16,4,44,48,0,0
2023-02-28,66,58,21,15,4,42,35,0,0
2023-03-01,65,58,19,14,4,45,45,0,0
2023-03-02,67,63,19,14,4,48,43,0,0
2023-03-03,86,70,24,19,5,48,56,0,0
2023-03-04,95,71,31,21,6,51,63,0,0
2023-03-05,80,62,27,22,5,43,65,0,0
2023-03-06,61,59,18,16,4,43,48,0,0
2023-03-07,65,61,18,15,5,44,44,0,0
2023-03-08,62,61,20,16,4,40,42,0,0
2023-03-09,66,57,21,16,5,44,45,0,0
2023-03-10,82,71,26,19,6,43,56,0,0
2023-03-11,92,68,28,23,5,51,75,0,0
2023-03-12,75,66,24,24,5,48,74,0,0
2023-03-13,60,61,18,16,5,52,55,0,0
2023-03-14,57,60,18,15,4,44,47,0,0
2023-03-15,65,58,19,16,5,44,48,0,0
2023-03-16,66,60,22,15,5,50,45,0,0
2023-03-17,86,75,26,20,6,50,64,0,0
2023-03-18,94,68,30,25,6,49,79,0,0
2023-03-19,89,69,28,26,6,53,87,0,0
2023-03-20,72,71,23,25,6,49,79,0,0
2023-03-21,76,74,25,24,7,54,79,0,0
2023-03-22,60,60,19,17,6,54,50,0,0
2023-03-23,69,60,23,18,4,57,53,0,0
2023-03-24,83,70,26,21,5,59,67,0,0
2023-03-25,96,68,33,28,5,54,80,0,0
2023-03-26,94,68,29,25,6,53,85,0,0
2023-03-27,66,63,21,18,4,54,63,0,0
2023-03-28,69,64,23,17,5,58,56,0,0
2023-03-29,70,65,22,19,7,57,55,0,0
2023-03-30,70,67,25,21,7,57,67,0,0
2023-03-31,79,70,26,21,6,64,63,0,0
2023-04-01,86,68,28,22,5,44,64,0,0
2023-04-02,84,69,25,26,6,50,84,0,0
2023-04-03,66,61,21,19,5,53,57,0,0
2023-04-04,65,60,21,18,5,47,75,0,0
2023-04-05,72,64,24,18,5,49,62,0,0
2023-04-06,96,70,26,22,6,58,74,0,0
2023-04-07,96,74,31,28,6,68,96,0,0
2023-04-08,85,67,34,27,5,55,74,0,0
2023-04-09,79,68,31,30,6,51,88,0,0
2023-04-10,75,68,27,31,7,65,96,0,0
2023-04-11,56,61,20,19,4,51,54,0,0
2023-04-12,58,57,19,18,4,48,43,0,0
2023-04-13,57,61,19,18,5,53,49,0,0
2023-04-14,70,68,23,23,5,51,65,0,0
2023-04-15,78,63,28,28,6,54,69,0,0
2023-04-16,69,66,22,25,5,52,82,0,0
2023-04-17,57,61,19,17,5,38,50,0,0
2023-04-18,61,58,22,16,4,49,49,0,0
2023-04-19,59,57,20,16,5,43,50,0,0
2023-04-20,61,59,22,17,5,48,48,0,0
2023-04-21,75,69,26,21,5,58,69,0,0
2023-04-22,81,70,29,26,5,61,83,0,0
2023-04-23,72,69,24,27,5,52,84,0,0
2023-04-24,57,58,19,18,4,49,51,0,0
2023-04-25,58,61,20,16,4,47,43,0,0
2023-04-26,75,64,28,18,5,51,54,0,0
2023-04-27,89,67,35,25,5,65,77,0,0
2023-04-28,93,68,37,23,4,51,80,0,0
2023-04-29,97,67,37,25,5,56,75,0,6
2023-04-30,82,68,37,26,5,49,86,0,0
2023-05-01,72,61,32,23,4,54,76,0,0
2023-05-02,60,52,23,16,4,53,47,0,0
2023-05-03,57,54,23,15,3,53,44,0,0
2023-05-04,64,64,25,16,4,49,52,0,0
2023-05-05,74,70,32,20,6,57,58,0,0
2023-05-06,85,67,34,23,4,55,73,0,0
2023-05-07,72,72,28,25,5,53,75,0,0
2023-05-08,57,61,22,18,4,54,44,0,0
2023-05-09,61,60,20,16,4,46,49,0,0
2023-05-10,62,66,24,17,4,57,40,0,0
2023-05-11,66,63,28,17,3,47,49,0,0
2023-05-12,73,69,32,21,5,74,59,0,0
2023-05-13,88,71,35,25,4,59,69,0,0
2023-05-14,76,69,30,25,5,53,72,0,0
2023-05-15,56,65,19,17,4,57,50,0,0
2023-05-16,57,61,20,17,4,45,52,0,0
2023-05-17,56,64,21,16,5,58,50,0,0
2023-05-18,63,63,24,19,5,60,57,0,0
2023-05-19,76,72,29,24,6,60,60,0,0
2023-05-20,88,70,37,29,6,61,76,0,0
2023-05-21,76,68,35,28,7,60,62,0,0
2023-05-22,62,70,26,18,5,58,51,0,0
2023-05-23,61,60,29,16,5,68,59,0,0
2023-05-24,66,64,30,18,5,51,51,0,0
2023-05-25,67,65,29,18,4,60,60,0,0
2023-05-26,80,74,37,21,5,64,75,0,0
2023-05-27,92,74,38,25,5,52,73,0,0
2023-05-28,81,67,36,23,5,60,82,0,0
2023-05-29,62,60,24,17,4,49,56,0,0
2023-05-30,61,59,24,18,5,58,51,0,0
2023-05-31,60,64,27,19,4,57,55,0,0
2023-06-01,70,65,30,17,6,59,47,0,0
2023-06-02,78,70,35,22,5,47,72,0,0
2023-06-03,95,77,40,26,5,63,78,0,0
2023-06-04,88,71,34,27,5,59,87,0,0
2023-06-05,67,62,28,18,5,51,58,0,0
2023-06-06,66,68,27,18,4,54,46,0,0
2023-06-07,68,63,27,18,4,52,56,0,0
2023-06-08,68,69,31,18,5,61,57,0,0
2023-06-09,96,84,40,23,6,69,72,0,0
2023-06-10,100,75,41,28,5,54,83,0,0
2023-06-11,89,67,40,26,5,59,80,0,0
2023-06-12,73,63,29,19,5,60,64,0,0
2023-06-13,66,67,29,19,5,64,65,0,0
2023-06-14,64,65,29,21,5,60,64,0,0
2023-06-15,80,71,38,25,5,68,83,0,0
2023-06-16,97,78,45,32,5,67,93,0,0
2023-06-17,91,73,44,30,6,80,94,0,0
2023-06-18,85,73,39,29,6,75,81,0,0
2023-06-19,64,65,28,21,5,81,56,0,0
2023-06-20,65,65,28,22,5,72,58,0,0
2023-06-21,62,72,26,20,5,64,69,0,0
2023-06-22,70,66,28,22,5,68,60,0,0
2023-06-23,71,72,31,24,5,67,69,0,0
2023-06-24,89,79,33,30,6,66,83,0,0
2023-06-25,95,74,38,31,4,68,92,0,0
2023-06-26,70,66,31,25,4,68,74,0,0
2023-06-27,66,67,30,23,4,62,87,0,0
2023-06-28,65,64,27,22,4,64,71,0,0
2023-06-29,75,64,30,22,4,61,67,0,0
2023-06-30,86,72,33,24,3,57,72,0,0
2023-07-01,99,75,39,28,4,61,76,0,0
2023-07-02,90,71,37,29,5,64,100,0,0
2023-07-03,68,66,28,20,3,66,75,5,0
2023-07-04,70,64,29,21,3,54,69,0,0
2023-07-05,72,70,29,22,4,59,71,0,0
2023-07-06,77,70,30,22,4,55,78,0,0
2023-07-07,87,76,34,25,4,50,82,0,0
2023-07-08,91,78,37,29,4,57,91,0,0
