date,mp3 download,YouTube,Tubidy download,Netflix,Goojara movies,Netnaija movies,Disney+,canvas prints,digital art
2025-01-12,55,70,21,25,6,30,64,0,0
2025-01-13,44,67,17,19,6,32,46,0,0
2025-01-14,45,64,18,15,5,29,43,0,0
2025-01-15,42,63,16,17,5,28,42,0,0
2025-01-16,47,66,18,15,6,30,37,0,0
2025-01-17,55,71,20,20,6,29,44,0,0
2025-01-18,67,70,26,23,7,31,48,0,0
2025-01-19,59,69,22,22,6,28,59,0,0
2025-01-20,45,63,16,16,5,28,38,0,0
2025-01-21,46,62,17,14,6,22,40,0,0
2025-01-22,48,59,18,15,5,27,31,0,0
2025-01-23,51,66,19,17,7,31,47,0,0
2025-01-24,63,78,22,18,6,30,44,0,0
2025-01-25,71,75,28,20,6,23,55,0,0
2025-01-26,64,72,26,21,7,24,57,0,0
2025-01-27,47,74,19,17,5,27,47,0,0
2025-01-28,57,65,19,14,5,22,36,0,0
2025-01-29,59,60,19,14,5,29,45,0,0
2025-01-30,57,66,22,15,6,20,35,0,0
2025-01-31,65,72,24,20,6,22,47,0,0
2025-02-01,68,77,26,22,6,18,56,0,0
2025-02-02,66,70,25,21,7,24,65,0,0
2025-02-03,53,69,20,15,5,24,33,0,0
2025-02-04,52,68,20,15,6,20,42,0,0
2025-02-05,55,68,20,16,5,25,39,0,0
2025-02-06,53,74,21,16,6,27,40,0,0
2025-02-07,64,75,24,19,5,31,48,0,0
2025-02-08,70,80,29,23,7,20,60,0,0
2025-02-09,64,72,25,23,7,24,56,0,0
2025-02-10,56,67,19,13,6,23,48,0,0
2025-02-11,48,68,19,13,6,19,41,0,0
2025-02-12,56,74,23,15,7,24,41,0,0
2025-02-13,56,76,23,16,7,27,47,0,0
2025-02-14,64,82,26,21,7,33,56,0,0
2025-02-15,72,86,29,24,7,29,61,0,0
2025-02-16,64,80,25,25,8,27,73,0,0
2025-02-17,49,71,19,16,6,24,34,0,0
2025-02-18,48,71,18,17,6,30,40,0,0
2025-02-19,45,69,17,14,6,27,37,0,0
2025-02-20,50,75,21,17,7,24,42,0,0
2025-02-21,59,78,24,19,7,28,56,0,0
2025-02-22,68,79,26,22,6,23,54,0,0
2025-02-23,55,80,21,23,7,28,57,0,0
2025-02-24,44,69,17,16,4,24,38,0,0
2025-02-25,48,67,19,14,12,29,44,0,0
2025-02-26,49,78,20,13,6,26,38,0,0
2025-02-27,57,76,22,14,5,23,42,0,0
2025-02-28,70,80,25,17,6,19,42,0,0
2025-03-01,70,78,26,20,7,24,60,0,0
2025-03-02,70,78,24,22,7,25,62,0,0
2025-03-03,48,72,18,15,6,20,38,0,0
2025-03-04,49,68,19,13,7,17,69,0,6
2025-03-05,49,70,20,13,6,25,59,0,0
2025-03-06,59,76,26,14,5,28,49,0,0
2025-03-07,65,80,25,20,5,28,71,0,0
2025-03-08,72,82,26,22,5,25,67,0,0
2025-03-09,67,78,25,21,6,31,72,0,0
2025-03-10,48,71,18,17,5,30,58,0,0
2025-03-11,50,75,19,14,5,34,47,0,0
2025-03-12,50,72,20,13,5,19,56,0,0
2025-03-13,53,76,23,17,4,17,52,0,0
2025-03-14,63,84,26,22,6,28,69,0,0
2025-03-15,66,85,28,24,7,29,80,0,0
2025-03-16,58,84,21,23,7,14,77,0,0
2025-03-17,47,71,19,17,6,23,61,0,0
2025-03-18,50,77,19,16,6,20,51,0,0
2025-03-19,55,80,21,16,7,26,59,0,0
2025-03-20,60,82,25,20,8,27,71,0,0
2025-03-21,71,83,27,27,10,26,93,0,0
2025-03-22,71,89,27,30,10,28,95,0,0
2025-03-23,62,77,24,27,8,30,86,0,0
2025-03-24,48,75,18,19,5,17,60,0,0
2025-03-25,49,76,20,17,5,16,60,0,0
2025-03-26,55,76,23,18,6,28,70,0,0
2025-03-27,60,80,23,17,5,32,70,0,0
2025-03-28,63,78,24,20,5,25,84,0,0
2025-03-29,76,80,27,22,5,23,99,0,0
2025-03-30,64,79,24,25,5,19,100,0,0
2025-03-31,53,80,19,20,5,27,82,0,0
2025-04-01,49,76,18,18,6,28,71,0,0
2025-04-02,51,74,19,19,7,20,65,0,0
2025-04-03,55,78,21,20,8,14,55,0,0
2025-04-04,57,82,21,22,7,34,84,0,0
2025-04-05,64,79,23,23,7,22,82,0,0
2025-04-06,61,80,21,24,7,25,85,0,0
2025-04-07,50,73,17,18,8,28,71,0,0
2025-04-08,47,74,16,15,7,29,50,0,0
2025-04-09,46,68,17,14,8,20,55,0,0
2025-04-10,52,80,16,16,7,24,56,0,0
2025-04-11,65,87,21,20,6,28,69,0,0
2025-04-12,68,85,22,23,7,33,86,0,0
2025-04-13,58,88,20,20,6,19,68,0,0
2025-04-14,48,74,15,16,5,25,62,0,0
2025-04-15,48,81,15,15,5,25,56,0,0
2025-04-16,49,80,14,14,6,34,55,0,0
2025-04-17,58,86,19,18,7,32,62,0,0
2025-04-18,72,88,26,27,9,39,96,0,0
2025-04-19,62,85,21,23,9,26,73,0,0
2025-04-20,61,90,20,26,9,33,85,0,0
