date,mp3 download,YouTube,Tubidy download,Netflix,Goojara movies,Netnaija movies,Disney+,canvas prints,digital art
2022-01-06,65,53,16,18,2,13,9,0,0
2022-01-07,64,47,18,19,2,13,6,0,0
2022-01-08,85,51,22,21,3,13,11,0,0
2022-01-09,67,48,19,22,3,13,10,0,0
2022-01-10,59,45,14,16,2,12,8,0,0
2022-01-11,58,48,14,15,1,8,9,0,0
2022-01-12,57,41,15,14,2,12,7,0,0
2022-01-13,62,46,16,14,2,10,8,0,0
2022-01-14,65,52,17,16,2,10,9,0,0
2022-01-15,86,50,21,21,3,12,6,0,0
2022-01-16,79,49,20,22,3,12,6,0,0
2022-01-17,55,43,14,13,2,8,7,0,0
2022-01-18,60,44,15,13,2,9,8,0,0
2022-01-19,55,42,14,12,2,9,4,0,0
2022-01-20,57,41,16,12,2,10,5,0,0
2022-01-21,73,46,20,14,1,10,5,0,0
2022-01-22,84,52,25,19,2,11,10,0,0
2022-01-23,76,42,20,18,2,8,9,0,0
2022-01-24,55,37,14,11,2,7,8,0,0
2022-01-25,61,38,15,10,1,7,6,0,0
2022-01-26,57,41,16,12,1,8,5,0,0
2022-01-27,59,44,19,12,1,6,7,0,0
2022-01-28,74,49,21,16,1,9,8,0,0
2022-01-29,86,53,26,19,2,12,10,0,0
2022-01-30,71,50,24,19,2,12,10,0,0
2022-01-31,57,43,17,12,1,10,7,0,0
2022-02-01,64,43,17,11,1,8,7,0,0
2022-02-02,60,40,17,13,2,9,5,0,0
2022-02-03,59,39,16,12,1,9,4,2,0
2022-02-04,72,48,19,17,2,12,7,0,0
2022-02-05,89,53,23,20,3,11,9,0,0
2022-02-06,70,46,22,19,2,11,9,0,0
2022-02-07,60,40,17,12,2,8,5,0,2
2022-02-08,67,39,18,12,2,10,5,0,0
2022-02-09,62,42,17,12,2,8,6,0,0
2022-02-10,61,46,18,13,2,10,4,0,0
2022-02-11,74,50,21,16,2,9,7,0,0
2022-02-12,89,51,24,18,3,9,10,0,0
2022-02-13,78,43,21,19,3,8,9,0,0
2022-02-14,63,38,16,11,2,8,5,0,0
2022-02-15,61,39,15,11,2,9,5,0,0
2022-02-16,64,37,17,11,2,9,7,0,0
2022-02-17,73,39,21,12,2,11,5,0,1
2022-02-18,94,44,28,15,2,9,8,0,0
2022-02-19,97,44,29,19,3,9,9,0,0
2022-02-20,98,42,31,17,3,10,8,0,0
2022-02-21,65,39,20,12,2,10,7,0,0
2022-02-22,75,37,24,11,1,7,5,0,0
2022-02-23,67,38,21,10,2,8,5,0,0
2022-02-24,73,36,21,11,2,8,6,0,0
2022-02-25,88,43,25,13,2,8,8,0,0
2022-02-26,93,44,25,16,2,8,8,0,0
2022-02-27,81,43,24,16,2,9,7,0,0
2022-02-28,58,36,17,12,2,10,5,0,0
2022-03-01,62,40,18,11,1,7,5,0,0
2022-03-02,63,37,17,11,2,9,5,0,0
2022-03-03,70,42,19,11,2,11,6,0,0
2022-03-04,83,44,24,14,2,10,7,0,0
2022-03-05,97,45,29,17,2,8,9,0,0
2022-03-06,86,44,24,17,2,10,8,0,0
2022-03-07,59,39,17,11,2,10,5,0,0
2022-03-08,61,40,17,12,2,7,6,0,0
2022-03-09,58,38,17,11,2,10,6,0,0
2022-03-10,63,43,18,12,2,10,6,0,0
2022-03-11,81,49,22,15,2,10,7,0,0
2022-03-12,95,47,24,16,2,9,10,0,0
2022-03-13,73,44,20,18,2,10,10,0,0
2022-03-14,60,37,16,11,1,9,7,0,0
2022-03-15,70,41,19,12,2,9,5,0,0
2022-03-16,73,40,18,13,2,10,5,0,0
2022-03-17,77,45,21,13,2,11,5,0,0
2022-03-18,88,49,24,15,3,10,9,0,0
2022-03-19,100,47,25,19,3,11,13,0,0
2022-03-20,96,49,23,20,3,15,10,0,0
2022-03-21,84,48,21,21,3,14,10,0,0
2022-03-22,67,43,17,15,2,12,6,0,0
2022-03-23,66,43,17,15,3,12,8,0,0
2022-03-24,73,44,18,15,2,15,8,0,0
2022-03-25,78,47,19,17,2,13,8,0,0
2022-03-26,94,50,23,20,3,17,9,0,0
2022-03-27,84,46,22,21,3,18,9,0,0
2022-03-28,62,43,16,16,3,13,8,0,0
2022-03-29,62,45,16,14,2,14,14,0,0
2022-03-30,71,40,18,15,2,20,13,0,0
2022-03-31,71,44,19,14,3,13,9,0,0
2022-04-01,85,47,21,16,3,15,11,0,0
2022-04-02,83,44,21,18,3,13,9,0,0
2022-04-03,70,51,20,21,3,17,12,0,0
2022-04-04,53,45,15,13,3,13,11,0,0
2022-04-05,57,40,15,12,2,14,6,0,0
2022-04-06,52,38,15,12,2,15,8,0,0
2022-04-07,59,43,16,13,2,16,7,0,0
2022-04-08,69,48,18,16,2,19,7,0,0
2022-04-09,77,49,18,22,3,18,11,0,0
2022-04-10,58,44,14,21,3,18,10,0,0
2022-04-11,46,42,11,14,2,14,4,0,0
2022-04-12,46,44,11,14,2,12,7,0,0
2022-04-13,50,45,12,13,3,15,8,0,0
2022-04-14,65,46,16,16,3,17,9,0,0
2022-04-15,82,54,20,21,3,17,15,0,0
2022-04-16,71,47,17,24,4,19,12,0,0
2022-04-17,61,50,17,26,4,19,13,0,0
2022-04-18,51,44,13,18,3,18,12,0,0
2022-04-19,41,39,9,13,2,16,14,0,0
2022-04-20,41,40,9,13,2,15,15,0,0
2022-04-21,51,39,11,12,2,15,10,0,0
2022-04-22,65,53,13,16,3,19,12,0,0
2022-04-23,69,48,15,18,3,20,12,0,0
2022-04-24,55,44,14,18,3,17,13,0,0
2022-04-25,41,43,11,13,2,14,10,0,0
2022-04-26,51,43,12,13,3,17,9,0,0
2022-04-27,56,43,14,17,2,15,11,0,0
2022-04-28,51,40,12,12,2,15,8,0,0
2022-04-29,62,48,15,16,3,19,10,0,0
