date,mp3 download,YouTube,Tubidy download,Netflix,Goojara movies,Netnaija movies,Disney+,canvas prints,digital art
2020-07-03,73,51,10,18,0,0,100,0,0
2020-07-04,75,50,10,22,0,0,88,0,0
2020-07-05,85,47,10,22,0,0,69,0,0
2020-07-06,57,44,8,14,0,0,54,0,0
2020-07-07,58,46,8,14,0,0,52,0,0
2020-07-08,53,43,7,14,0,0,46,0,0
2020-07-09,56,45,8,16,0,0,51,0,0
2020-07-10,64,52,9,18,0,14,69,0,0
2020-07-11,67,49,9,23,0,0,77,0,0
2020-07-12,72,49,8,22,0,0,53,0,0
2020-07-13,49,42,7,15,0,0,48,0,0
2020-07-14,52,43,7,17,0,0,52,0,0
2020-07-15,50,42,7,15,0,0,49,0,0
2020-07-16,60,46,8,14,0,0,64,0,0
2020-07-17,66,50,8,19,0,0,69,0,0
2020-07-18,74,48,9,22,0,0,71,0,0
2020-07-19,64,46,9,21,0,0,61,0,0
2020-07-20,51,43,6,16,0,16,52,0,0
2020-07-21,54,44,7,15,0,0,65,0,0
2020-07-22,56,42,7,14,0,25,54,0,0
2020-07-23,61,46,8,15,0,0,44,0,0
2020-07-24,62,60,9,19,0,19,56,0,0
2020-07-25,78,48,10,22,0,22,52,0,0
2020-07-26,70,46,9,21,0,0,68,0,0
2020-07-27,55,41,7,16,0,14,67,0,0
2020-07-28,53,40,7,16,0,19,67,0,0
2020-07-29,57,41,7,16,0,0,55,0,0
2020-07-30,53,43,6,15,0,0,64,0,0
2020-07-31,60,44,7,18,0,15,76,0,0
2020-08-01,70,45,8,22,0,0,69,0,0
2020-08-02,70,45,8,21,0,25,70,0,0
2020-08-03,50,41,6,16,0,23,77,0,0
2020-08-04,53,40,6,15,0,14,52,0,0
2020-08-05,52,38,6,14,0,0,58,0,0
2020-08-06,56,42,7,16,0,16,63,0,0
2020-08-07,62,48,7,19,0,0,62,0,0
2020-08-08,70,52,8,22,0,0,88,0,0
2020-08-09,66,45,8,24,0,20,77,0,0
2020-08-10,58,41,7,20,0,0,64,0,0
2020-08-11,49,42,6,15,0,0,54,0,0
2020-08-12,50,38,6,13,0,0,63,0,0
2020-08-13,50,41,7,14,0,14,52,0,0
2020-08-14,59,45,8,17,0,16,66,0,0
2020-08-15,73,46,10,18,0,19,60,0,0
2020-08-16,73,44,10,21,0,0,47,0,0
2020-08-17,51,38,8,14,0,14,53,0,0
2020-08-18,51,44,8,13,0,18,51,0,0
2020-08-19,52,42,8,12,0,14,54,0,0
2020-08-20,57,45,8,15,0,0,44,0,0
2020-08-21,66,50,9,17,0,16,66,0,0
2020-08-22,70,49,10,19,0,24,74,0,0
2020-08-23,60,45,9,17,0,0,67,0,0
2020-08-24,49,39,7,12,0,0,48,14,0
2020-08-25,54,41,6,13,0,13,48,0,0
2020-08-26,54,42,7,12,0,0,45,0,0
2020-08-27,52,43,7,11,0,0,54,0,0
2020-08-28,65,49,8,16,0,0,49,0,0
2020-08-29,67,47,8,19,0,19,81,0,0
2020-08-30,64,42,8,19,0,0,69,0,0
2020-08-31,53,40,7,13,0,0,44,0,0
2020-09-01,51,40,7,14,0,13,44,0,0
2020-09-02,52,41,6,14,0,0,53,0,0
2020-09-03,55,42,7,12,0,0,45,0,0
2020-09-04,70,49,7,15,0,0,75,0,0
2020-09-05,67,50,7,17,0,0,63,0,0
2020-09-06,72,43,8,19,0,0,76,0,0
2020-09-07,56,40,8,12,0,0,47,0,0
2020-09-08,58,41,9,11,0,0,59,0,0
2020-09-09,58,43,8,12,0,14,52,0,0
2020-09-10,55,43,7,12,0,0,53,0,0
